aclass,amount,asset,balance,fee,refid,time,type,subtype
currency,0.07337536,LUNA2,2.55867114,0.00000000,FTgDNyN-Z6Ywn8Dy91GqSkn0IXHzR3,1727106154.2200243,transfer,spotfromfutures
currency,0.07325814,LUNA2,2.48529578,0.00000000,FTidhE4-bP3ZVjxpCoramBDli1fPoE,1724686006.90899,transfer,spotfromfutures
currency,450.0000,ZEUR,1825.7342,0.0000,FTSDhlb-sVLMGTzAWMtYhR6GdgZLT5,1722953864.1461618,deposit,
currency,500.0000,ZEUR,1186.8815,0.0000,FTRLkKL-wffGOqbEGjvWy7Fz65kqxb,1722867282.8729343,deposit,
currency,0.07309662,LUNA2,2.41203764,0.00000000,FTE8Wos-uLU5C2D2GaUOx7siCkCycb,1722282271.2641916,transfer,spotfromfutures
currency,500.0000,ZEUR,1607.5130,0.0000,FTKaJGm-qGIROCGklaQWHd51PEXdug,1720447969.8173273,deposit,
currency,0.07318307,LUNA2,2.33894102,0.00000000,FTBaZfY-WjHR9HI6ryK1lwTcyeMy8g,1719864160.367423,transfer,spotfromfutures
currency,0.07343429,LUNA2,2.26575795,0.00000000,FTXYX33-ul4weNQJwranvWbCD3QdCa,1717447589.8112297,transfer,spotfromfutures
currency,0.07329866,LUNA2,2.19232366,0.00000000,FTjRx6Y-BtUFJLfA4sYFKZ2u5Zmwyy,1715021910.8389137,transfer,spotfromfutures
currency,250.0000,ZEUR,3243.5546,0.0000,FTRrzyo-mzyF5sylDP5AcD3fUzfgGp,1713449738.2130427,deposit,
currency,250.0000,ZEUR,2993.5546,0.0000,FTiUUmh-kExFJ1dlKWZuqJV6VJ9auF,1713190376.085614,deposit,
currency,0.07297951,LUNA2,2.11902500,0.00000000,FTFHd6D-F8fOfHut6OUgtbtJDcVTuy,1712601458.0108058,transfer,spotfromfutures
currency,100.0000000000,GRT.S,100.0000000000,0.0000000000,FTCuEva-b9VCOtb3wJQprkirbEI2y1,1710455682.766068,transfer,stakingfromspot
currency,0.6000000000,SOL,0.6000000000,0.0000000000,FTWOrMn-WAniOR3X3qgp945cngypmE,1710414373.3065612,transfer,spotfromstaking
currency,0.06777395,LUNA2,2.04604549,0.00000000,FTSdqXx-uBJmo9BhTTH5aeMe1FgOJi,1710191421.5333557,transfer,spotfromfutures
currency,70.00000000,ADA,164.99999933,0.00000000,FTied33-yyOZ04toPK5aMSqIt4Pulz,1709362991.3892865,transfer,spotfromstaking
currency,0.07842819,LUNA2,1.97827154,0.00000000,FTV84uN-HkAVCGxmCh6g2YdmJRka7h,1707953065.2624915,transfer,spotfromfutures
currency,0.07353156,LUNA2,1.89984335,0.00000000,FTBeQua-VlPAT5TI2Htie3rP3e8OfZ,1705371392.7211537,transfer,spotfromfutures
currency,58.0000000000,MINA.S,58.0000000000,0.0000000000,FTNJhHW-Ygf4Bs8I4ismKCOSrr2fQ8,1704394884.9221926,transfer,stakingfromspot
currency,300.00000000,ALGO,549.99999585,0.00000000,FTeDvHc-QjydUB76Bo0daggXpgeyX6,1703197630.7551906,transfer,spotfromstaking
