DATE,PRICE
2020-12-15,74.7
2020-12-16,71.0
2020-12-17,69.75
2020-12-18,73.31
2020-12-19,72.09
2020-12-20,69.97
2020-12-21,66.44
2020-12-22,69.66
2020-12-23,61.82
2020-12-24,66.11
2020-12-25,65.09
2020-12-26,61.57
2020-12-27,63.35
2020-12-28,66.95
2020-12-29,63.38
2020-12-30,66.3
2020-12-31,71.94
2021-01-01,74.12
2021-01-02,68.87
2021-01-03,73.03
2021-01-04,93.35
2021-01-05,97.65
2021-01-06,93.14
2021-01-07,93.4
2021-01-08,90.13
2021-01-09,94.1
2021-01-10,103.45
2021-01-11,94.63
2021-01-12,104.48
2021-01-13,121.67
2021-01-14,121.14
2021-01-15,137.95
2021-01-16,151.05
2021-01-17,154.46
2021-01-18,165.76
2021-01-19,154.39
2021-01-20,162.47
2021-01-21,130.86
2021-01-22,155.96
2021-01-23,175.68
2021-01-24,217.34
2021-01-25,203.89
2021-01-26,228.87
2021-01-27,237.26
2021-01-28,245.01
2021-01-29,237.5
2021-01-30,260.7
2021-01-31,248.12
2021-02-01,244.59
2021-02-02,250.77
2021-02-03,321.21
2021-02-04,390.39
2021-02-05,421.14
2021-02-06,392.37
2021-02-07,392.43
2021-02-08,406.91
2021-02-09,404.0
2021-02-10,432.2
2021-02-11,426.66
2021-02-12,437.76
2021-02-13,410.1
2021-02-14,387.95
2021-02-15,376.41
2021-02-16,357.59
2021-02-17,376.4
2021-02-18,365.5
2021-02-19,345.72
2021-02-20,365.97
2021-02-21,360.43
2021-02-22,329.73
2021-02-23,298.28
2021-02-24,303.25
2021-02-25,275.95
2021-02-26,268.7
2021-02-27,278.02
2021-02-28,293.1
2021-03-01,319.93
2021-03-02,324.25
2021-03-03,329.32
2021-03-04,313.5
2021-03-05,308.8
2021-03-06,325.76
2021-03-07,347.49
2021-03-08,367.27
2021-03-09,374.0
2021-03-10,342.45
2021-03-11,337.91
2021-03-12,313.19
2021-03-13,340.32
2021-03-14,317.5
2021-03-15,308.21
2021-03-16,311.7
2021-03-17,319.86
2021-03-18,305.52
2021-03-19,310.88
2021-03-20,310.57
2021-03-21,309.42
2021-03-22,282.54
2021-03-23,280.0
2021-03-24,261.53
2021-03-25,277.7
2021-03-26,305.15
2021-03-27,298.3
2021-03-28,295.33
2021-03-29,304.75
2021-03-30,321.15
2021-03-31,325.09
2021-04-01,326.1
2021-04-02,356.04
2021-04-03,327.74
2021-04-04,343.62
2021-04-05,336.98
2021-04-06,323.82
2021-04-07,294.69
2021-04-08,310.89
2021-04-09,302.38
2021-04-10,308.69
2021-04-11,312.65
2021-04-12,332.32
2021-04-13,333.8
2021-04-14,357.9
2021-04-15,390.33
2021-04-16,370.34
2021-04-17,358.61
2021-04-18,319.99
2021-04-19,286.08
2021-04-20,300.05
2021-04-21,291.97
2021-04-22,300.32
2021-04-23,285.0
2021-04-24,264.1
2021-04-25,286.79
2021-04-26,335.35
2021-04-27,360.99
2021-04-28,380.48
2021-04-29,361.86
2021-04-30,369.72
2021-05-01,419.95
2021-05-02,401.91
2021-05-03,428.53
2021-05-04,374.45
2021-05-05,399.08
2021-05-06,376.65
2021-05-07,367.8
2021-05-08,383.61
2021-05-09,377.82
2021-05-10,357.25
2021-05-11,377.51
2021-05-12,422.2
2021-05-13,422.84
2021-05-14,491.67
2021-05-15,426.14
2021-05-16,433.27
2021-05-17,471.71
2021-05-18,520.1
