DATE,PRICE
2019-04-22,3.8586
2019-04-23,3.6
2019-04-24,3.1944
2019-04-25,2.8706
2019-04-26,3.1394
2019-04-27,3.0668
2019-04-28,3.8955
2019-04-29,3.2666
2019-04-30,3.4711
2019-05-01,3.8769
2019-05-02,4.036
2019-05-03,4.6049
2019-05-04,4.6646
2019-05-05,4.3
2019-05-06,4.2015
2019-05-07,4.0677
2019-05-08,3.87
2019-05-09,3.4814
2019-05-10,3.3563
2019-05-11,3.4861
2019-05-12,3.4283
2019-05-13,3.5219
2019-05-14,3.58
2019-05-15,4.0706
2019-05-16,3.8109
2019-05-17,3.9384
2019-05-18,4.22
2019-05-19,4.3838
2019-05-20,4.2646
2019-05-21,4.3
2019-05-22,3.8437
2019-05-23,3.8991
2019-05-24,4.0056
2019-05-25,3.9417
2019-05-26,4.0899
2019-05-27,4.179
2019-05-28,4.2758
2019-05-29,4.2183
2019-05-30,5.271
2019-05-31,5.1982
2019-06-01,5.2
2019-06-02,5.7623
2019-06-03,5.7967
2019-06-04,5.2196
2019-06-05,5.4871
2019-06-06,5.3112
2019-06-07,5.55
2019-06-08,5.4347
2019-06-09,5.1914
2019-06-10,5.39
2019-06-11,5.2614
2019-06-12,5.3967
2019-06-13,5.6027
2019-06-14,5.606
2019-06-15,5.5581
2019-06-16,5.99
2019-06-17,6.2026
2019-06-18,5.9027
2019-06-19,5.9008
2019-06-20,5.77
2019-06-21,5.75
2019-06-22,5.8979
2019-06-23,5.9292
2019-06-24,5.815
2019-06-25,5.7803
2019-06-26,5.376
2019-06-27,4.7818
2019-06-28,5.21
2019-06-29,5.346
2019-06-30,4.7502
2019-07-01,4.8596
2019-07-02,4.74
2019-07-03,4.98
2019-07-04,4.8755
2019-07-05,4.776
2019-07-06,4.722
2019-07-07,4.8049
2019-07-08,4.6408
2019-07-09,4.4584
2019-07-10,3.9682
2019-07-11,3.8494
2019-07-12,4.02
2019-07-13,3.8052
2019-07-14,3.5257
2019-07-15,3.6976
2019-07-16,3.34
2019-07-17,3.4294
2019-07-18,3.6519
2019-07-19,3.5169
2019-07-20,3.624
2019-07-21,3.762
2019-07-22,3.5167
2019-07-23,3.347
2019-07-24,3.4916
2019-07-25,3.4166
2019-07-26,3.521
2019-07-27,3.2744
2019-07-28,3.3045
2019-07-29,3.2278
2019-07-30,3.24
2019-07-31,3.2857
2019-08-01,3.2001
2019-08-02,3.3034
