DATE,PRICE
2021-12-21,109.61
2021-12-22,103.96
2021-12-23,108.38
2021-12-24,101.47
2021-12-25,102.07
2021-12-26,102.78
2021-12-27,101.07
2021-12-28,96.51
2021-12-29,90.87
2021-12-30,90.0
2021-12-31,96.05
2022-01-01,100.8
2022-01-02,99.47
2022-01-03,95.83
2022-01-04,91.3
2022-01-05,86.48
2022-01-06,84.19
2022-01-07,76.44
2022-01-08,74.12
2022-01-09,78.78
2022-01-10,74.74
2022-01-11,78.89
2022-01-12,84.12
2022-01-13,77.9
2022-01-14,79.19
2022-01-15,81.86
2022-01-16,80.9
2022-01-17,76.04
2022-01-18,75.87
2022-01-19,73.0
2022-01-20,69.71
2022-01-21,58.38
2022-01-22,52.85
2022-01-23,57.17
2022-01-24,55.4
2022-01-25,60.25
2022-01-26,58.79
2022-01-27,57.98
2022-01-28,60.2
2022-01-29,64.38
2022-01-30,61.09
2022-01-31,62.45
2022-02-01,65.21
2022-02-02,60.08
2022-02-03,59.85
2022-02-04,67.58
2022-02-05,67.79
2022-02-06,69.02
2022-02-07,72.89
2022-02-08,75.7
2022-02-09,78.9
2022-02-10,79.92
2022-02-11,71.94
2022-02-12,71.42
2022-02-13,68.61
2022-02-14,72.48
2022-02-15,81.74
2022-02-16,83.75
2022-02-17,77.82
2022-02-18,73.97
2022-02-19,75.0
2022-02-20,68.13
2022-02-21,61.81
2022-02-22,65.76
2022-02-23,64.81
2022-02-24,68.13
2022-02-25,71.75
2022-02-26,72.85
2022-02-27,67.19
2022-02-28,75.32
2022-03-01,78.06
2022-03-02,74.95
2022-03-03,70.85
2022-03-04,69.17
2022-03-05,70.23
2022-03-06,66.86
2022-03-07,66.05
2022-03-08,67.07
2022-03-09,70.18
2022-03-10,67.1
2022-03-11,65.18
2022-03-12,65.12
2022-03-13,62.12
2022-03-14,63.26
2022-03-15,63.63
2022-03-16,67.26
2022-03-17,71.99
2022-03-18,77.45
2022-03-19,81.01
2022-03-20,76.65
2022-03-21,78.21
2022-03-22,76.12
2022-03-23,78.27
2022-03-24,79.49
2022-03-25,76.3
2022-03-26,78.15
2022-03-27,81.83
2022-03-28,81.63
2022-03-29,83.66
2022-03-30,85.3
2022-03-31,87.95
2022-04-01,87.55
2022-04-02,86.84
2022-04-03,88.9
2022-04-04,87.55
2022-04-05,83.34
2022-04-06,76.15
2022-04-07,80.75
2022-04-08,76.98
2022-04-09,77.86
2022-04-10,74.32
2022-04-11,68.19
2022-04-12,70.45
2022-04-13,73.6
2022-04-14,70.98
2022-04-15,71.57
2022-04-16,72.3
2022-04-17,70.21
2022-04-18,71.96
2022-04-19,74.5
2022-04-20,72.16
2022-04-21,69.3
2022-04-22,68.63
2022-04-23,67.58
2022-04-24,66.24
2022-04-25,68.03
2022-04-26,64.3
2022-04-27,66.09
2022-04-28,64.02
2022-04-29,59.99
2022-04-30,54.14
2022-05-01,55.78
2022-05-02,57.51
2022-05-03,56.68
2022-05-04,63.16
2022-05-05,56.05
2022-05-06,54.07
2022-05-07,52.36
2022-05-08,48.83
2022-05-09,39.0
2022-05-10,42.31
2022-05-11,29.3
2022-05-12,29.01
2022-05-13,30.68
2022-05-14,32.77
2022-05-15,35.12
2022-05-16,31.05
2022-05-17,32.57
2022-05-18,28.09
2022-05-19,28.7
2022-05-20,27.22
2022-05-21,28.26
2022-05-22,30.0
2022-05-23,27.15
2022-05-24,27.0
2022-05-25,25.51
2022-05-26,21.83
2022-05-27,20.87
2022-05-28,23.07
2022-05-29,24.35
2022-05-30,25.7
2022-05-31,24.53
2022-06-01,22.21
2022-06-02,22.91
2022-06-03,21.4
2022-06-04,22.87
2022-06-05,22.52
2022-06-06,24.29
2022-06-07,22.98
2022-06-08,22.86
2022-06-09,23.01
2022-06-10,20.9
2022-06-11,18.82
2022-06-12,16.43
2022-06-13,15.36
2022-06-14,15.83
2022-06-15,17.42
2022-06-16,14.96
2022-06-17,15.23
2022-06-18,14.14
2022-06-19,15.4
2022-06-20,16.34
2022-06-21,15.96
2022-06-22,15.21
2022-06-23,17.36
2022-06-24,19.41
2022-06-25,20.28
2022-06-26,18.68
2022-06-27,18.48
2022-06-28,17.2
2022-06-29,16.96
2022-06-30,16.16
2022-07-01,15.4
2022-07-02,15.64
2022-07-03,15.92
2022-07-04,17.18
2022-07-05,17.56
2022-07-06,18.8
2022-07-07,19.89
2022-07-08,19.28
2022-07-09,19.54
2022-07-10,18.84
2022-07-11,17.25
2022-07-12,16.67
2022-07-13,18.74
2022-07-14,19.7
2022-07-15,19.26
2022-07-16,21.06
2022-07-17,20.48
2022-07-18,23.63
2022-07-19,24.17
2022-07-20,23.44
2022-07-21,24.47
2022-07-22,23.19
2022-07-23,23.16
2022-07-24,23.54
2022-07-25,20.46
2022-07-26,20.4
2022-07-27,22.93
2022-07-28,23.77
2022-07-29,24.05
2022-07-30,23.73
2022-07-31,23.25
2022-08-01,22.96
2022-08-02,22.52
2022-08-03,22.73
2022-08-04,22.73
2022-08-05,24.54
2022-08-06,26.23
2022-08-07,27.37
2022-08-08,27.43
2022-08-09,26.84
2022-08-10,28.25
2022-08-11,27.66
2022-08-12,28.62
2022-08-13,28.44
2022-08-14,27.5
2022-08-15,27.49
2022-08-16,26.62
2022-08-17,25.08
2022-08-18,23.96
2022-08-19,22.26
2022-08-20,22.22
2022-08-21,22.9
