DATE,PRICE
2019-08-22,0.182
2019-08-23,0.18226
2019-08-24,0.18276
2019-08-25,0.17053
2019-08-26,0.17027
2019-08-27,0.1698
2019-08-28,0.16565
2019-08-29,0.15489
2019-08-30,0.16071
2019-08-31,0.16089
2019-09-01,0.16591
2019-09-02,0.16861
2019-09-03,0.1626
2019-09-04,0.159
2019-09-05,0.1548
2019-09-06,0.15059
2019-09-07,0.15999
2019-09-08,0.15926
2019-09-09,0.15661
2019-09-10,0.1558
2019-09-11,0.15463
2019-09-12,0.15529
2019-09-13,0.15516
2019-09-14,0.15795
2019-09-15,0.15682
2019-09-16,0.1626
2019-09-17,0.16649
2019-09-18,0.1793
2019-09-19,0.17671
2019-09-20,0.19143
2019-09-21,0.187
2019-09-22,0.17409
2019-09-23,0.169
2019-09-24,0.14444
2019-09-25,0.14744
2019-09-26,0.13929
2019-09-27,0.1535
2019-09-28,0.15039
2019-09-29,0.14515
2019-09-30,0.15826
2019-10-01,0.15283
2019-10-02,0.15682
2019-10-03,0.168
2019-10-04,0.16849
2019-10-05,0.17893
2019-10-06,0.1703
2019-10-07,0.17673
2019-10-08,0.19314
2019-10-09,0.18971
2019-10-10,0.1778
2019-10-11,0.17182
2019-10-12,0.17864
2019-10-13,0.18064
2019-10-14,0.19437
2019-10-15,0.19842
2019-10-16,0.19789
2019-10-17,0.2001
2019-10-18,0.19719
2019-10-19,0.18845
2019-10-20,0.20314
2019-10-21,0.19302
2019-10-22,0.2166
2019-10-23,0.21502
2019-10-24,0.21248
2019-10-25,0.22845
2019-10-26,0.21263
2019-10-27,0.21384
2019-10-28,0.214
2019-10-29,0.21197
2019-10-30,0.20651
2019-10-31,0.209
2019-11-01,0.21096
2019-11-02,0.20934
2019-11-03,0.20637
2019-11-04,0.21854
2019-11-05,0.22715
2019-11-06,0.2379
2019-11-07,0.22748
2019-11-08,0.21489
2019-11-09,0.22449
2019-11-10,0.22302
2019-11-11,0.21794
2019-11-12,0.21835
2019-11-13,0.23111
