DATE,PRICE
2016-07-27,1.44
2016-07-28,1.5707
2016-07-29,1.46929
2016-07-30,1.3865
2016-07-31,1.58405
2016-08-01,2.038
2016-08-02,2.41963
2016-08-03,2.35122
2016-08-04,2.13458
2016-08-05,2.356
2016-08-06,2.44
2016-08-07,1.95806
2016-08-08,1.97
2016-08-09,1.74925
2016-08-10,1.53045
2016-08-11,1.67098
2016-08-12,1.67998
2016-08-13,1.6745
2016-08-14,1.73032
2016-08-15,1.665
2016-08-16,1.6465
2016-08-17,1.5404
2016-08-18,1.493
2016-08-19,1.57811
2016-08-20,1.54257
2016-08-21,1.52
2016-08-22,1.48149
2016-08-23,1.41529
2016-08-24,1.29
2016-08-25,1.216
2016-08-26,1.2812
2016-08-27,1.20357
2016-08-28,1.1772
2016-08-29,1.13
2016-08-30,1.10101
2016-08-31,1.05001
2016-09-01,1.3
2016-09-02,1.24522
2016-09-03,1.19551
2016-09-04,1.29989
2016-09-05,1.30515
2016-09-06,1.3041
2016-09-07,1.30972
2016-09-08,1.28177
2016-09-09,1.25
2016-09-10,1.26583
2016-09-11,1.17791
2016-09-12,1.17239
2016-09-13,1.149
2016-09-14,1.14869
2016-09-15,1.138
2016-09-16,1.1844
2016-09-17,1.18649
2016-09-18,1.18
2016-09-19,1.139
2016-09-20,1.111
2016-09-21,1.09559
2016-09-22,1.11886
2016-09-23,1.1
2016-09-24,1.116
2016-09-25,1.08211
2016-09-26,1.07
2016-09-27,1.06947
2016-09-28,1.11191
2016-09-29,1.1498
2016-09-30,1.12013
2016-10-01,1.06121
2016-10-02,1.06538
2016-10-03,1.0648
2016-10-04,1.03962
2016-10-05,1.07349
2016-10-06,1.055
2016-10-07,1.05011
2016-10-08,1.05771
2016-10-09,1.055
2016-10-10,1.03811
2016-10-11,0.99983
2016-10-12,0.94886
2016-10-13,0.9116
2016-10-14,0.9012
2016-10-15,0.908
2016-10-16,1.0908
2016-10-17,0.97202
2016-10-18,0.97
2016-10-19,0.96467
2016-10-20,0.96
2016-10-21,0.944
2016-10-22,0.9511
2016-10-23,0.9572
2016-10-24,0.94481
2016-10-25,0.93412
2016-10-26,0.9457
2016-10-27,0.91181
2016-10-28,0.8626
2016-10-29,0.80167
2016-10-30,0.82614
2016-10-31,0.82099
2016-11-01,0.79178
2016-11-02,0.802
2016-11-03,0.80609
2016-11-04,0.88648
2016-11-05,0.94159
2016-11-06,0.88192
2016-11-07,0.84451
2016-11-08,0.85
2016-11-09,0.8339
2016-11-10,0.84246
2016-11-11,0.8415
2016-11-12,0.83
2016-11-13,0.83
2016-11-14,0.82611
2016-11-15,0.86229
2016-11-16,0.84521
2016-11-17,0.82426
2016-11-18,0.821
2016-11-19,0.80461
2016-11-20,0.8081
2016-11-21,0.8
2016-11-22,0.7870508
2016-11-23,0.77
2016-11-24,0.72831
2016-11-25,0.7885
2016-11-26,0.741
2016-11-27,0.73016
2016-11-28,0.71146
2016-11-29,0.71202
2016-11-30,0.702
