DATE,PRICE
2022-05-06,0.2499
2022-05-07,0.2525
2022-05-08,0.237
2022-05-09,0.19
2022-05-10,0.1829
2022-05-11,0.1241
2022-05-12,0.1834
2022-05-13,0.171
2022-05-14,0.1868
2022-05-15,0.1885
2022-05-16,0.1827
2022-05-17,0.1812
2022-05-18,0.1701
2022-05-19,0.1779
2022-05-20,0.1686
2022-05-21,0.1614
2022-05-22,0.165
2022-05-23,0.1551
2022-05-24,0.1699
2022-05-25,0.1674
2022-05-26,0.1562
2022-05-27,0.135
2022-05-28,0.156
2022-05-29,0.1507
2022-05-30,0.1559
2022-05-31,0.1599
2022-06-01,0.1453
2022-06-02,0.1536
2022-06-03,0.1448
2022-06-04,0.1434
2022-06-05,0.1383
2022-06-06,0.1422
2022-06-07,0.1461
2022-06-08,0.1399
2022-06-09,0.1483
2022-06-10,0.1369
2022-06-11,0.1315
2022-06-12,0.1095
2022-06-13,0.1097
2022-06-14,0.1052
2022-06-15,0.1048
2022-06-16,0.0872
2022-06-17,0.077
2022-06-18,0.0734
2022-06-19,0.0774
2022-06-20,0.0773
2022-06-21,0.0791
2022-06-22,0.0784
2022-06-23,0.0822
2022-06-24,0.0849
2022-06-25,0.0898
2022-06-26,0.0819
2022-06-27,0.0789
2022-06-28,0.0729
2022-06-29,0.074
2022-06-30,0.0673
2022-07-01,0.0729
2022-07-02,0.0738
2022-07-03,0.072
2022-07-04,0.0765
2022-07-05,0.0743
2022-07-06,0.0751
2022-07-07,0.0799
2022-07-08,0.0808
2022-07-09,0.0818
2022-07-10,0.0761
2022-07-11,0.075
2022-07-12,0.0718
2022-07-13,0.0708
2022-07-14,0.076
2022-07-15,0.0762
2022-07-16,0.0793
2022-07-17,0.0793
2022-07-18,0.0857
2022-07-19,0.0856
2022-07-20,0.0832
2022-07-21,0.0834
2022-07-22,0.0822
2022-07-23,0.0807
2022-07-24,0.0851
2022-07-25,0.0791
2022-07-26,0.0754
2022-07-27,0.081
