DATE,PRICE
2023-01-10,0.03871
2023-01-11,0.04217
2023-01-12,0.04052
2023-01-13,0.03951
2023-01-14,0.04
2023-01-15,0.03984
2023-01-16,0.04003
2023-01-17,0.0392
2023-01-18,0.03745
2023-01-19,0.03753
2023-01-20,0.03729
2023-01-21,0.03748
2023-01-22,0.03694
2023-01-23,0.03611
2023-01-24,0.03276
2023-01-25,0.03317
2023-01-26,0.0329
2023-01-27,0.03562
2023-01-28,0.04152
2023-01-29,0.0422
2023-01-30,0.04013
2023-01-31,0.04144
2023-02-01,0.0394
2023-02-02,0.03845
2023-02-03,0.03761
2023-02-04,0.03765
2023-02-05,0.036
2023-02-06,0.03626
2023-02-07,0.0377
2023-02-08,0.03777
2023-02-09,0.03499
2023-02-10,0.03861
2023-02-11,0.03836
2023-02-12,0.03735
2023-02-13,0.03655
2023-02-14,0.03943
2023-02-15,0.0399
2023-02-16,0.03765
2023-02-17,0.03746
2023-02-18,0.03768
2023-02-19,0.03751
2023-02-20,0.03833
2023-02-21,0.0399
2023-02-22,0.03934
2023-02-23,0.0391
2023-02-24,0.03777
2023-02-25,0.03779
2023-02-26,0.03686
2023-02-27,0.03689
2023-02-28,0.03634
2023-03-01,0.03585
2023-03-02,0.03517
2023-03-03,0.03457
2023-03-04,0.03406
2023-03-05,0.03436
2023-03-06,0.03387
2023-03-07,0.03327
2023-03-08,0.03136
2023-03-09,0.03037
2023-03-10,0.02976
2023-03-11,0.0298
2023-03-12,0.03025
2023-03-13,0.03109
2023-03-14,0.03058
2023-03-15,0.02486
2023-03-16,0.02721
2023-03-17,0.0285
2023-03-18,0.02786
2023-03-19,0.02875
2023-03-20,0.02796
2023-03-21,0.02823
2023-03-22,0.02912
2023-03-23,0.0292
2023-03-24,0.03335
2023-03-25,0.03211
2023-03-26,0.03269
2023-03-27,0.03469
2023-03-28,0.03817
2023-03-29,0.03512
2023-03-30,0.03246
2023-03-31,0.0333
2023-04-01,0.03243
2023-04-02,0.03267
2023-04-03,0.03141
2023-04-04,0.03199
2023-04-05,0.03217
2023-04-06,0.03187
2023-04-07,0.03142
2023-04-08,0.03176
2023-04-09,0.03144
2023-04-10,0.03171
2023-04-11,0.03335
2023-04-12,0.03128
2023-04-13,0.03171
2023-04-14,0.03195
2023-04-15,0.0317
2023-04-16,0.032
2023-04-17,0.03162
2023-04-18,0.03143
2023-04-19,0.02954
2023-04-20,0.02895
2023-04-21,0.02853
2023-04-22,0.02908
2023-04-23,0.02912
2023-04-24,0.02886
2023-04-25,0.02914
2023-04-26,0.02857
2023-04-27,0.02865
2023-04-28,0.0282
2023-04-29,0.0286
2023-04-30,0.02806
2023-05-01,0.02755
2023-05-02,0.02678
2023-05-03,0.02637
2023-05-04,0.02621
2023-05-05,0.02584
2023-05-06,0.02664
2023-05-07,0.02607
2023-05-08,0.02548
2023-05-09,0.02528
2023-05-10,0.02546
2023-05-11,0.02519
2023-05-12,0.02529
2023-05-13,0.02555
2023-05-14,0.0257
2023-05-15,0.02595
2023-05-16,0.02473
2023-05-17,0.02544
