DATE,PRICE
2013-09-14,2.1359
2013-09-17,2.1
2013-09-18,1.9
2013-09-25,1.86
2013-09-29,1.85
2013-10-07,1.5
2013-10-11,1.61
2013-10-26,1.6
2013-10-29,1.25
2013-10-31,2.0
2013-11-01,2.0
2013-11-03,2.0
2013-11-04,2.1
2013-11-05,2.6
2013-11-06,2.7
2013-11-07,4.8
2013-11-08,4.3
2013-11-09,3.75
2013-11-10,3.2
2013-11-11,3.5
2013-11-12,3.0
2013-11-13,3.21
2013-11-14,3.35
2013-11-15,3.4
2013-11-16,3.33
2013-11-17,3.3
2013-11-18,6.75
2013-11-19,6.5
2013-11-20,6.35
2013-11-21,7.2
2013-11-22,8.75
2013-11-23,8.98999
2013-11-24,8.35
2013-11-25,9.446
2013-11-26,15.2336
2013-11-27,28.0
2013-11-28,37.59
2013-11-29,26.5
2013-11-30,30.0
2013-12-01,28.04518
2013-12-02,25.99
2013-12-03,27.85
2013-12-04,32.0
2013-12-05,28.99
2013-12-06,24.0
2013-12-07,18.29
2013-12-08,21.4
2013-12-09,23.99
2013-12-10,26.0
2013-12-11,23.59999
2013-12-12,23.4
2013-12-13,22.52815
2013-12-14,22.235
2013-12-15,22.57001
2013-12-16,18.11
2013-12-17,16.3
2013-12-18,10.37
2013-12-19,14.7
2013-12-20,13.99987
2013-12-21,12.40021
2013-12-22,12.60001
2013-12-23,12.9
2013-12-24,12.71
2013-12-25,15.50037
2013-12-26,17.96728
2013-12-27,17.1
2013-12-28,16.79
2013-12-29,17.16
2013-12-30,17.6999
2013-12-31,17.525
2014-01-01,17.56984
2014-01-02,18.68996
2014-01-03,18.3
2014-01-04,18.0
2014-01-05,19.36987
2014-01-06,20.91
2014-01-07,17.3
2014-01-08,18.1101
2014-01-09,18.24999
2014-01-10,18.11
2014-01-11,19.16
2014-01-12,18.26001
2014-01-13,17.90001
2014-01-14,17.9755
2014-01-15,18.161
2014-01-16,18.0
2014-01-17,17.48
2014-01-18,17.52999
2014-01-19,17.67
2014-01-20,17.7
2014-01-21,17.64
2014-01-22,17.1
2014-01-23,16.42301
2014-01-24,15.3
2014-01-25,16.24999
2014-01-26,16.31
2014-01-27,14.2
2014-01-28,15.78399
2014-01-29,15.53
2014-01-30,15.55688
2014-01-31,15.78998
2014-02-01,16.2
2014-02-02,16.21
2014-02-03,16.26
2014-02-04,15.69
2014-02-05,15.5
2014-02-06,14.21001
2014-02-07,13.82
2014-02-08,13.04
2014-02-09,13.515
2014-02-10,13.2147
2014-02-11,12.98
2014-02-12,12.9992
2014-02-13,11.75
2014-02-14,12.27291
2014-02-15,12.34629
2014-02-16,11.70278
2014-02-17,11.595
2014-02-18,11.6375
2014-02-19,11.74739
2014-02-20,10.53408
2014-02-21,10.58528
2014-02-22,11.04888
2014-02-23,11.5
2014-02-24,10.60001
2014-02-25,10.0
2014-02-26,10.57001
2014-02-27,10.58565
2014-02-28,10.12
2014-03-01,10.282
2014-03-02,9.53082
2014-03-03,10.63
2014-03-04,12.6
2014-03-05,12.34591
2014-03-06,12.21081
2014-03-07,11.78
2014-03-08,11.499
2014-03-09,11.69709
2014-03-10,11.69068
2014-03-11,11.80796
2014-03-12,12.43946
2014-03-13,12.52928
2014-03-14,12.3
2014-03-15,12.3518
2014-03-16,12.68169
2014-03-17,12.74989
2014-03-18,14.23342
2014-03-19,12.638
2014-03-20,12.06
2014-03-21,11.32539
2014-03-22,11.53096
2014-03-23,11.36
2014-03-24,11.93605
2014-03-25,11.85019
2014-03-26,12.0
2014-03-27,9.89698
2014-03-28,10.36665
2014-03-29,10.0994
2014-03-30,9.7047
2014-03-31,9.399
2014-04-01,9.88999
2014-04-02,8.41
