DATE,PRICE
2019-10-09,0.00187
2019-10-10,0.00182
2019-10-11,0.00184
2019-10-12,0.00233
2019-10-13,0.00205
2019-10-14,0.00211
2019-10-15,0.00194
2019-10-16,0.00185
2019-10-17,0.002
2019-10-18,0.00182
2019-10-19,0.00185
2019-10-20,0.00184
2019-10-21,0.00181
2019-10-22,0.00175
2019-10-23,0.00161
2019-10-24,0.00169
2019-10-25,0.00181
2019-10-26,0.00175
2019-10-27,0.00185
2019-10-28,0.00175
2019-10-29,0.00178
2019-10-30,0.00184
2019-10-31,0.00179
2019-11-01,0.00185
2019-11-02,0.0019
2019-11-03,0.00184
2019-11-04,0.00189
2019-11-05,0.00186
2019-11-06,0.00187
2019-11-07,0.0019
2019-11-08,0.00184
2019-11-09,0.00181
2019-11-10,0.00184
2019-11-11,0.00179
2019-11-12,0.00178
2019-11-13,0.00191
2019-11-14,0.00181
2019-11-15,0.00182
2019-11-16,0.00182
2019-11-17,0.0018
2019-11-18,0.0017
2019-11-19,0.00165
2019-11-20,0.00164
2019-11-21,0.00149
2019-11-22,0.00142
2019-11-23,0.00144
2019-11-24,0.00135
2019-11-25,0.00138
2019-11-26,0.0014
2019-11-27,0.00145
2019-11-28,0.00145
2019-11-29,0.00147
2019-11-30,0.00144
2019-12-01,0.00139
2019-12-02,0.00136
2019-12-03,0.00136
2019-12-04,0.00133
2019-12-05,0.00135
2019-12-06,0.00135
2019-12-07,0.00133
2019-12-08,0.00138
2019-12-09,0.00136
2019-12-10,0.00129
2019-12-11,0.00129
2019-12-12,0.00129
2019-12-13,0.00131
2019-12-14,0.0013
2019-12-15,0.0013
2019-12-16,0.00126
2019-12-17,0.00115
2019-12-18,0.00127
2019-12-19,0.00124
2019-12-20,0.00126
2019-12-21,0.00123
2019-12-22,0.00129
2019-12-23,0.00122
2019-12-24,0.00125
2019-12-25,0.00122
2019-12-26,0.00122
2019-12-27,0.00121
2019-12-28,0.00121
2019-12-29,0.00122
2019-12-30,0.00117
2019-12-31,0.00115
2020-01-01,0.00116
2020-01-02,0.00113
2020-01-03,0.00119
2020-01-04,0.00119
2020-01-05,0.00119
2020-01-06,0.00124
2020-01-07,0.00131
2020-01-08,0.00129
2020-01-09,0.00126
2020-01-10,0.00121
2020-01-11,0.00122
2020-01-12,0.00125
2020-01-13,0.00128
2020-01-14,0.00131
2020-01-15,0.00143
2020-01-16,0.00136
2020-01-17,0.00142
2020-01-18,0.00145
2020-01-19,0.00135
2020-01-20,0.00137
2020-01-21,0.00139
2020-01-22,0.00138
2020-01-23,0.00131
2020-01-24,0.00131
2020-01-25,0.00131
2020-01-26,0.00136
2020-01-27,0.00136
2020-01-28,0.00143
2020-01-29,0.0014
2020-01-30,0.00146
2020-01-31,0.00147
2020-02-01,0.00169
2020-02-02,0.00174
2020-02-03,0.00176
2020-02-04,0.00195
2020-02-05,0.00184
2020-02-06,0.00195
2020-02-07,0.00195
2020-02-08,0.00194
2020-02-09,0.00196
2020-02-10,0.00192
2020-02-11,0.0021
2020-02-12,0.00227
2020-02-13,0.00247
2020-02-14,0.00291
