DATE,PRICE
2021-11-30,4.194e-05
2021-12-01,3.908e-05
2021-12-02,3.743e-05
2021-12-03,3.581e-05
2021-12-04,3.233e-05
2021-12-05,3.214e-05
2021-12-06,3.269e-05
2021-12-07,3.224e-05
2021-12-08,3.263e-05
2021-12-09,3.075e-05
2021-12-10,2.972e-05
2021-12-11,3.049e-05
2021-12-12,3.247e-05
2021-12-13,2.924e-05
2021-12-14,3.025e-05
2021-12-15,2.994e-05
2021-12-16,2.89e-05
2021-12-17,2.779e-05
2021-12-18,2.797e-05
2021-12-19,2.74e-05
2021-12-20,2.768e-05
2021-12-21,2.909e-05
2021-12-22,3.094e-05
2021-12-23,3.418e-05
2021-12-24,3.196e-05
2021-12-25,3.34e-05
2021-12-26,3.381e-05
2021-12-27,3.449e-05
2021-12-28,3.09e-05
2021-12-29,2.964e-05
2021-12-30,2.984e-05
2021-12-31,2.938e-05
2022-01-01,3.005e-05
2022-01-02,2.998e-05
2022-01-03,2.926e-05
2022-01-04,2.877e-05
2022-01-05,2.69e-05
2022-01-06,2.725e-05
2022-01-07,2.555e-05
2022-01-08,2.444e-05
2022-01-09,2.496e-05
2022-01-10,2.363e-05
2022-01-11,2.436e-05
2022-01-12,2.755e-05
2022-01-13,2.59e-05
2022-01-14,2.701e-05
2022-01-15,2.704e-05
2022-01-16,2.68e-05
2022-01-17,2.527e-05
2022-01-18,2.481e-05
2022-01-19,2.408e-05
2022-01-20,2.337e-05
2022-01-21,1.962e-05
2022-01-22,1.811e-05
2022-01-23,1.979e-05
2022-01-24,1.875e-05
2022-01-25,1.865e-05
2022-01-26,1.879e-05
2022-01-27,1.909e-05
2022-01-28,1.909e-05
2022-01-29,1.944e-05
2022-01-30,1.886e-05
2022-01-31,1.91e-05
2022-02-01,1.928e-05
2022-02-02,1.828e-05
2022-02-03,1.816e-05
2022-02-04,1.94e-05
2022-02-05,1.969e-05
2022-02-06,2.491e-05
2022-02-07,2.85e-05
2022-02-08,2.714e-05
2022-02-09,2.891e-05
2022-02-10,2.705e-05
2022-02-11,2.528e-05
2022-02-12,2.567e-05
2022-02-13,2.65e-05
2022-02-14,2.613e-05
2022-02-15,2.751e-05
2022-02-16,2.713e-05
2022-02-17,2.488e-05
2022-02-18,2.486e-05
2022-02-19,2.428e-05
2022-02-20,2.25e-05
2022-02-21,2.125e-05
2022-02-22,2.205e-05
2022-02-23,2.196e-05
2022-02-24,2.136e-05
2022-02-25,2.193e-05
2022-02-26,2.169e-05
2022-02-27,2.098e-05
2022-02-28,2.301e-05
2022-03-01,2.436e-05
2022-03-02,2.327e-05
2022-03-03,2.264e-05
2022-03-04,2.154e-05
2022-03-05,2.251e-05
2022-03-06,2.165e-05
2022-03-07,2.103e-05
2022-03-08,2.099e-05
2022-03-09,2.156e-05
2022-03-10,2.058e-05
2022-03-11,2.022e-05
2022-03-12,2.03e-05
2022-03-13,1.973e-05
2022-03-14,2.012e-05
2022-03-15,1.972e-05
2022-03-16,2.058e-05
2022-03-17,2.001e-05
2022-03-18,2.019e-05
2022-03-19,2.18e-05
2022-03-20,2.092e-05
2022-03-21,2.083e-05
2022-03-22,2.131e-05
2022-03-23,2.221e-05
2022-03-24,2.237e-05
2022-03-25,2.202e-05
2022-03-26,2.225e-05
2022-03-27,2.327e-05
2022-03-28,2.41e-05
2022-03-29,2.466e-05
2022-03-30,2.456e-05
2022-03-31,2.32e-05
2022-04-01,2.367e-05
2022-04-02,2.337e-05
2022-04-03,2.425e-05
2022-04-04,2.412e-05
2022-04-05,2.447e-05
2022-04-06,2.237e-05
2022-04-07,2.282e-05
2022-04-08,2.192e-05
2022-04-09,2.269e-05
2022-04-10,2.248e-05
2022-04-11,2.032e-05
2022-04-12,2.487e-05
2022-04-13,2.476e-05
2022-04-14,2.379e-05
2022-04-15,2.395e-05
2022-04-16,2.372e-05
2022-04-17,2.281e-05
2022-04-18,2.342e-05
2022-04-19,2.358e-05
2022-04-20,2.289e-05
2022-04-21,2.244e-05
2022-04-22,2.255e-05
2022-04-23,2.235e-05
2022-04-24,2.219e-05
2022-04-25,2.279e-05
2022-04-26,2.156e-05
2022-04-27,2.221e-05
2022-04-28,2.178e-05
2022-04-29,2.104e-05
2022-04-30,1.913e-05
2022-05-01,2.046e-05
2022-05-02,1.967e-05
2022-05-03,1.932e-05
2022-05-04,2.052e-05
2022-05-05,1.925e-05
2022-05-06,1.897e-05
2022-05-07,1.828e-05
2022-05-08,1.741e-05
2022-05-09,1.322e-05
2022-05-10,1.54e-05
2022-05-11,1.14e-05
2022-05-12,1.041e-05
2022-05-13,1.233e-05
2022-05-14,1.212e-05
2022-05-15,1.254e-05
2022-05-16,1.145e-05
2022-05-17,1.189e-05
2022-05-18,1.1e-05
2022-05-19,1.118e-05
2022-05-20,1.099e-05
2022-05-21,1.112e-05
2022-05-22,1.127e-05
2022-05-23,1.091e-05
2022-05-24,1.094e-05
2022-05-25,1.086e-05
2022-05-26,9.92e-06
2022-05-27,9.64e-06
2022-05-28,1.004e-05
2022-05-29,1.071e-05
2022-05-30,1.131e-05
2022-05-31,1.091e-05
2022-06-01,1.021e-05
2022-06-02,1.042e-05
2022-06-03,1.01e-05
2022-06-04,1.01e-05
2022-06-05,1.007e-05
2022-06-06,1.035e-05
2022-06-07,1.003e-05
2022-06-08,9.88e-06
2022-06-09,9.96e-06
2022-06-10,9.65e-06
2022-06-11,8.9e-06
2022-06-12,8.21e-06
2022-06-13,7.73e-06
2022-06-14,7.85e-06
2022-06-15,8.41e-06
2022-06-16,7.56e-06
2022-06-17,7.77e-06
2022-06-18,7.33e-06
2022-06-19,7.82e-06
2022-06-20,7.74e-06
2022-06-21,1.01e-05
2022-06-22,9.15e-06
2022-06-23,9.81e-06
2022-06-24,1.026e-05
2022-06-25,1.115e-05
2022-06-26,1.036e-05
2022-06-27,1.041e-05
2022-06-28,9.44e-06
2022-06-29,9.7e-06
2022-06-30,9.88e-06
2022-07-01,9.56e-06
2022-07-02,9.68e-06
2022-07-03,9.6e-06
2022-07-04,1.005e-05
2022-07-05,1.006e-05
2022-07-06,1.028e-05
2022-07-07,1.112e-05
2022-07-08,1.099e-05
2022-07-09,1.138e-05
2022-07-10,1.103e-05
2022-07-11,1.024e-05
2022-07-12,9.88e-06
2022-07-13,1.05e-05
2022-07-14,1.058e-05
2022-07-15,1.073e-05
2022-07-16,1.095e-05
2022-07-17,1.072e-05
2022-07-18,1.181e-05
2022-07-19,1.191e-05
2022-07-20,1.171e-05
2022-07-21,1.173e-05
2022-07-22,1.149e-05
2022-07-23,1.142e-05
2022-07-24,1.136e-05
