DATE,PRICE
2021-06-17,33.06
2021-06-18,30.98
2021-06-19,29.82
2021-06-20,29.81
2021-06-21,22.24
2021-06-22,22.57
2021-06-23,25.83
2021-06-24,26.28
2021-06-25,24.25
2021-06-26,24.6
2021-06-27,26.67
2021-06-28,27.64
2021-06-29,28.44
2021-06-30,29.97
2021-07-01,28.35
2021-07-02,28.72
2021-07-03,28.95
2021-07-04,28.96
2021-07-05,27.77
2021-07-06,28.98
2021-07-07,30.98
2021-07-08,28.11
2021-07-09,28.12
2021-07-10,26.75
2021-07-11,27.06
2021-07-12,26.0
2021-07-13,24.75
2021-07-14,26.48
2021-07-15,24.11
2021-07-16,22.34
2021-07-17,22.65
2021-07-18,22.75
2021-07-19,20.73
2021-07-20,19.94
2021-07-21,22.6
2021-07-22,23.75
2021-07-23,24.21
2021-07-24,24.38
2021-07-25,23.92
2021-07-26,23.94
2021-07-27,23.83
2021-07-28,23.49
2021-07-29,26.31
2021-07-30,27.26
2021-07-31,30.95
2021-08-01,28.96
2021-08-02,28.01
2021-08-03,28.65
2021-08-04,30.32
2021-08-05,31.6
2021-08-06,33.53
2021-08-07,33.48
2021-08-08,31.99
2021-08-09,33.01
2021-08-10,34.73
2021-08-11,35.65
2021-08-12,35.11
2021-08-13,38.03
2021-08-14,37.39
2021-08-15,45.35
2021-08-16,52.97
2021-08-17,54.76
2021-08-18,62.06
2021-08-19,62.33
2021-08-20,67.38
2021-08-21,63.2
2021-08-22,62.41
2021-08-23,64.36
2021-08-24,60.34
2021-08-25,61.1
2021-08-26,63.6
2021-08-27,74.74
2021-08-28,81.64
2021-08-29,80.16
2021-08-30,93.59
2021-08-31,91.72
2021-09-01,93.7
2021-09-02,108.18
2021-09-03,123.24
2021-09-04,116.93
2021-09-05,119.47
2021-09-06,138.62
2021-09-07,146.26
2021-09-08,160.96
2021-09-09,158.91
2021-09-10,152.13
2021-09-11,151.71
2021-09-12,147.94
2021-09-13,143.83
2021-09-14,134.34
2021-09-15,134.49
2021-09-16,129.5
2021-09-17,125.8
2021-09-18,144.53
2021-09-19,130.33
2021-09-20,112.48
2021-09-21,105.74
2021-09-22,126.92
2021-09-23,127.61
2021-09-24,118.98
2021-09-25,116.92
2021-09-26,116.14
2021-09-27,116.89
2021-09-28,113.04
2021-09-29,116.52
2021-09-30,121.75
2021-10-01,139.31
2021-10-02,145.51
2021-10-03,148.57
2021-10-04,143.47
2021-10-05,142.02
2021-10-06,133.51
2021-10-07,133.5
2021-10-08,137.26
2021-10-09,135.54
2021-10-10,127.82
2021-10-11,125.41
2021-10-12,132.12
2021-10-13,127.67
2021-10-14,129.22
2021-10-15,140.53
2021-10-16,135.41
2021-10-17,137.55
2021-10-18,135.13
2021-10-19,133.95
2021-10-20,151.37
2021-10-21,163.64
2021-10-22,168.55
2021-10-23,169.95
2021-10-24,173.92
2021-10-25,180.91
2021-10-26,172.36
2021-10-27,159.3
2021-10-28,166.66
2021-10-29,172.96
2021-10-30,169.26
2021-10-31,175.67
2021-11-01,175.79
2021-11-02,190.69
2021-11-03,209.31
2021-11-04,214.08
2021-11-05,204.58
2021-11-06,224.1
2021-11-07,216.1
2021-11-08,214.36
2021-11-09,206.29
2021-11-10,203.82
2021-11-11,204.27
2021-11-12,199.83
2021-11-13,211.15
2021-11-14,208.6
2021-11-15,209.58
2021-11-16,193.73
2021-11-17,193.63
2021-11-18,171.78
2021-11-19,190.45
2021-11-20,193.7
2021-11-21,205.59
2021-11-22,192.38
2021-11-23,197.3
2021-11-24,183.9
2021-11-25,187.2
2021-11-26,170.08
2021-11-27,170.81
2021-11-28,178.04
2021-11-29,180.88
2021-11-30,184.12
2021-12-01,202.97
2021-12-02,207.04
2021-12-03,187.42
2021-12-04,178.34
2021-12-05,173.78
2021-12-06,172.0
2021-12-07,168.89
2021-12-08,171.54
2021-12-09,160.61
2021-12-10,148.55
2021-12-11,152.35
2021-12-12,153.17
2021-12-13,137.53
2021-12-14,143.22
2021-12-15,157.73
2021-12-16,156.12
2021-12-17,156.25
2021-12-18,162.53
2021-12-19,160.13
2021-12-20,154.14
2021-12-21,159.13
2021-12-22,157.7
2021-12-23,167.97
2021-12-24,168.15
2021-12-25,170.76
2021-12-26,175.0
2021-12-27,172.91
2021-12-28,156.57
2021-12-29,150.3
2021-12-30,152.47
2021-12-31,149.49
2022-01-01,157.39
2022-01-02,155.3
2022-01-03,150.71
2022-01-04,148.72
2022-01-05,136.68
2022-01-06,133.18
2022-01-07,119.84
2022-01-08,125.24
2022-01-09,124.12
2022-01-10,120.06
2022-01-11,123.52
2022-01-12,132.59
2022-01-13,127.54
2022-01-14,128.23
2022-01-15,129.66
2022-01-16,129.77
2022-01-17,122.62
2022-01-18,124.8
2022-01-19,119.35
2022-01-20,112.85
2022-01-21,99.08
2022-01-22,83.56
2022-01-23,88.15
2022-01-24,81.16
2022-01-25,83.76
2022-01-26,81.96
2022-01-27,80.45
2022-01-28,81.99
2022-01-29,86.41
2022-01-30,83.81
2022-01-31,88.81
2022-02-01,97.41
2022-02-02,90.26
2022-02-03,89.02
2022-02-04,98.19
2022-02-05,99.52
2022-02-06,100.75
2022-02-07,102.54
2022-02-08,99.28
2022-02-09,99.88
2022-02-10,93.06
2022-02-11,85.05
2022-02-12,84.59
2022-02-13,81.79
2022-02-14,85.31
2022-02-15,93.06
2022-02-16,89.48
2022-02-17,82.4
2022-02-18,79.49
2022-02-19,80.71
2022-02-20,80.11
2022-02-21,73.32
2022-02-22,76.37
2022-02-23,74.6
2022-02-24,79.92
2022-02-25,82.24
2022-02-26,80.01
2022-02-27,76.6
2022-02-28,88.94
2022-03-01,88.68
2022-03-02,90.61
2022-03-03,86.36
2022-03-04,80.75
2022-03-05,82.04
2022-03-06,77.67
2022-03-07,75.22
2022-03-08,75.53
2022-03-09,79.55
2022-03-10,75.3
2022-03-11,73.95
2022-03-12,74.72
2022-03-13,72.04
2022-03-14,74.27
2022-03-15,75.51
2022-03-16,79.65
2022-03-17,79.17
2022-03-18,81.22
2022-03-19,83.53
2022-03-20,80.23
2022-03-21,80.42
2022-03-22,82.04
2022-03-23,86.23
2022-03-24,92.93
2022-03-25,89.9
2022-03-26,92.64
2022-03-27,97.45
2022-03-28,96.28
2022-03-29,100.63
2022-03-30,108.2
2022-03-31,110.89
2022-04-01,121.75
2022-04-02,120.0
2022-04-03,123.92
2022-04-04,120.53
2022-04-05,116.41
2022-04-06,103.61
2022-04-07,109.09
2022-04-08,101.19
2022-04-09,104.06
2022-04-10,102.17
2022-04-11,91.65
2022-04-12,95.66
2022-04-13,96.36
2022-04-14,92.96
2022-04-15,93.86
2022-04-16,94.61
2022-04-17,92.69
2022-04-18,94.94
2022-04-19,100.67
2022-04-20,97.24
2022-04-21,93.92
2022-04-22,93.29
2022-04-23,93.26
2022-04-24,91.81
2022-04-25,94.53
2022-04-26,90.09
2022-04-27,93.14
2022-04-28,93.58
2022-04-29,89.12
2022-04-30,80.29
2022-05-01,85.17
2022-05-02,83.19
2022-05-03,81.61
2022-05-04,87.34
2022-05-05,80.24
2022-05-06,77.38
2022-05-07,74.81
2022-05-08,71.5
2022-05-09,58.89
2022-05-10,63.39
2022-05-11,48.01
2022-05-12,42.82
2022-05-13,47.0
2022-05-14,50.23
2022-05-15,56.4
2022-05-16,51.41
2022-05-17,54.06
2022-05-18,47.48
2022-05-19,49.24
2022-05-20,46.8
2022-05-21,47.54
2022-05-22,49.71
2022-05-23,45.9
2022-05-24,46.25
2022-05-25,44.8
2022-05-26,40.44
2022-05-27,38.26
2022-05-28,41.27
2022-05-29,41.84
2022-05-30,43.77
2022-05-31,42.57
2022-06-01,37.65
2022-06-02,38.0
2022-06-03,35.65
2022-06-04,36.3
2022-06-05,35.82
2022-06-06,39.68
2022-06-07,36.75
2022-06-08,36.23
2022-06-09,37.61
2022-06-10,35.31
2022-06-11,32.14
2022-06-12,29.16
2022-06-13,27.43
2022-06-14,28.31
2022-06-15,33.11
2022-06-16,28.54
2022-06-17,29.2
2022-06-18,30.4
2022-06-19,32.65
2022-06-20,33.57
2022-06-21,34.58
2022-06-22,32.25
2022-06-23,36.21
2022-06-24,39.65
2022-06-25,40.04
2022-06-26,37.24
