DATE,PRICE
2023-05-03,1.3192
2023-05-04,1.2068
2023-05-05,1.1859
2023-05-06,1.211
2023-05-07,1.1163
2023-05-08,1.0387
2023-05-09,1.0787
2023-05-10,1.0745
2023-05-11,0.9861
2023-05-12,1.0266
2023-05-13,1.0152
2023-05-14,1.0643
2023-05-15,1.0808
2023-05-16,1.0686
2023-05-17,1.1184
2023-05-18,1.0615
2023-05-19,1.0493
2023-05-20,1.0399
2023-05-21,0.9948
2023-05-22,0.9726
2023-05-23,0.9683
2023-05-24,0.9126
2023-05-25,0.9149
2023-05-26,0.9214
2023-05-27,0.9318
2023-05-28,0.9934
2023-05-29,0.9711
2023-05-30,0.9348
2023-05-31,0.9132
2023-06-01,0.8788
2023-06-02,0.8862
2023-06-03,0.8664
2023-06-04,0.9079
2023-06-05,0.7663
2023-06-06,0.7779
2023-06-07,0.7032
2023-06-08,0.6811
2023-06-09,0.6894
2023-06-10,0.5685
2023-06-11,0.56
2023-06-12,0.6166
2023-06-13,0.6454
2023-06-14,0.5924
2023-06-15,0.5966
2023-06-16,0.6441
2023-06-17,0.6943
2023-06-18,0.6553
2023-06-19,0.7158
2023-06-20,0.7477
2023-06-21,0.7577
2023-06-22,0.7321
2023-06-23,0.7331
2023-06-24,0.6911
2023-06-25,0.6848
2023-06-26,0.6562
2023-06-27,0.6601
2023-06-28,0.6106
2023-06-29,0.6251
2023-06-30,0.6326
2023-07-01,0.6263
2023-07-02,0.6299
2023-07-03,0.637
2023-07-04,0.6364
2023-07-05,0.6124
2023-07-06,0.6067
2023-07-07,0.6005
2023-07-08,0.5919
2023-07-09,0.6009
2023-07-10,0.6033
2023-07-11,0.5937
2023-07-12,0.586
2023-07-13,0.6193
2023-07-14,0.6068
2023-07-15,0.609
2023-07-16,0.5936
2023-07-17,0.643
2023-07-18,0.6556
2023-07-19,0.6347
2023-07-20,0.6198
2023-07-21,0.6146
2023-07-22,0.6191
2023-07-23,0.6088
2023-07-24,0.5725
2023-07-25,0.5764
2023-07-26,0.5707
2023-07-27,0.5745
2023-07-28,0.5713
2023-07-29,0.5795
2023-07-30,0.5575
2023-07-31,0.5704
2023-08-01,0.5855
2023-08-02,0.5593
2023-08-03,0.5439
2023-08-04,0.536
2023-08-05,0.5357
2023-08-06,0.5377
2023-08-07,0.5277
2023-08-08,0.5436
2023-08-09,0.5367
2023-08-10,0.5479
2023-08-11,0.5523
2023-08-12,0.555
2023-08-13,0.5535
2023-08-14,0.5477
2023-08-15,0.5164
2023-08-16,0.4707
2023-08-17,0.4386
2023-08-18,0.4452
2023-08-19,0.5074
2023-08-20,0.4975
2023-08-21,0.475
2023-08-22,0.494
2023-08-23,0.5549
2023-08-24,0.526
2023-08-25,0.5155
2023-08-26,0.5479
2023-08-27,0.5394
2023-08-28,0.5058
2023-08-29,0.4983
2023-08-30,0.4808
2023-08-31,0.4643
2023-09-01,0.4523
2023-09-02,0.4555
2023-09-03,0.4491
2023-09-04,0.4451
2023-09-05,0.4586
2023-09-06,0.4482
2023-09-07,0.4528
2023-09-08,0.45
2023-09-09,0.4502
2023-09-10,0.4248
2023-09-11,0.3968
2023-09-12,0.3975
2023-09-13,0.4112
2023-09-14,0.4187
2023-09-15,0.4178
2023-09-16,0.4363
2023-09-17,0.406
2023-09-18,0.4179
2023-09-19,0.4256
2023-09-20,0.4174
2023-09-21,0.4134
2023-09-22,0.4179
2023-09-23,0.4173
2023-09-24,0.411
2023-09-25,0.4166
2023-09-26,0.415
2023-09-27,0.4159
2023-09-28,0.4224
2023-09-29,0.4546
2023-09-30,0.4478
2023-10-01,0.4781
