DATE,PRICE
2025-01-18,28.161
2025-01-19,45.194
2025-01-20,35.094
2025-01-21,42.213
2025-01-22,36.99
2025-01-23,35.718
2025-01-24,28.768
2025-01-25,26.266
2025-01-26,26.187
2025-01-27,24.871
2025-01-28,26.234
2025-01-29,26.261
2025-01-30,25.068
2025-01-31,24.261
2025-02-01,19.063
2025-02-02,19.714
2025-02-03,19.089
2025-02-04,16.619
2025-02-05,18.88
2025-02-06,16.495
2025-02-07,16.076
2025-02-08,16.713
2025-02-09,15.431
2025-02-10,15.479
2025-02-11,14.907
2025-02-12,14.736
2025-02-13,15.609
2025-02-14,20.475
2025-02-15,17.818
2025-02-16,17.878
2025-02-17,16.987
2025-02-18,15.641
2025-02-19,16.341
2025-02-20,15.878
2025-02-21,15.169
2025-02-22,15.833
2025-02-23,15.39
2025-02-24,14.483
2025-02-25,12.591
2025-02-26,12.526
2025-02-27,12.095
2025-02-28,11.686
2025-03-01,12.655
2025-03-02,14.563
2025-03-03,12.302
2025-03-04,12.226
2025-03-05,12.249
2025-03-06,12.025
2025-03-07,11.391
2025-03-08,11.11
2025-03-09,9.857
2025-03-10,10.042
2025-03-11,9.62
2025-03-12,9.466
2025-03-13,9.848
2025-03-14,10.921
2025-03-15,11.305
2025-03-16,10.302
2025-03-17,10.516
2025-03-18,10.084
2025-03-19,10.08
2025-03-20,10.138
2025-03-21,9.938
2025-03-22,9.925
2025-03-23,10.569
2025-03-24,10.86
2025-03-25,10.727
2025-03-26,10.777
2025-03-27,10.271
2025-03-28,9.421
2025-03-29,9.267
2025-03-30,9.394
2025-03-31,9.339
2025-04-01,9.63
2025-04-02,9.45
2025-04-03,8.571
2025-04-04,8.503
2025-04-05,8.357
2025-04-06,7.388
2025-04-07,7.17
2025-04-08,7.114
2025-04-09,7.469
2025-04-10,7.039
2025-04-11,7.077
2025-04-12,7.649
2025-04-13,7.291
2025-04-14,7.015
2025-04-15,6.93
2025-04-16,7.067
2025-04-17,6.568
2025-04-18,6.857
2025-04-19,7.396
2025-04-20,7.144
2025-04-21,7.226
2025-04-22,7.366
2025-04-23,11.711
2025-04-24,10.841
2025-04-25,11.733
2025-04-26,13.447
2025-04-27,13.102
2025-04-28,13.172
2025-04-29,11.397
2025-04-30,11.1
2025-05-01,11.167
2025-05-02,11.793
2025-05-03,10.034
2025-05-04,9.877
2025-05-05,9.942
2025-05-06,9.588
2025-05-07,9.742
2025-05-08,10.696
2025-05-09,12.678
2025-05-10,12.889
2025-05-11,12.196
2025-05-12,11.749
2025-05-13,11.494
2025-05-14,11.976
2025-05-15,11.342
2025-05-16,11.303
2025-05-17,11.171
2025-05-18,11.874
2025-05-19,11.327
2025-05-20,12.793
2025-05-21,12.729
2025-05-22,12.835
2025-05-23,10.983
2025-05-24,11.39
2025-05-25,11.222
2025-05-26,11.378
2025-05-27,11.272
2025-05-28,11.366
2025-05-29,10.476
2025-05-30,10.366
2025-05-31,9.998
2025-06-01,10.021
2025-06-02,9.862
2025-06-03,9.883
2025-06-04,9.439
2025-06-05,9.455
2025-06-06,8.886
2025-06-07,9.128
2025-06-08,9.123
2025-06-09,9.043
2025-06-10,9.562
2025-06-11,9.501
2025-06-12,8.784
2025-06-13,8.566
2025-06-14,8.697
2025-06-15,8.608
2025-06-16,8.447
2025-06-17,8.286
2025-06-18,8.147
2025-06-19,8.102
2025-06-20,7.967
2025-06-21,8.038
2025-06-22,7.593
2025-06-23,7.926
2025-06-24,8.006
2025-06-25,7.669
2025-06-26,7.666
2025-06-27,7.676
2025-06-28,7.775
2025-06-29,7.779
2025-06-30,7.552
2025-07-01,7.365
2025-07-02,7.489
2025-07-03,7.66
2025-07-04,7.225
2025-07-05,7.257
2025-07-06,7.336
2025-07-07,7.399
2025-07-08,7.359
2025-07-09,7.366
2025-07-10,8.293
2025-07-11,8.449
2025-07-12,8.141
2025-07-13,8.226
2025-07-14,8.069
2025-07-15,7.825
2025-07-16,8.468
2025-07-17,8.506
2025-07-18,8.583
2025-07-19,8.589
2025-07-20,9.242
2025-07-21,9.9
2025-07-22,9.496
2025-07-23,9.418
2025-07-24,8.475
2025-07-25,8.616
2025-07-26,8.6
2025-07-27,8.772
2025-07-28,8.911
2025-07-29,8.212
2025-07-30,8.03
2025-07-31,7.818
2025-08-01,7.7
2025-08-02,7.44
2025-08-03,7.599
2025-08-04,7.675
2025-08-05,7.513
2025-08-06,7.585
2025-08-07,7.597
2025-08-08,8.099
2025-08-09,8.243
2025-08-10,7.949
2025-08-11,8.055
2025-08-12,7.886
2025-08-13,7.927
2025-08-14,7.810
2025-08-15,7.852
