DATE,PRICE
2020-03-05,0.016151
2020-03-06,0.016346
2020-03-07,0.015436
2020-03-08,0.012972
2020-03-09,0.013277
2020-03-10,0.013586
2020-03-11,0.013499
2020-03-12,0.008
2020-03-13,0.009261
2020-03-14,0.008827
2020-03-15,0.009348
2020-03-16,0.008595
2020-03-17,0.00925
2020-03-18,0.009369
2020-03-19,0.011
2020-03-20,0.010558
2020-03-21,0.010531
2020-03-22,0.009552
2020-03-23,0.010809
2020-03-24,0.010784
2020-03-25,0.010568
2020-03-26,0.010814
2020-03-27,0.0101
2020-03-28,0.010217
2020-03-29,0.00961
2020-03-30,0.01047
2020-03-31,0.010607
2020-04-01,0.010557
2020-04-02,0.010967
2020-04-03,0.011019
2020-04-04,0.011069
2020-04-05,0.011581
2020-04-06,0.012809
2020-04-07,0.012351
2020-04-08,0.012699
2020-04-09,0.012359
2020-04-10,0.011375
2020-04-11,0.011477
2020-04-12,0.011859
2020-04-13,0.011568
2020-04-14,0.011351
2020-04-15,0.011178
2020-04-16,0.011996
2020-04-17,0.011961
2020-04-18,0.012426
2020-04-19,0.011944
2020-04-20,0.011486
2020-04-21,0.0116
2020-04-22,0.011984
2020-04-23,0.012528
2020-04-24,0.01286
2020-04-25,0.012911
2020-04-26,0.013204
2020-04-27,0.013445
2020-04-28,0.01424
2020-04-29,0.014886
2020-04-30,0.013881
2020-05-01,0.014439
2020-05-02,0.014864
2020-05-03,0.014636
2020-05-04,0.014956
2020-05-05,0.014593
2020-05-06,0.014405
2020-05-07,0.014835
2020-05-08,0.015053
2020-05-09,0.0149
2020-05-10,0.013259
2020-05-11,0.013056
2020-05-12,0.013471
2020-05-13,0.014027
2020-05-14,0.0142
2020-05-15,0.013745
2020-05-16,0.013949
2020-05-17,0.013935
2020-05-18,0.014089
2020-05-19,0.014269
2020-05-20,0.013717
2020-05-21,0.013023
2020-05-22,0.013658
2020-05-23,0.01378
2020-05-24,0.013256
2020-05-25,0.013511
2020-05-26,0.01323
2020-05-27,0.013405
2020-05-28,0.013636
2020-05-29,0.013545
2020-05-30,0.014705
2020-05-31,0.014398
2020-06-01,0.01519
2020-06-02,0.014672
2020-06-03,0.015064
2020-06-04,0.014931
2020-06-05,0.015092
2020-06-06,0.015099
2020-06-07,0.015965
2020-06-08,0.015857
2020-06-09,0.015517
2020-06-10,0.015488
2020-06-11,0.013946
2020-06-12,0.014603
2020-06-13,0.0148
2020-06-14,0.014413
2020-06-15,0.014244
2020-06-16,0.0143
2020-06-17,0.01438
2020-06-18,0.014277
2020-06-19,0.014202
2020-06-20,0.014286
2020-06-21,0.014131
2020-06-22,0.0145
2020-06-23,0.014557
2020-06-24,0.014154
2020-06-25,0.0142
2020-06-26,0.014147
2020-06-27,0.0138
2020-06-28,0.014004
2020-06-29,0.014421
2020-06-30,0.014671
2020-07-01,0.014979
2020-07-02,0.014832
2020-07-03,0.014821
2020-07-04,0.014908
2020-07-05,0.015081
2020-07-06,0.015923
2020-07-07,0.015296
2020-07-08,0.015822
2020-07-09,0.016445
2020-07-10,0.016094
2020-07-11,0.016291
2020-07-12,0.016066
2020-07-13,0.015479
2020-07-14,0.015505
2020-07-15,0.015427
2020-07-16,0.015114
2020-07-17,0.015061
2020-07-18,0.015273
2020-07-19,0.015325
2020-07-20,0.015033
2020-07-21,0.015295
2020-07-22,0.015547
2020-07-23,0.015446
2020-07-24,0.015456
2020-07-25,0.016182
2020-07-26,0.015921
2020-07-27,0.015952
2020-07-28,0.016379
2020-07-29,0.016347
2020-07-30,0.016213
2020-07-31,0.016742
2020-08-01,0.017486
2020-08-02,0.016252
2020-08-03,0.016866
2020-08-04,0.0173
2020-08-05,0.01711
2020-08-06,0.017088
2020-08-07,0.016925
2020-08-08,0.017267
2020-08-09,0.0172919
2020-08-10,0.018363
2020-08-11,0.017196
2020-08-12,0.017156
2020-08-13,0.0188
2020-08-14,0.020946
2020-08-15,0.021351
2020-08-16,0.023954
2020-08-17,0.025602
2020-08-18,0.024148
2020-08-19,0.022549
2020-08-20,0.023221
2020-08-21,0.020607
2020-08-22,0.021333
2020-08-23,0.02067
2020-08-24,0.021248
2020-08-25,0.019654
2020-08-26,0.020026
2020-08-27,0.019543
2020-08-28,0.020122
2020-08-29,0.020961
2020-08-30,0.02252
2020-08-31,0.024558
2020-09-01,0.029131
2020-09-02,0.029155
2020-09-03,0.034
2020-09-04,0.03007
2020-09-05,0.025179
2020-09-06,0.026703
2020-09-07,0.027357
2020-09-08,0.029857
2020-09-09,0.028846
2020-09-10,0.027984
2020-09-11,0.028379
2020-09-12,0.027679
2020-09-13,0.025937
2020-09-14,0.0257
2020-09-15,0.023572
2020-09-16,0.0224
2020-09-17,0.023671
2020-09-18,0.024589
2020-09-19,0.023428
2020-09-20,0.022798
2020-09-21,0.021155
2020-09-22,0.021416
2020-09-23,0.021317
2020-09-24,0.022543
2020-09-25,0.023297
2020-09-26,0.023453
2020-09-27,0.022833
2020-09-28,0.022579
2020-09-29,0.022389
2020-09-30,0.02235
