DATE,PRICE
2020-10-15,2.622
2020-10-16,2.59
2020-10-17,2.6
2020-10-18,2.801
2020-10-19,2.689
2020-10-20,2.422
2020-10-21,2.477
2020-10-22,2.574
2020-10-23,2.523
2020-10-24,2.47
2020-10-25,2.347
2020-10-26,2.319
2020-10-27,2.381
2020-10-28,2.267
2020-10-29,2.176
2020-10-30,2.076
2020-10-31,1.953
2020-11-01,2.055
2020-11-02,1.951
2020-11-03,1.827
2020-11-04,1.639
2020-11-05,1.851
2020-11-06,2.162
2020-11-07,2.081
2020-11-08,2.416
2020-11-09,2.256
2020-11-10,2.59
2020-11-11,2.5
2020-11-12,2.515
2020-11-13,3.282
2020-11-14,3.225
2020-11-15,3.253
2020-11-16,3.013
2020-11-17,3.193
2020-11-18,2.93
2020-11-19,3.153
2020-11-20,3.243
2020-11-21,3.238
2020-11-22,3.076
2020-11-23,3.531
2020-11-24,3.405
2020-11-25,3.078
2020-11-26,2.879
2020-11-27,2.796
2020-11-28,2.901
2020-11-29,2.958
2020-11-30,3.153
2020-12-01,2.947
2020-12-02,3.253
2020-12-03,3.215
2020-12-04,2.909
2020-12-05,3.038
2020-12-06,3.009
2020-12-07,3.106
2020-12-08,2.715
2020-12-09,2.785
2020-12-10,2.677
2020-12-11,2.45
2020-12-12,2.586
2020-12-13,2.736
2020-12-14,2.86
2020-12-15,2.741
2020-12-16,2.886
2020-12-17,3.007
2020-12-18,3.081
2020-12-19,3.225
2020-12-20,3.073
2020-12-21,2.876
2020-12-22,3.054
2020-12-23,2.732
2020-12-24,2.884
2020-12-25,2.868
2020-12-26,2.799
2020-12-27,2.914
2020-12-28,3.055
2020-12-29,2.988
2020-12-30,3.38
2020-12-31,4.223
2021-01-01,3.881
2021-01-02,3.912
2021-01-03,4.3
2021-01-04,4.422
2021-01-05,5.097
2021-01-06,5.192
2021-01-07,5.071
2021-01-08,4.776
2021-01-09,5.0
2021-01-10,4.837
2021-01-11,4.322
2021-01-12,4.525
2021-01-13,5.207
2021-01-14,5.705
2021-01-15,6.115
2021-01-16,6.962
2021-01-17,7.159
2021-01-18,7.598
2021-01-19,7.087
2021-01-20,7.438
2021-01-21,6.257
2021-01-22,7.145
2021-01-23,7.631
2021-01-24,9.882
2021-01-25,9.336
2021-01-26,11.429
2021-01-27,12.212
2021-01-28,11.646
2021-01-29,12.955
2021-01-30,16.165
2021-01-31,14.629
2021-02-01,16.981
2021-02-02,15.782
2021-02-03,16.375
2021-02-04,16.845
2021-02-05,17.583
2021-02-06,16.0
2021-02-07,15.541
2021-02-08,16.016
2021-02-09,16.138
2021-02-10,17.151
2021-02-11,17.709
2021-02-12,18.744
2021-02-13,18.043
2021-02-14,17.27
2021-02-15,16.559
2021-02-16,16.942
2021-02-17,17.85
2021-02-18,17.536
2021-02-19,16.556
2021-02-20,23.834
2021-02-21,23.783
2021-02-22,22.791
2021-02-23,20.45
2021-02-24,20.771
2021-02-25,19.314
2021-02-26,19.16
2021-02-27,19.584
2021-02-28,18.286
2021-03-01,21.344
2021-03-02,21.196
2021-03-03,21.119
2021-03-04,23.622
2021-03-05,23.737
2021-03-06,23.937
2021-03-07,28.682
2021-03-08,27.976
2021-03-09,27.621
2021-03-10,25.916
2021-03-11,25.82
2021-03-12,25.89
2021-03-13,26.691
2021-03-14,25.618
2021-03-15,24.976
2021-03-16,25.224
2021-03-17,26.197
2021-03-18,25.243
2021-03-19,27.895
2021-03-20,26.904
2021-03-21,27.718
2021-03-22,27.632
2021-03-23,26.266
2021-03-24,23.078
2021-03-25,22.674
2021-03-26,24.583
2021-03-27,23.858
2021-03-28,23.62
2021-03-29,24.704
2021-03-30,24.345
2021-03-31,23.86
2021-04-01,24.371
2021-04-02,25.683
2021-04-03,25.139
2021-04-04,26.354
2021-04-05,26.052
2021-04-06,26.455
2021-04-07,24.08
2021-04-08,25.399
2021-04-09,24.857
2021-04-10,24.948
2021-04-11,25.106
2021-04-12,30.745
2021-04-13,29.685
2021-04-14,30.085
2021-04-15,31.621
2021-04-16,30.381
2021-04-17,29.274
2021-04-18,26.687
2021-04-19,26.171
2021-04-20,26.654
2021-04-21,27.823
2021-04-22,28.298
2021-04-23,27.299
2021-04-24,25.052
2021-04-25,28.447
2021-04-26,31.613
2021-04-27,32.745
2021-04-28,35.271
2021-04-29,33.911
2021-04-30,33.781
2021-05-01,33.4
2021-05-02,35.274
2021-05-03,35.081
2021-05-04,35.857
2021-05-05,35.3
2021-05-06,33.328
2021-05-07,32.803
2021-05-08,33.304
2021-05-09,32.481
2021-05-10,30.077
2021-05-11,31.776
2021-05-12,30.467
2021-05-13,30.961
2021-05-14,33.346
2021-05-15,30.193
2021-05-16,30.082
2021-05-17,27.399
2021-05-18,28.761
2021-05-19,19.108
2021-05-20,21.693
2021-05-21,18.05
2021-05-22,16.853
2021-05-23,13.751
2021-05-24,20.242
2021-05-25,20.568
2021-05-26,24.143
2021-05-27,23.26
2021-05-28,21.369
2021-05-29,19.045
2021-05-30,21.091
2021-05-31,23.193
2021-06-01,22.443
2021-06-02,22.621
2021-06-03,23.607
2021-06-04,21.792
2021-06-05,21.093
2021-06-06,21.274
2021-06-07,19.925
2021-06-08,19.293
2021-06-09,20.635
2021-06-10,19.426
2021-06-11,18.002
2021-06-12,17.598
2021-06-13,19.228
2021-06-14,19.926
2021-06-15,19.337
2021-06-16,18.099
2021-06-17,18.601
2021-06-18,17.238
2021-06-19,16.89
2021-06-20,17.539
2021-06-21,13.25
2021-06-22,13.729
2021-06-23,14.914
2021-06-24,15.11
2021-06-25,13.33
2021-06-26,13.49
2021-06-27,14.309
2021-06-28,14.757
2021-06-29,15.584
2021-06-30,16.244
2021-07-01,15.059
2021-07-02,15.359
2021-07-03,16.463
2021-07-04,17.498
2021-07-05,16.971
2021-07-06,18.836
2021-07-07,18.8
2021-07-08,17.153
2021-07-09,17.74
2021-07-10,17.052
2021-07-11,17.39
2021-07-12,16.555
2021-07-13,15.653
2021-07-14,15.109
2021-07-15,14.445
2021-07-16,13.873
2021-07-17,13.628
2021-07-18,13.823
2021-07-19,13.309
2021-07-20,12.349
2021-07-21,14.143
2021-07-22,14.906
2021-07-23,15.783
2021-07-24,15.491
2021-07-25,15.513
2021-07-26,15.72
2021-07-27,15.995
2021-07-28,16.089
2021-07-29,16.461
2021-07-30,17.613
2021-07-31,18.373
2021-08-01,18.656
2021-08-02,18.866
2021-08-03,17.887
2021-08-04,19.94
2021-08-05,21.482
2021-08-06,22.188
2021-08-07,24.0
2021-08-08,22.686
2021-08-09,24.208
2021-08-10,24.531
2021-08-11,24.702
2021-08-12,23.838
2021-08-13,25.892
2021-08-14,25.487
2021-08-15,25.637
2021-08-16,24.885
2021-08-17,22.471
2021-08-18,22.486
2021-08-19,23.949
2021-08-20,24.652
2021-08-21,24.217
2021-08-22,24.331
2021-08-23,24.458
2021-08-24,22.703
2021-08-25,23.069
2021-08-26,21.72
2021-08-27,23.17
2021-08-28,22.716
2021-08-29,22.752
2021-08-30,22.728
2021-08-31,24.839
2021-09-01,26.47
2021-09-02,25.301
2021-09-03,24.123
2021-09-04,24.07
2021-09-05,24.647
2021-09-06,24.355
2021-09-07,20.551
2021-09-08,19.58
2021-09-09,19.665
2021-09-10,18.876
2021-09-11,19.254
2021-09-12,20.09
2021-09-13,19.327
2021-09-14,21.73
2021-09-15,23.213
2021-09-16,22.329
2021-09-17,20.607
2021-09-18,20.957
2021-09-19,20.337
2021-09-20,17.742
2021-09-21,16.153
