DATE,PRICE,VOL
2020-12-15,74.7,1817.97363696
2020-12-16,71.0,3029.10276339
2020-12-17,69.75,2482.41453012
2020-12-18,73.31,3128.59467169
2020-12-19,72.09,1694.05255764
2020-12-20,69.97,1684.41017949
2020-12-21,66.44,2185.20144402
2020-12-22,69.66,1718.12155791
2020-12-23,61.82,1938.83164297
2020-12-24,66.11,1205.02697687
2020-12-25,65.09,544.18463417
2020-12-26,61.57,427.43820735
2020-12-27,63.35,1016.71937366
2020-12-28,66.95,2145.76024378
2020-12-29,63.38,1126.46186075
2020-12-30,66.3,4588.1636953
2020-12-31,71.94,3186.99219714
2021-01-01,74.12,2238.92203416
2021-01-02,68.87,2654.26805207
2021-01-03,73.03,3054.14232584
2021-01-04,93.35,10926.37661476
2021-01-05,97.65,6100.14290595
2021-01-06,93.14,5766.12358199
2021-01-07,93.4,4920.50091548
2021-01-08,90.13,5022.64638213
2021-01-09,94.1,1664.1211957
2021-01-10,103.45,3544.03681181
2021-01-11,94.63,6483.67279454
2021-01-12,104.48,6603.29132076
2021-01-13,121.67,7330.16812568
2021-01-14,121.14,6126.55090454
2021-01-15,137.95,11228.2341605
2021-01-16,151.05,11053.04690966
2021-01-17,154.46,6639.1889282
2021-01-18,165.76,4634.6619645
2021-01-19,154.39,7435.15834896
2021-01-20,162.47,7077.70436924
2021-01-21,130.86,7707.75962502
2021-01-22,155.96,6705.43335428
2021-01-23,175.68,4326.28691093
2021-01-24,217.34,15844.65101285
2021-01-25,203.89,10163.96649946
2021-01-26,228.87,12463.76898944
2021-01-27,237.26,14875.74663915
2021-01-28,245.01,10571.48139326
2021-01-29,237.5,4038.13671922
2021-01-30,260.7,6280.96382972
2021-01-31,248.12,5527.68904602
2021-02-01,244.59,6982.54189693
2021-02-02,250.77,4473.73209435
2021-02-03,321.21,9207.98494782
2021-02-04,390.39,23947.1249589701
2021-02-05,421.14,13581.37242307
2021-02-06,392.37,9967.01188467
2021-02-07,392.43,9512.80385093
2021-02-08,406.91,10084.08468114
2021-02-09,404.0,6557.56505467
2021-02-10,432.2,11403.32885056
2021-02-11,426.66,6471.55475628
2021-02-12,437.76,5826.13622632
2021-02-13,410.1,4065.35681904
2021-02-14,387.95,7510.46439235
2021-02-15,376.41,8341.11103171
