DATE,PRICE,VOL
2020-01-22,0.22277,264881.25
2020-01-23,0.2115,305176.87
2020-01-24,0.21099,99338.6
2020-01-25,0.21131,48503.35
2020-01-26,0.21412,42971.48
2020-01-27,0.2177,88052.76
2020-01-28,0.22202,183473.63
2020-01-29,0.21816,107145.74
2020-01-30,0.219,161761.13
2020-01-31,0.223,180549.13
2020-02-01,0.22427,38064.59
2020-02-02,0.22925,125975.61
2020-02-03,0.23887,122454.3
2020-02-04,0.255,368179.5
2020-02-05,0.25118,366665.47
2020-02-06,0.266,305297.97
2020-02-07,0.28616,412819.9
2020-02-08,0.2817,437075.42
2020-02-09,0.3138,592074.72
2020-02-10,0.32838,1168157.92
2020-02-11,0.34,717300.7
2020-02-12,0.35888,719963.72
2020-02-13,0.32037,803709.41
2020-02-14,0.33911,536809.74
2020-02-15,0.31015,453966.63
2020-02-16,0.32068,659194.28
2020-02-17,0.30354,371321.84
2020-02-18,0.32459,343313.44
2020-02-19,0.32268,805877.9
2020-02-20,0.40605,1055319.64
2020-02-21,0.38718,881165.68
2020-02-22,0.41496,418339.34
2020-02-23,0.42764,256832.69
2020-02-24,0.45869,1140510.81
2020-02-25,0.36287,1242037.81
2020-02-26,0.33795,1043276.55
2020-02-27,0.33585,561701.73
2020-02-28,0.31584,354699.78
2020-02-29,0.29349,220492.56
2020-03-01,0.28829,220706.68
2020-03-02,0.33698,532389.96
2020-03-03,0.33076,484312.2
2020-03-04,0.35244,440068.22
2020-03-05,0.33687,499956.65
2020-03-06,0.33093,284263.0
2020-03-07,0.29923,345622.82
2020-03-08,0.25449,600686.7
2020-03-09,0.245,1003187.48
2020-03-10,0.25079,567560.19
2020-03-11,0.23968,271544.77
2020-03-12,0.12317,1424204.78
2020-03-13,0.13937,740870.41
2020-03-14,0.13339,300528.2
2020-03-15,0.13199,482335.59
2020-03-16,0.11146,942687.98
2020-03-17,0.1272,492333.54
2020-03-18,0.12902,388410.64
2020-03-19,0.14781,874279.28
2020-03-20,0.14696,1449522.28
2020-03-21,0.14384,286047.08
2020-03-22,0.13575,785995.31
2020-03-23,0.14861,248358.09
2020-03-24,0.14877,725525.94
2020-03-25,0.14154,302627.01
2020-03-26,0.14472,155786.71
2020-03-27,0.13946,300920.29
2020-03-28,0.13528,316770.03
2020-03-29,0.13011,138546.44
2020-03-30,0.1413,232251.67
2020-03-31,0.14032,267478.95
2020-04-01,0.14173,332306.04
2020-04-02,0.14598,416873.02
2020-04-03,0.14817,208503.54
2020-04-04,0.16612,728329.05
2020-04-05,0.15902,464433.22
2020-04-06,0.17067,1003637.05
2020-04-07,0.17036,648895.45
2020-04-08,0.18843,436733.22
2020-04-09,0.18399,1307523.65
2020-04-10,0.16098,625343.77
2020-04-11,0.16378,204189.65
2020-04-12,0.16342,292068.54
2020-04-13,0.16141,534123.14
2020-04-14,0.16348,134096.92
2020-04-15,0.15539,196187.08
2020-04-16,0.17056,438126.7
2020-04-17,0.17387,173765.52
2020-04-18,0.183,206413.66
2020-04-19,0.17519,309496.49
2020-04-20,0.16364,314304.38
2020-04-21,0.16625,352361.21
2020-04-22,0.17264,121962.46
2020-04-23,0.1802,483285.85
2020-04-24,0.19141,851098.58
2020-04-25,0.19451,851109.63
2020-04-26,0.20856,855048.46
2020-04-27,0.19982,966637.52
2020-04-28,0.20125,403790.92
2020-04-29,0.21137,1265130.45
2020-04-30,0.19414,1218569.85
2020-05-01,0.1955,331761.42
2020-05-02,0.20001,390696.69
2020-05-03,0.18853,739712.13
2020-05-04,0.18562,545002.35
2020-05-05,0.19105,448700.29
2020-05-06,0.18279,448686.27
2020-05-07,0.18882,313563.42
2020-05-08,0.2014,762758.54
2020-05-09,0.1976,288221.87
2020-05-10,0.1749,1123775.38
2020-05-11,0.17269,641465.11
2020-05-12,0.1776,307735.38
2020-05-13,0.18158,402041.91
2020-05-14,0.18262,464494.74
2020-05-15,0.17709,874954.03
2020-05-16,0.18395,179003.92
2020-05-17,0.18218,83356.74
