DATE,PRICE,VOL
2022-10-19,7.4241,38224.17
2022-10-20,7.579,9397.83
2022-10-21,7.6,11041.1
2022-10-22,9.0417,27237.36
2022-10-23,9.8727,32465.83
2022-10-24,9.7041,12788.63
2022-10-25,8.8296,12272.11
2022-10-26,9.0802,5243.58
2022-10-27,8.755,14084.67
2022-10-28,8.1925,15461.81
2022-10-29,7.962,12382.07
2022-10-30,7.8102,9419.62
2022-10-31,8.0517,5469.39
2022-11-01,8.3033,5760.64
2022-11-02,7.524,15490.79
2022-11-03,7.396,5519.65
2022-11-04,7.6327,7384.33
2022-11-05,7.6623,6686.74
2022-11-06,7.2916,17296.0
2022-11-07,6.9631,25291.29
2022-11-08,5.3917,41577.26
2022-11-09,3.8976,47558.11
2022-11-10,5.024,40350.96
2022-11-11,4.9767,18083.43
2022-11-12,4.3642,25453.55
2022-11-13,4.0199,4184.73
2022-11-14,4.0348,10150.35
2022-11-15,4.1997,4121.26
2022-11-16,4.3042,13882.31
2022-11-17,4.486,4743.17
2022-11-18,4.5408,11531.4
2022-11-19,4.4804,9468.76
2022-11-20,3.9052,4374.63
2022-11-21,3.9614,4929.9
2022-11-22,4.1862,9904.68
2022-11-23,4.2758,38107.69
2022-11-24,4.2693,9440.18
2022-11-25,4.22,11761.05
2022-11-26,4.585,20773.51
2022-11-27,4.615,7038.62
2022-11-28,4.3295,6191.38
2022-11-29,4.5428,3159.28
2022-11-30,4.6003,2717.84
2022-12-01,4.4029,3246.19
2022-12-02,4.6435,13653.1
2022-12-03,4.8296,13481.81
2022-12-04,4.9214,11347.68
2022-12-05,4.8779,4820.4
2022-12-06,4.8286,14752.51
2022-12-07,4.5769,3063.28
2022-12-08,4.65,2493.22
2022-12-09,4.5496,1444.13
2022-12-10,4.529,1760.74
2022-12-11,4.44,2556.16
2022-12-12,4.2826,5778.76
2022-12-13,4.3473,2914.29
2022-12-14,4.3796,701.7
2022-12-15,4.366,1797.22
2022-12-16,3.796,7904.27
2022-12-17,3.7912,3874.25
2022-12-18,3.8357,2886.38
2022-12-19,3.5512,13306.65
2022-12-20,3.6806,2171.07
2022-12-21,3.5499,596.63
2022-12-22,3.4901,1290.01
2022-12-23,3.528,175.17
2022-12-24,3.4721,1611.62
2022-12-25,3.3678,651.5
2022-12-26,3.4239,3320.74
2022-12-27,3.3742,1310.67
2022-12-28,3.0413,9691.82
2022-12-29,2.9914,5092.43
2022-12-30,3.1766,5881.77
2022-12-31,3.2329,2438.31
2023-01-01,3.3101,6035.15
2023-01-02,3.5254,4853.32
2023-01-03,3.6231,3638.66
2023-01-04,3.5578,4606.76
2023-01-05,3.5035,3349.99
2023-01-06,3.6481,6163.68
2023-01-07,3.5696,915.87
2023-01-08,3.6912,24994.75
2023-01-09,4.8663,28678.74
2023-01-10,5.1525,19784.42
2023-01-11,4.8507,8457.68
2023-01-12,6.0073,19246.65
2023-01-13,6.29,12527.13
2023-01-14,7.2388,25028.14
2023-01-15,7.365,15285.48
2023-01-16,7.5244,9744.27
2023-01-17,7.0402,4861.39
2023-01-18,7.0798,5754.28
2023-01-19,7.2687,4470.86
2023-01-20,10.089,22711.79
2023-01-21,10.8081,43846.4
2023-01-22,12.3811,60535.14
2023-01-23,11.6831,49256.37
2023-01-24,11.18,17213.71
2023-01-25,16.7988,67674.08
2023-01-26,16.7095,81551.02
2023-01-27,16.3536,16313.01
2023-01-28,16.4724,18276.58
2023-01-29,16.808,32995.98
2023-01-30,15.8684,38736.92
2023-01-31,15.426,32710.4
2023-02-01,16.5095,46636.31
2023-02-02,15.7514,10881.38
2023-02-03,15.8455,12231.36
2023-02-04,15.2378,9488.92
2023-02-05,14.2917,19747.03
2023-02-06,13.901,15438.51
2023-02-07,14.9666,5274.56
2023-02-08,14.0487,14917.06
2023-02-09,12.4026,41918.41
2023-02-10,12.8152,47057.12
2023-02-11,13.1207,15346.95
2023-02-12,12.2372,24653.03
2023-02-13,12.8281,29566.17
2023-02-14,13.6961,8903.54
2023-02-15,14.9326,10603.45
2023-02-16,13.8143,27017.65
2023-02-17,13.7991,48537.42
2023-02-18,13.5017,20816.02
2023-02-19,13.1696,8006.66
2023-02-20,13.281,2320.6
2023-02-21,12.5798,5976.77
2023-02-22,12.971,6788.19
2023-02-23,12.6565,6834.86
2023-02-24,12.1238,8501.55
2023-02-25,11.6034,14821.32
2023-02-26,12.0006,21451.28
2023-02-27,11.7013,21896.85
2023-02-28,11.25,17252.22
2023-03-01,12.5103,56572.42
2023-03-02,12.2116,11113.83
2023-03-03,11.0281,21458.94
2023-03-04,10.5889,5278.6
2023-03-05,10.5075,605.44
2023-03-06,10.5704,14958.33
2023-03-07,10.5437,8430.41
2023-03-08,9.9857,6045.2
2023-03-09,10.4943,12454.1
2023-03-10,10.1761,17822.19
