DATE,PRICE,VOL
2019-04-22,3.8586,176075.11
2019-04-23,3.6,540012.73
2019-04-24,3.1944,355489.97
2019-04-25,2.8706,170814.07
2019-04-26,3.1394,124595.78
2019-04-27,3.0668,95303.73
2019-04-28,3.8955,305758.63
2019-04-29,3.2666,141062.14
2019-04-30,3.4711,50603.66
2019-05-01,3.8769,155715.33
2019-05-02,4.036,96415.3
2019-05-03,4.6049,207814.52
2019-05-04,4.6646,242811.68
2019-05-05,4.3,73865.07
2019-05-06,4.2015,127528.96
2019-05-07,4.0677,81959.44
2019-05-08,3.87,202861.0
2019-05-09,3.4814,401615.3
2019-05-10,3.3563,262057.61
2019-05-11,3.4861,321684.54
2019-05-12,3.4283,132167.86
2019-05-13,3.5219,244700.29
2019-05-14,3.58,268449.97
2019-05-15,4.0706,339679.69
2019-05-16,3.8109,259314.35
2019-05-17,3.9384,293969.26
2019-05-18,4.22,135183.33
2019-05-19,4.3838,153274.05
2019-05-20,4.2646,150892.63
2019-05-21,4.3,88428.25
2019-05-22,3.8437,190206.87
2019-05-23,3.8991,128318.67
2019-05-24,4.0056,180139.15
2019-05-25,3.9417,72808.57
2019-05-26,4.0899,82849.26
2019-05-27,4.179,129943.43
2019-05-28,4.2758,190140.64
2019-05-29,4.2183,82297.66
2019-05-30,5.271,564961.14
2019-05-31,5.1982,157307.89
2019-06-01,5.2,89593.42
2019-06-02,5.7623,133595.99
2019-06-03,5.7967,345462.84
2019-06-04,5.2196,244876.52
2019-06-05,5.4871,110978.68
2019-06-06,5.3112,144857.88
2019-06-07,5.55,140874.82
2019-06-08,5.4347,44195.45
2019-06-09,5.1914,53117.45
2019-06-10,5.39,55181.14
2019-06-11,5.2614,24755.79
2019-06-12,5.3967,44040.27
2019-06-13,5.6027,44520.89
2019-06-14,5.606,51473.91
2019-06-15,5.5581,39936.67
2019-06-16,5.99,83621.88
2019-06-17,6.2026,79901.04
2019-06-18,5.9027,45055.21
2019-06-19,5.9008,32873.19
2019-06-20,5.77,33616.22
2019-06-21,5.75,68148.83
2019-06-22,5.8979,120635.74
2019-06-23,5.9292,69945.03
2019-06-24,5.815,105576.55
2019-06-25,5.7803,67773.22
2019-06-26,5.376,194587.36
2019-06-27,4.7818,240461.47
2019-06-28,5.21,48271.93
2019-06-29,5.346,57199.96
2019-06-30,4.7502,42859.9
2019-07-01,4.8596,40966.27
2019-07-02,4.74,78800.03
2019-07-03,4.98,42473.95
2019-07-04,4.8755,49625.63
2019-07-05,4.776,24153.21
2019-07-06,4.722,18963.5
2019-07-07,4.8049,10111.89
2019-07-08,4.6408,60709.4
2019-07-09,4.4584,91008.7
2019-07-10,3.9682,140685.8
2019-07-11,3.8494,184800.27
2019-07-12,4.02,44655.65
2019-07-13,3.8052,19786.94
2019-07-14,3.5257,42238.91
2019-07-15,3.6976,63860.44
2019-07-16,3.34,71582.41
2019-07-17,3.4294,70475.84
2019-07-18,3.6519,41438.77
2019-07-19,3.5169,23338.22
2019-07-20,3.624,23610.01
2019-07-21,3.762,48568.08
2019-07-22,3.5167,61255.51
2019-07-23,3.347,48360.67
2019-07-24,3.4916,89474.43
2019-07-25,3.4166,31982.73
2019-07-26,3.521,27997.06
2019-07-27,3.2744,40221.91
2019-07-28,3.3045,73504.11
2019-07-29,3.2278,18971.38
2019-07-30,3.24,30870.33
2019-07-31,3.2857,20033.19
2019-08-01,3.2001,75873.41
2019-08-02,3.3034,55416.76
2019-08-03,3.3493,18305.32
2019-08-04,3.2462,10246.72
2019-08-05,3.333,62943.29
2019-08-06,3.1713,81198.02
2019-08-07,3.1355,90874.63
2019-08-08,2.916,298614.02
2019-08-09,2.8165,54661.11
2019-08-10,3.0,72080.17
2019-08-11,3.1448,38905.66
2019-08-12,2.9837,56011.51
2019-08-13,2.9151,59398.5
2019-08-14,2.568,68192.3
2019-08-15,2.6063,74592.97
2019-08-16,2.6457,67505.97
2019-08-17,2.6031,28892.96
2019-08-18,2.6877,28392.53
2019-08-19,2.6185,39149.01
2019-08-20,2.5928,34275.33
2019-08-21,2.4047,73787.33
2019-08-22,2.4553,69618.55
2019-08-23,2.413,68816.91
2019-08-24,2.4332,22785.91
2019-08-25,2.3512,65591.04
2019-08-26,2.3386,16163.5
2019-08-27,2.3158,33569.26
2019-08-28,2.1167,92227.14
2019-08-29,1.968,159530.77
2019-08-30,1.9603,50480.84
2019-08-31,1.8457,182164.1
