DATE,PRICE,VOL
2021-12-21,109.61,7450.41291767
2021-12-22,103.96,25685.03186408
2021-12-23,108.38,11376.37624582
2021-12-24,101.47,8060.02442157
2021-12-25,102.07,6199.99255803
2021-12-26,102.78,10746.68314813
2021-12-27,101.07,10420.55594339
2021-12-28,96.51,14234.05356671
2021-12-29,90.87,7358.10828276
2021-12-30,90.0,7018.74476063
2021-12-31,96.05,9634.88775009
2022-01-01,100.8,8107.35952786
2022-01-02,99.47,7440.43486713
2022-01-03,95.83,7372.54368843
2022-01-04,91.3,5110.33189652
2022-01-05,86.48,13247.6618989
2022-01-06,84.19,9565.73931734
2022-01-07,76.44,21150.7356183
2022-01-08,74.12,12522.89770744
2022-01-09,78.78,8496.6295526
2022-01-10,74.74,14528.35318975
2022-01-11,78.89,12201.5023122
2022-01-12,84.12,17090.95280252
2022-01-13,77.9,10694.43779739
2022-01-14,79.19,15914.84546035
2022-01-15,81.86,6907.15111111
2022-01-16,80.9,6484.07259563
2022-01-17,76.04,7305.98395375
2022-01-18,75.87,4824.00268837
2022-01-19,73.0,5832.74269405
2022-01-20,69.71,8109.33672483
2022-01-21,58.38,15343.98516151
2022-01-22,52.85,59975.23112079
2022-01-23,57.17,27121.57442661
2022-01-24,55.4,41894.35234709
2022-01-25,60.25,26079.66378194
2022-01-26,58.79,24239.30901188
2022-01-27,57.98,19775.89353084
2022-01-28,60.2,5821.41346416
2022-01-29,64.38,10686.95397364
2022-01-30,61.09,6987.81885657
2022-01-31,62.45,13716.82133862
2022-02-01,65.21,14550.35398249
2022-02-02,60.08,9537.18452848
2022-02-03,59.85,11423.43216085
2022-02-04,67.58,14806.4103574
2022-02-05,67.79,7329.67272225
2022-02-06,69.02,11216.7815651
2022-02-07,72.89,16162.87165496
2022-02-08,75.7,34214.03421773
2022-02-09,78.9,14654.30074736
2022-02-10,79.92,20674.77924638
2022-02-11,71.94,17504.30424274
2022-02-12,71.42,15740.17612723
2022-02-13,68.61,6953.37409901
2022-02-14,72.48,13927.50952182
2022-02-15,81.74,21391.39867254
2022-02-16,83.75,22634.03384932
2022-02-17,77.82,29956.63276233
2022-02-18,73.97,13551.33391806
2022-02-19,75.0,5804.53626985
2022-02-20,68.13,14123.04426991
2022-02-21,61.81,27677.6275358399
2022-02-22,65.76,18155.73701925
2022-02-23,64.81,12311.10565116
2022-02-24,68.13,49058.3323881499
2022-02-25,71.75,12054.40843862
2022-02-26,72.85,6514.08994565
2022-02-27,67.19,22304.28960789
2022-02-28,75.32,24664.1869783699
2022-03-01,78.06,33209.75783374
2022-03-02,74.95,17232.99865796
2022-03-03,70.85,7063.94664639
2022-03-04,69.17,15244.97934023
2022-03-05,70.23,9082.1587553
2022-03-06,66.86,7534.90877389
2022-03-07,66.05,19146.62704848
2022-03-08,67.07,19852.34443128
2022-03-09,70.18,22670.34851188
2022-03-10,67.1,8154.01005551
2022-03-11,65.18,10273.52063873
2022-03-12,65.12,5164.04144766
2022-03-13,62.12,7223.80351585
2022-03-14,63.26,16016.39175534
2022-03-15,63.63,10160.90325483
2022-03-16,67.26,9164.65143946
2022-03-17,71.99,28187.72207668
2022-03-18,77.45,29110.0364665999
2022-03-19,81.01,30570.08339659
2022-03-20,76.65,11226.73066837
2022-03-21,78.21,39217.95659546
2022-03-22,76.12,44268.46182825
2022-03-23,78.27,53509.81510244
2022-03-24,79.49,13393.23037603
2022-03-25,76.3,14935.72954098
2022-03-26,78.15,4813.97953053
2022-03-27,81.83,4895.23439188
2022-03-28,81.63,34746.5307326898
2022-03-29,83.66,8978.35702836
2022-03-30,85.3,32859.7480900299
2022-03-31,87.95,34798.83350707
2022-04-01,87.55,36212.54020456
2022-04-02,86.84,18989.3913605
2022-04-03,88.9,12638.46406099
2022-04-04,87.55,19451.64660789
2022-04-05,83.34,13912.92868129
2022-04-06,76.15,18132.06489442
2022-04-07,80.75,13753.47469071
2022-04-08,76.98,13501.99958824
2022-04-09,77.86,9142.37254783
2022-04-10,74.32,4832.25866209
2022-04-11,68.19,23005.8573671399
2022-04-12,70.45,17339.16466202
2022-04-13,73.6,23576.1080399
2022-04-14,70.98,21718.1260768999
2022-04-15,71.57,9698.22833745
2022-04-16,72.3,3438.97270014
2022-04-17,70.21,1536.70873787
2022-04-18,71.96,26454.59397416
2022-04-19,74.5,8344.99202268
2022-04-20,72.16,9362.44357547
2022-04-21,69.3,8667.2813773
2022-04-22,68.63,5204.50591012
2022-04-23,67.58,3948.18826006
2022-04-24,66.24,20313.0375352
2022-04-25,68.03,20891.8126955701
2022-04-26,64.3,29650.10580827
2022-04-27,66.09,6600.71500855
2022-04-28,64.02,13283.58377098
2022-04-29,59.99,18070.64519479
2022-04-30,54.14,21909.77210695
2022-05-01,55.78,12501.94302014
2022-05-02,57.51,19674.73291882
2022-05-03,56.68,10781.59302314
2022-05-04,63.16,32824.5750174499
2022-05-05,56.05,43923.30787992
2022-05-06,54.07,52722.0897383701
2022-05-07,52.36,26985.41464825
2022-05-08,48.83,18406.3847683
2022-05-09,39.0,47141.1901456099
2022-05-10,42.31,37265.7382327199
2022-05-11,29.3,192795.6888668798
2022-05-12,29.01,96504.8378376107
2022-05-13,30.68,66803.38735648
2022-05-14,32.77,14490.28399438
2022-05-15,35.12,43777.10552255
2022-05-16,31.05,17774.57403293
2022-05-17,32.57,21040.40797513
2022-05-18,28.09,43889.24951547
2022-05-19,28.7,46313.36988204
2022-05-20,27.22,19762.09797314
2022-05-21,28.26,10064.81389256
2022-05-22,30.0,41396.29629063
2022-05-23,27.15,39674.4822098498
2022-05-24,27.0,19249.11587213
2022-05-25,25.51,18185.08299537
2022-05-26,21.83,48901.3068466399
2022-05-27,20.87,51700.69828234
2022-05-28,23.07,33968.94855703
2022-05-29,24.35,30975.36264659
2022-05-30,25.7,32264.4650262096
2022-05-31,24.53,35135.64862606
2022-06-01,22.21,17632.39575869
2022-06-02,22.91,14822.96119809
2022-06-03,21.4,17173.92090288
2022-06-04,22.87,9886.74783924
2022-06-05,22.52,13166.58611435
2022-06-06,24.29,65822.6082904401
2022-06-07,22.98,43100.60982633
2022-06-08,22.86,9612.30844113
2022-06-09,23.01,12268.9473812
2022-06-10,20.9,20718.01755796
2022-06-11,18.82,37663.38468309
2022-06-12,16.43,82120.91312262
2022-06-13,15.36,120012.0542303221
2022-06-14,15.83,43287.22442384
2022-06-15,17.42,90711.7984429201
2022-06-16,14.96,35316.4791049299
2022-06-17,15.23,25757.18140066
2022-06-18,14.14,50966.90235104
2022-06-19,15.4,49178.50669567
2022-06-20,16.34,44954.43579242
2022-06-21,15.96,37170.9843095
2022-06-22,15.21,45305.89441926
2022-06-23,17.36,21427.37449619
