DATE,PRICE,VOL
2017-08-01,291.8489,31393.03
2017-08-02,415.0003,110822.1
2017-08-03,341.0,40367.21
2017-08-04,240.01,37812.38
2017-08-05,211.0,17302.74
2017-08-06,237.0,13930.69
2017-08-07,272.0099,60658.5
2017-08-08,296.14,28238.99
2017-08-09,257.9979,20268.43
2017-08-10,236.2772,16226.34
2017-08-11,278.1,28205.93
2017-08-12,270.0,10596.45
2017-08-13,252.5101,8280.87
2017-08-14,257.0,13383.66
2017-08-15,252.8029,8312.96
2017-08-16,254.3346,6905.05
2017-08-17,371.5004,35044.44
2017-08-18,595.0,63069.74
2017-08-19,625.0,40630.83
2017-08-20,613.0275,23717.07
2017-08-21,507.9995,25642.24
2017-08-22,581.0582,22774.07
2017-08-23,582.0,8148.31
2017-08-24,528.1328,11242.93
2017-08-25,534.2997,6405.78
2017-08-26,521.8,2785.43
2017-08-27,518.5002,10734.64
2017-08-28,493.6625,9274.32
2017-08-29,453.0,10413.37
2017-08-30,483.628,13554.99
2017-08-31,498.051,7960.9
2017-09-01,532.284,9050.56
2017-09-02,489.6,6066.45
2017-09-03,516.998,4535.75
2017-09-04,446.0,12196.24
2017-09-05,473.997,6304.09
2017-09-06,551.6,12306.19
2017-09-07,561.7,11284.46
2017-09-08,515.1,10314.76
2017-09-09,502.2,4963.41
2017-09-10,471.7,5454.28
2017-09-11,471.4,3477.5
2017-09-12,449.6,5528.34
2017-09-13,425.4,8519.4
2017-09-14,327.7,9778.37
2017-09-15,368.5,16819.94
2017-09-16,376.0,6562.1
2017-09-17,371.2,4103.84
2017-09-18,409.9,8286.11
2017-09-19,444.4,9047.86
2017-09-20,400.8,5048.35
2017-09-21,352.4,6933.71
2017-09-22,346.0,4893.53
2017-09-23,360.0,3538.03
2017-09-24,356.4,1459.18
2017-09-25,379.4,3537.38
2017-09-26,377.3,2428.02
2017-09-27,392.4,3494.6
2017-09-28,388.2,4763.94
2017-09-29,370.6,2355.66
2017-09-30,365.4,3666.31
2017-10-01,350.5,4040.66
2017-10-02,353.7,4806.46
2017-10-03,341.9,2093.25
2017-10-04,303.1,8327.98
2017-10-05,302.8,7218.22
2017-10-06,308.3,3398.4
2017-10-07,305.3,1735.13
2017-10-08,289.0,4814.76
2017-10-09,264.7,12100.88
2017-10-10,268.0,7133.83
2017-10-11,264.5,3938.77
2017-10-12,259.2,7687.57
2017-10-13,267.1,9111.12
2017-10-14,269.1,3608.98
2017-10-15,263.1,2491.1
2017-10-16,264.2,2896.3
2017-10-17,313.6,21534.89
2017-10-18,289.3,9748.83
2017-10-19,280.2,2758.35
2017-10-20,275.5,3397.88
2017-10-21,273.4,1634.96
2017-10-22,279.1,3524.07
2017-10-23,265.6,2685.08
2017-10-24,275.5,3467.43
2017-10-25,282.0,2325.56
2017-10-26,289.2,3426.94
2017-10-27,315.0,6808.11
2017-10-28,360.6,12486.07
2017-10-29,384.9,32773.65
2017-10-30,379.0,15432.76
2017-10-31,374.0,5730.32
2017-11-01,458.0,15200.1
2017-11-02,489.0,13472.98
2017-11-03,540.6,25745.11
2017-11-04,530.0,15059.46
2017-11-05,534.8,13955.42
2017-11-06,512.3,8856.23
2017-11-07,525.7,4988.17
2017-11-08,541.0,14814.64
2017-11-09,577.0,10883.55
2017-11-10,840.0,51575.04
2017-11-11,1123.1,38692.66
2017-11-12,1360.0,65679.4
2017-11-13,1163.4,32099.39
2017-11-14,1074.5,10864.79
2017-11-15,1013.9,10263.76
2017-11-16,757.9,19580.1
2017-11-17,1013.5,20413.98
2017-11-18,1045.0,15907.57
2017-11-19,993.8,9929.47
2017-11-20,1042.0,5240.72
2017-11-21,1001.6,5087.91
2017-11-22,1100.0,9940.05
2017-11-23,1363.0,17946.78
2017-11-24,1400.0,11974.38
2017-11-25,1295.0,7146.24
2017-11-26,1412.1,5551.67
2017-11-27,1330.0,5840.79
2017-11-28,1237.0,7083.6
2017-11-29,1129.7,14321.52
2017-11-30,1140.0,7496.78
2017-12-01,1210.0,7002.64
2017-12-02,1180.0,3013.24
2017-12-03,1251.1,6401.59
2017-12-04,1283.0,3496.74
2017-12-05,1246.3,4136.85
2017-12-06,1135.2,6297.99
2017-12-07,1044.8,6469.11
2017-12-08,1160.0,8255.09
2017-12-09,1131.1,3405.7
2017-12-10,1058.1,3150.77
2017-12-11,1139.5,4399.3
2017-12-12,1258.0,5571.72
2017-12-13,1312.0,5838.88
2017-12-14,1596.0,11030.67
2017-12-15,1490.5,5605.64
2017-12-16,1494.0,2999.48
2017-12-17,1493.7,3060.57
2017-12-18,1776.0,9763.83
2017-12-19,2326.0,14522.35
2017-12-20,3132.8,30540.88
2017-12-21,2436.0,11595.56
2017-12-22,2173.6,18625.0
2017-12-23,2520.0,8728.03
2017-12-24,2398.0,6800.22
2017-12-25,2315.0,1965.88
2017-12-26,2411.2,2468.85
2017-12-27,2294.0,3212.0
2017-12-28,2105.3,4219.46
2017-12-29,2243.5,6333.25
2017-12-30,1886.4,7583.23
2017-12-31,2061.5,2921.11
2018-01-01,1962.2,2199.39
2018-01-02,2120.9,4208.92
2018-01-03,2138.9,2981.85
2018-01-04,1992.1,4316.45
2018-01-05,1993.3,3593.03
2018-01-06,2100.0,2776.49
2018-01-07,2069.9,2912.24
2018-01-08,2033.0,4265.79
2018-01-09,1980.2,3322.61
2018-01-10,2370.0,6753.98
2018-01-11,2095.7,2065.92
2018-01-13,2193.5,1903.46
2018-01-14,2085.0,3616.47
2018-01-15,1965.0,5220.07
2018-01-16,1452.5,18878.86
2018-01-17,1447.8,18576.4
2018-01-18,1434.2,12222.93
2018-01-19,1461.0,5924.97
2018-01-20,1671.8,7448.75
2018-01-21,1470.9,7422.74
2018-01-22,1317.0,7055.53
2018-01-23,1316.2,5486.65
2018-01-24,1340.0,3750.69
2018-01-25,1316.2,2674.38
2018-01-26,1287.3,3149.26
2018-01-27,1311.4,2110.6
