DATE,PRICE,VOL
2025-04-22,558.52,6.43
2025-04-23,535.40,12.59
2025-04-24,529.72,58.75
2025-04-25,528.87,21.46
2025-04-26,539.70,67.21
2025-04-27,533.85,12.93
2025-04-28,533.41,54.47
2025-04-29,528.15,14.0
2025-04-30,529.78,43.64
2025-05-01,531.58,4.01
2025-05-02,533.04,81.34
2025-05-03,531.68,6.5
2025-05-04,518.48,3.87
2025-05-05,531.49,21.86
2025-05-06,532.26,60.43
2025-05-07,533.69,166.62
2025-05-08,559.40,52.24
2025-05-09,593.27,144.34
2025-05-10,587.38,338.75
2025-05-11,578.89,186.23
2025-05-12,597.43,79.77
2025-05-13,596.38,74.61
2025-05-14,583.39,203.04
2025-05-15,579.31,26.66
2025-05-16,579.11,66.5
2025-05-17,573.28,19.45
2025-05-18,576.64,21.01
2025-05-19,579.22,26.51
2025-05-20,578.01,18.3
2025-05-21,597.83,180.62
2025-05-22,605.93,46.98
2025-05-23,577.81,64.64
2025-05-24,587.45,11.13
2025-05-25,588.16,7.26
2025-05-26,591.31,55.24
2025-05-27,605.56,78.1
2025-05-28,610.04,14.26
2025-05-29,594.11,126.59
2025-05-30,576.94,57.26
2025-05-31,580.46,14.26
2025-06-01,583.01,8.54
2025-06-02,581.19,30.65
2025-06-03,581.78,58.86
2025-06-04,581.37,34.28
2025-06-05,553.30,32.93
2025-06-06,565.24,36.35
2025-06-07,571.48,16.68
2025-06-08,572.20,15.86
2025-06-09,581.19,42.44
2025-06-10,588.13,53.18
2025-06-11,577.91,63.19
2025-06-12,566.96,34.87
2025-06-13,567.51,146.36
2025-06-14,560.33,8.43
2025-06-15,561.65,15.5
2025-06-16,564.20,112.76
2025-06-17,563.94,43.21
2025-06-18,562.05,14.91
2025-06-19,559.92,71.43
2025-06-20,556.67,63.8
2025-06-21,543.56,13.5
2025-06-22,535.49,87.11
2025-06-23,552.70,76.45
2025-06-24,554.81,54.15
2025-06-25,554.13,122.29
2025-06-26,550.20,66.9
2025-06-27,552.62,31.92
2025-06-28,554.22,8.39
2025-06-29,558.70,32.64
2025-06-30,558.36,74.29
2025-07-01,547.54,59.89
2025-07-02,559.24,31.7
2025-07-03,564.32,226.29
2025-07-04,555.28,4.1
2025-07-05,557.57,5.02
