DATE,PRICE,VOL
2020-08-18,2.6095,1162560.0552907018
2020-08-19,2.47,661774.9761059514
2020-08-20,2.4515,525114.9904288403
2020-08-21,2.6251,351760.7744503487
2020-08-22,3.7852,1570837.9058709934
2020-08-23,3.3733,712261.8287789305
2020-08-24,3.8772,1130955.4812826547
2020-08-25,4.6311,1729540.834165042
2020-08-26,5.1216,1946146.2901487213
2020-08-27,4.7824,1984109.7478355493
2020-08-28,5.1544,896556.2448402485
2020-08-29,5.18,609479.6058173486
2020-08-30,4.9201,780934.6721117595
2020-08-31,5.2904,627799.9155846807
2020-09-01,5.2344,769794.8027543414
2020-09-02,5.181,691723.5375363001
2020-09-03,4.8577,1364479.1568158274
2020-09-04,4.343,1162078.4699640574
2020-09-05,3.5037,1719930.6639165112
2020-09-06,4.0486,964478.2312954305
2020-09-07,3.8952,719839.7850901689
2020-09-08,3.6411,539223.9150604005
2020-09-09,3.9939,613274.5275685323
2020-09-10,3.8857,563352.4402510498
2020-09-11,3.913,288513.5173304803
2020-09-12,4.3585,529678.5909363498
2020-09-13,4.4736,787246.9789504305
2020-09-14,4.5099,586526.5803488607
2020-09-15,4.27,455779.3914955306
2020-09-16,4.2981,280210.4964661101
2020-09-17,4.5172,316546.2915713708
2020-09-18,4.4368,286079.9867538198
2020-09-19,4.1657,269192.8226079102
2020-09-20,3.9328,393160.1478303597
2020-09-21,3.4564,1188959.231865626
2020-09-22,3.5698,382991.7308698898
2020-09-23,3.4407,426648.0262319008
2020-09-24,3.7539,559200.0789762185
2020-09-25,3.8028,336902.0496041201
2020-09-26,3.73,332335.4381995598
2020-09-27,3.6981,153805.1619344901
2020-09-28,3.8093,433503.9805782599
2020-09-29,3.8236,285033.0281832699
2020-09-30,3.7165,173891.12390371
2020-10-01,3.7025,389277.2220754004
2020-10-02,3.5209,581037.5618538798
2020-10-03,3.4836,58889.58752637
2020-10-04,3.579,225872.4092907201
2020-10-05,3.5278,154333.5708103862
2020-10-06,3.1916,628050.2201855517
2020-10-07,3.2788,237280.7683857902
2020-10-08,3.4913,363232.8398831306
2020-10-09,3.6048,562719.4971920701
2020-10-10,3.5845,211300.8391051401
2020-10-11,3.6006,194575.9987435505
2020-10-12,3.6398,331844.6079227105
2020-10-13,3.62,244880.3150283599
2020-10-14,3.5811,424801.1160212903
2020-10-15,3.497,198600.3343060398
2020-10-16,3.3302,420016.9874923701
2020-10-17,3.3851,92840.77341064
2020-10-18,3.5065,127466.7297179401
2020-10-19,3.3917,143224.1353759699
2020-10-20,3.3,359826.7800619201
2020-10-21,3.4784,277747.47934851
2020-10-22,3.6134,346914.4795859396
2020-10-23,3.583,442771.5420776403
2020-10-24,3.6547,74773.0085987298
2020-10-25,3.6513,108259.2676504
2020-10-26,3.991,713105.7976404993
2020-10-27,3.9675,467514.823448711
2020-10-28,3.7192,422098.6197979103
2020-10-29,3.4764,402240.6925811805
2020-10-30,3.5159,243999.54085668
2020-10-31,3.5916,111129.4316695099
2020-11-01,3.6297,105894.26270922
2020-11-02,3.4673,197194.0326109002
2020-11-03,3.43,215678.51623146
2020-11-04,3.4969,260459.06612205
2020-11-05,3.5706,313552.9754117006
2020-11-06,3.8646,316701.1327427298
2020-11-07,3.5545,654764.7079409384
2020-11-08,3.6713,226490.7034097599
2020-11-09,3.6667,281023.6753802604
2020-11-10,3.7444,235207.71218153
2020-11-11,3.7769,387328.6897627701
2020-11-12,3.7282,228141.6077060101
2020-11-13,3.8449,221089.2018576502
2020-11-14,3.7719,206097.29446823
2020-11-15,3.6994,129795.7029112601
2020-11-16,3.7882,259006.8850432499
2020-11-17,4.0919,943676.9703629208
2020-11-18,3.9581,507439.4169504904
2020-11-19,4.0128,220970.1146236101
2020-11-20,4.41,1147138.1213384797
2020-11-21,4.8613,898929.2821444937
2020-11-22,4.637,549791.2938264207
2020-11-23,4.9906,882370.6463847362
2020-11-24,4.8161,674184.3416521811
2020-11-25,4.4574,485246.9748046905
2020-11-26,4.0325,1031418.6861824614
2020-11-27,4.0269,362800.7556007701
2020-11-28,4.1,162584.56911328
2020-11-29,4.3437,235627.8160357395
2020-11-30,4.4842,556431.708954281
2020-12-01,4.2223,625547.1712267599
2020-12-02,4.5089,359832.9975917293
2020-12-03,4.4525,233018.52492351
2020-12-04,4.1453,268503.9563996601
2020-12-05,4.2799,180603.54249869
2020-12-06,4.2321,147855.2038244401
2020-12-07,4.1745,235344.87592906
2020-12-08,3.9109,503411.3990562902
2020-12-09,4.0427,559319.3587712195
2020-12-10,3.9532,112908.35245554
2020-12-11,3.8081,207835.59809806
2020-12-12,3.9145,143048.10629575
2020-12-13,4.0291,214721.3756488699
2020-12-14,4.0308,119205.5709813798
2020-12-15,4.3221,369487.6737497899
2020-12-16,4.4,367516.9479646
2020-12-17,4.3592,540128.0422123215
2020-12-18,4.3739,202525.2425307102
2020-12-19,4.3369,203186.2135168407
2020-12-20,4.2423,215934.8752662102
2020-12-21,3.9885,561112.08980318
2020-12-22,4.2251,418622.894424609
2020-12-23,3.8816,388236.7265199
2020-12-24,4.2,398625.1218733905
2020-12-25,4.2711,283783.0582590405
2020-12-26,4.227,270354.4766782105
2020-12-27,4.1791,576379.12553899
2020-12-28,5.3865,3056601.291371541
2020-12-29,6.137,3048867.367079511
2020-12-30,5.8857,1721725.0039152843
2020-12-31,7.5752,2505065.99478048
2021-01-01,6.78,1676525.975013858
2021-01-02,7.4228,2388424.048398993
2021-01-03,7.9751,1765979.2386405612
2021-01-04,7.7499,1667809.4077604676
2021-01-05,7.9,998436.9642557788
2021-01-06,8.15,1285287.8660246604
2021-01-07,7.817,1466353.2980289992
2021-01-08,7.56,1032431.9733793688
2021-01-09,7.797,415216.3992023504
2021-01-10,7.5208,912659.6768302514
2021-01-11,6.8181,1480241.4591901186
2021-01-12,6.8245,650603.9970624597
2021-01-13,8.9862,2507893.838068219
2021-01-14,11.8716,2466481.769044631
2021-01-15,10.9373,2728730.311947692
2021-01-16,14.8685,4866058.620560431
