DATE,PRICE,VOL
2017-07-01,1.08988,875653.6345174513
2017-07-02,2.82503,3543587.624806648
2017-07-03,3.75998,4048980.8485605386
2017-07-04,2.85562,3117180.6984764733
2017-07-05,2.5,992022.6513926547
2017-07-06,2.86,1059200.8776167815
2017-07-07,2.35006,916820.233193819
2017-07-08,2.11111,1218390.0119802812
2017-07-09,1.94839,639041.6759443296
2017-07-10,1.48514,860186.4938991283
2017-07-11,1.33488,1533629.553386068
2017-07-12,1.75995,1336810.1183235925
2017-07-13,1.4702,735977.7927619499
2017-07-14,1.33896,914508.457747086
2017-07-15,1.12755,875016.4019049078
2017-07-16,1.086,915584.319904719
2017-07-17,1.36479,1298879.716054719
2017-07-18,1.46493,1135613.9790734116
2017-07-19,1.29101,916623.547010504
2017-07-20,1.45644,641483.4278974398
2017-07-21,1.55,781986.8356813077
2017-07-22,1.745,529403.7783996299
2017-07-23,1.64037,737851.5733707976
2017-07-24,1.62501,353584.79642786
2017-07-25,1.44806,731623.0707096476
2017-07-26,1.46986,513587.2967150576
2017-07-27,1.67337,805205.8581652805
2017-07-28,1.54932,898085.0236220671
2017-07-29,1.56205,674494.4029578182
2017-07-30,1.53239,418885.4821975787
2017-07-31,1.47044,458211.5899058793
2017-08-01,1.51162,562452.1381385791
2017-08-02,1.472,747665.1871790993
2017-08-03,1.50552,317349.3156102299
2017-08-04,1.49525,355851.2159592105
2017-08-05,1.55395,645274.7787091873
2017-08-06,1.48003,397653.4993144899
2017-08-07,1.513,393862.4714936403
2017-08-08,1.56234,682668.48871325
2017-08-09,1.58102,262715.15689169
2017-08-10,1.57939,303673.4902125498
2017-08-11,1.5,288081.4691561605
2017-08-12,1.40206,435243.9362983401
2017-08-13,1.37,467134.4829376998
2017-08-14,1.35616,293257.2048140208
2017-08-15,1.38535,407345.3873463299
2017-08-16,1.36491,234816.2784830702
2017-08-17,1.3,496011.9314522616
2017-08-18,1.247,605651.509163921
2017-08-19,1.214,272958.1498454204
2017-08-20,1.16519,278544.9229599099
2017-08-21,1.12441,726381.0843840889
2017-08-22,1.07022,231312.0706065904
2018-02-16,7.8,25.0
2018-02-17,8.35,121277.91246245
2018-02-18,7.5183,45271.98149077
2018-02-19,7.7378,58872.7522815701
2018-02-20,7.3849,115831.88929627
2018-02-21,6.77,102600.5830806399
2018-02-22,6.3005,107327.4187632298
2018-02-23,6.73,92033.18032162
2018-02-24,6.4655,94141.65442144
2018-02-25,6.2799,33273.89401767
2018-02-26,6.5572,110274.7773712
2018-02-27,6.8321,113715.6390416199
2018-02-28,6.68,113284.0972737499
2018-03-01,6.9064,40689.7514277301
2018-03-02,6.5096,115062.85427826
2018-03-03,6.4531,55072.5006194
2018-03-04,6.571,43221.61002672
2018-03-05,6.3881,69822.30059935
2018-03-06,5.7798,104711.3895234199
2018-03-07,5.1704,229494.1102484403
2018-03-08,4.9403,159743.9425830903
2018-03-09,4.98,213047.1873009705
2018-03-10,4.607,144869.7450195999
2018-03-11,4.9119,75654.9003527899
2018-03-12,4.65,86925.93519157
2018-03-13,4.7199,56363.42891591
2018-03-14,4.26,103272.6257396699
2018-03-15,4.18,221615.3938412199
2018-03-16,4.1056,81102.14109545
2018-03-17,3.7162,82549.7642751
2018-03-18,3.7817,247974.5953029402
2018-03-19,5.08,456450.6445345405
2018-03-20,4.9592,533419.0162820499
2018-03-21,5.6999,540427.8170589918
2018-03-22,5.5328,766418.1503929718
2018-03-23,5.7012,314700.2075718801
2018-03-24,5.261,177192.4027150301
2018-03-25,5.2371,51488.77635159
2018-03-26,4.6777,339290.0486316995
2018-03-27,4.69,322804.5789711101
2018-03-28,5.0001,233793.6810405002
2018-03-29,4.7669,306312.4905606302
2018-03-30,4.8697,387982.7874020896
2018-03-31,4.7911,184347.9191883505
2018-04-01,4.5301,269245.7930861801
2018-04-02,4.684,215423.9418857701
2018-04-03,4.95,292480.2614557201
2018-04-04,4.5975,295415.730243339
2018-04-05,5.1503,366587.8336628011
2018-04-06,4.7491,237010.2845889803
2018-04-07,4.7857,80402.73471708
2018-04-08,4.8545,35710.91042689
2018-04-09,4.7518,141576.8642761
2018-04-10,4.8563,78400.94139614
2018-04-11,6.8648,1017990.2203906628
2018-04-12,7.15,839390.2979154694
2018-04-13,7.1,455303.5254205497
2018-04-14,7.0894,198217.96317854
2018-04-15,6.9326,257973.5675816003
2018-04-16,6.5681,216024.7782578006
2018-04-17,6.82,258388.1594189502
2018-04-18,7.3284,187724.785065
2018-04-19,7.63,230252.6451227504
