DATE,PRICE,VOL
2016-07-27,1.44,657456.970884621
2016-07-28,1.5707,527918.0990884192
2016-07-29,1.46929,213808.1411895698
2016-07-30,1.3865,165545.4546421901
2016-07-31,1.58405,424543.3918892499
2016-08-01,2.038,853023.0881887714
2016-08-02,2.41963,1556579.5536530423
2016-08-03,2.35122,495292.7534854994
2016-08-04,2.13458,468815.6053909104
2016-08-05,2.356,202464.8079243096
2016-08-06,2.44,307322.8483441198
2016-08-07,1.95806,344998.97189795
2016-08-08,1.97,260864.8128592601
2016-08-09,1.74925,666677.2731013662
2016-08-10,1.53045,832257.0938114533
2016-08-11,1.67098,279166.0087597002
2016-08-12,1.67998,194047.5097874903
2016-08-13,1.6745,46483.62482589
2016-08-14,1.73032,68833.79748124
2016-08-15,1.665,117414.2421510301
2016-08-16,1.6465,101905.01381316
2016-08-17,1.5404,99291.9187845501
2016-08-18,1.493,90744.94966517
2016-08-19,1.57811,89934.1271816
2016-08-20,1.54257,37911.90747975
2016-08-21,1.52,19117.78563972
2016-08-22,1.48149,44018.1863951
2016-08-23,1.41529,82614.13564439
2016-08-24,1.29,101643.8466345401
2016-08-25,1.216,280773.1266710404
2016-08-26,1.2812,108630.2524925603
2016-08-27,1.20357,67796.37018774
2016-08-28,1.1772,114798.5811218101
2016-08-29,1.13,125646.15707008
2016-08-30,1.10101,169699.0301946298
2016-08-31,1.05001,167645.8402756401
2016-09-01,1.3,288665.6841136799
2016-09-02,1.24522,88554.2933223699
2016-09-03,1.19551,106718.1156154899
2016-09-04,1.29989,66213.87436107
2016-09-05,1.30515,140713.0073249999
2016-09-06,1.3041,46005.21993551
2016-09-07,1.30972,36522.55608163
2016-09-08,1.28177,45661.82141259
2016-09-09,1.25,42526.24341288
2016-09-10,1.26583,14671.31968794
2016-09-11,1.17791,80691.03685555
2016-09-12,1.17239,30582.29922298
2016-09-13,1.149,32222.75838352
2016-09-14,1.14869,49680.80680061
2016-09-15,1.138,38799.58758861
2016-09-16,1.1844,43099.6983907
2016-09-17,1.18649,28125.84055808
2016-09-18,1.18,68986.44965291
2016-09-19,1.139,19322.75117051
2016-09-20,1.111,62749.90334108
2016-09-21,1.09559,116160.09721619
2016-09-22,1.11886,206095.7378561399
2016-09-23,1.1,55665.48175165
2016-09-24,1.116,20715.08396921
2016-09-25,1.08211,36170.32134079
2016-09-26,1.07,27077.42899305
2016-09-27,1.06947,59067.02021978
2016-09-28,1.11191,54225.71078313
2016-09-29,1.1498,42711.18547698
2016-09-30,1.12013,11412.9722431
2016-10-01,1.06121,78936.46230441
2016-10-02,1.06538,8895.97254472
2016-10-03,1.0648,59905.6672888
2016-10-04,1.03962,28863.76554884
2016-10-05,1.07349,64529.9649738
2016-10-06,1.055,23680.74250163
2016-10-07,1.05011,17901.98353689
2016-10-08,1.05771,16759.0316337
2016-10-09,1.055,5893.85927411
2016-10-10,1.03811,27076.97142139
2016-10-11,0.99983,56178.33724866
2016-10-12,0.94886,105268.0177971199
2016-10-13,0.9116,76794.1750882
2016-10-14,0.9012,27807.84229696
2016-10-15,0.908,16794.76289096
2016-10-16,1.0908,108165.6938531201
2016-10-17,0.97202,121596.19765815
2016-10-18,0.97,70091.79530877
2016-10-19,0.96467,72263.5231046301
2016-10-20,0.96,19020.37964193
