DATE,PRICE,VOL
2015-08-07,2.56,5531.15315892
2015-08-08,0.65,34229.27417692
2015-08-09,0.7,4288.88071947
2015-08-10,0.67999,8681.88370329
2015-08-11,1.0,26552.18105968
2015-08-12,1.09315,40528.24606068
2015-08-13,1.62276,37314.3144570099
2015-08-14,1.58001,80570.49074845
2015-08-15,1.524,40455.63714831
2015-08-16,1.41569,31764.84802543
2015-08-17,1.075,31129.71721975
2015-08-18,1.109,30932.05988471
2015-08-19,1.16175,9977.05942609
2015-08-20,1.32165,13187.70524954
2015-08-21,1.23043,14598.4468884
2015-08-22,1.20138,16980.77041985
2015-08-23,1.2185,10206.56818209
2015-08-24,1.08,18783.70229921
2015-08-25,1.00748,40058.73183454
2015-08-26,1.00536,20718.62349289
2015-08-27,1.02801,36463.68186349
2015-08-28,1.05002,8710.78588293
2015-08-29,1.04167,1604.66066728
2015-08-30,1.19589,24346.40267893
2015-08-31,1.18214,28470.93862371
2015-09-01,1.20212,16716.98156261
2015-09-02,1.16779,10996.69514431
2015-09-03,1.15599,10129.67842757
2015-09-04,1.1535,11508.82585732
2015-09-05,1.21206,15243.2616471
2015-09-06,1.175,15275.18477957
2015-09-07,1.11876,28082.22545923
2015-09-08,1.10007,13095.51124694
2015-09-09,1.07001,12800.17048066
2015-09-10,1.04999,33772.59471254
2015-09-11,0.86213,54182.65235629
2015-09-12,0.92132,19792.9262482
2015-09-13,0.82501,13810.20400012
2015-09-14,0.78,22387.81971079
2015-09-15,0.83649,14670.74956198
2015-09-16,0.805,21110.11729672
2015-09-17,0.7889,35698.47886043
2015-09-18,0.74,14543.6127997
2015-09-19,0.77549,5777.06542931
2015-09-20,0.8466,12553.48253705
2015-09-21,0.79801,7821.02112066
2015-09-22,0.82097,19455.3395903
2015-09-23,0.78806,3253.40599449
2015-09-24,0.721,31591.16084901
2015-09-25,0.61099,56069.2812146397
2015-09-26,0.68601,3010.76442733
2015-09-27,0.64119,11313.05007242
2015-09-28,0.52993,27690.4781365
2015-09-29,0.59059,12693.58408293
2015-09-30,0.66,11342.03201231
2015-10-01,0.60706,7768.4362817
2015-10-02,0.60973,3085.8666672
2015-10-03,0.61716,985.37715263
2015-10-04,0.602,698.9286772
2015-10-05,0.55554,7045.96113204
2015-10-06,0.57,10604.33793919
2015-10-07,0.54661,4383.68470958
2015-10-08,0.57,5287.61747249
2015-10-09,0.58,7071.34124198
2015-10-10,0.55805,868.9666791
2015-10-11,0.55,3595.24882426
2015-10-12,0.555,935.46250525
2015-10-13,0.53,11869.56097424
2015-10-14,0.46,84053.8275673399
2015-10-15,0.489,5031.68309731
2015-10-16,0.467,21628.48676186
2015-10-17,0.48,32842.23153764
2015-10-18,0.45776,1895.11977748
2015-10-19,0.44195,6643.94275594
2015-10-20,0.38,31116.33327634
2015-10-21,0.39123,83409.6051337099
2015-10-22,0.50659,52961.6348332899
2015-10-23,0.48174,18283.31861538
2015-10-24,0.51001,4153.25039772
2015-10-25,0.55,35521.90664009
2015-10-26,0.66169,31572.9444242
2015-10-27,0.787,61863.14103616
2015-10-28,0.86929,71593.64867901
2015-10-29,1.085,46160.6939926601
2015-10-30,0.945,79838.5049281201
2015-10-31,0.819,20066.54808033
2015-11-01,0.96999,24043.73005731
2015-11-02,0.86101,30409.69474503
2015-11-03,0.90179,40890.00920759
2015-11-04,0.83998,76884.71484579
2015-11-05,0.83504,14866.48544093
2015-11-06,0.86,36372.9270875399
2015-11-07,0.84689,35692.04750446
2015-11-08,0.95,28297.62126913
2015-11-09,0.92825,82365.24484395
2015-11-10,0.87064,55815.18156482
