DATE,PRICE,VOL
2022-05-06,0.2499,24379.88
2022-05-07,0.2525,13361.42
2022-05-08,0.237,1862.48
2022-05-09,0.19,22946.07
2022-05-10,0.1829,26203.98
2022-05-11,0.1241,46770.28
2022-05-12,0.1834,63290.3
2022-05-13,0.171,24239.16
2022-05-14,0.1868,16437.71
2022-05-15,0.1885,18432.18
2022-05-16,0.1827,13029.1
2022-05-17,0.1812,20930.25
2022-05-18,0.1701,12211.61
2022-05-19,0.1779,46224.84
2022-05-20,0.1686,4246.37
2022-05-21,0.1614,8013.81
2022-05-22,0.165,3660.13
2022-05-23,0.1551,6799.21
2022-05-24,0.1699,6649.42
2022-05-25,0.1674,12045.92
2022-05-26,0.1562,57509.12
2022-05-27,0.135,69223.4
2022-05-28,0.156,13999.35
2022-05-29,0.1507,19443.35
2022-05-30,0.1559,51019.56
2022-05-31,0.1599,21781.17
2022-06-01,0.1453,5659.35
2022-06-02,0.1536,25093.9
2022-06-03,0.1448,2874.06
2022-06-04,0.1434,4200.31
2022-06-05,0.1383,7627.9
2022-06-06,0.1422,6625.03
2022-06-07,0.1461,24367.69
2022-06-08,0.1399,12366.49
2022-06-09,0.1483,7334.29
2022-06-10,0.1369,36268.17
2022-06-11,0.1315,10629.18
2022-06-12,0.1095,22155.24
2022-06-13,0.1097,60943.17
2022-06-14,0.1052,36403.37
2022-06-15,0.1048,106087.68
2022-06-16,0.0872,90811.49
2022-06-17,0.077,66179.03
2022-06-18,0.0734,44077.51
2022-06-19,0.0774,37994.04
2022-06-20,0.0773,89108.74
2022-06-21,0.0791,41668.78
2022-06-22,0.0784,18959.49
2022-06-23,0.0822,4398.46
2022-06-24,0.0849,44048.9
2022-06-25,0.0898,43031.91
2022-06-26,0.0819,22725.99
2022-06-27,0.0789,13227.16
2022-06-28,0.0729,12130.67
2022-06-29,0.074,66600.24
2022-06-30,0.0673,5416.6
2022-07-01,0.0729,19665.83
2022-07-02,0.0738,36001.2
2022-07-03,0.072,15671.09
2022-07-04,0.0765,63292.98
2022-07-05,0.0743,24421.41
2022-07-06,0.0751,23459.68
2022-07-07,0.0799,61931.15
2022-07-08,0.0808,1945.32
2022-07-09,0.0818,2439.18
2022-07-10,0.0761,36871.59
2022-07-11,0.075,9604.73
2022-07-12,0.0718,50788.14
2022-07-13,0.0708,42922.5
2022-07-14,0.076,25054.73
2022-07-15,0.0762,135600.54
2022-07-16,0.0793,87858.29
2022-07-17,0.0793,382.05
2022-07-18,0.0857,124869.0
2022-07-19,0.0856,79031.84
2022-07-20,0.0832,56755.8
2022-07-21,0.0834,20934.92
2022-07-22,0.0822,9324.18
2022-07-23,0.0807,1399.97
2022-07-24,0.0851,9900.05
2022-07-25,0.0791,7169.87
2022-07-26,0.0754,13401.85
2022-07-27,0.081,39772.05
2022-07-28,0.0835,13213.48
2022-07-29,0.0857,40427.35
2022-07-30,0.0848,36892.17
2022-07-31,0.0937,45885.72
2022-08-01,0.0916,32190.97
2022-08-02,0.0915,32180.48
2022-08-03,0.0962,22718.69
2022-08-04,0.0941,39874.99
2022-08-05,0.0972,8881.04
2022-08-06,0.1015,7954.31
2022-08-07,0.1031,15418.4
2022-08-08,0.1028,60527.2
2022-08-09,0.0961,13851.26
2022-08-10,0.0979,42858.64
2022-08-11,0.0956,31138.24
2022-08-12,0.0993,5524.77
2022-08-13,0.0987,27726.79
2022-08-14,0.0959,16004.97
2022-08-15,0.1029,15380.32
2022-08-16,0.1067,97440.76
2022-08-17,0.1002,143908.7
2022-08-18,0.0936,50089.95
2022-08-19,0.0861,75483.29
2022-08-20,0.0861,5701.91
2022-08-21,0.0909,27977.5
2022-08-22,0.0898,16157.66
2022-08-23,0.0918,16410.4
2022-08-24,0.0912,1445.82
2022-08-25,0.0911,27961.3
2022-08-26,0.0861,17645.61
2022-08-27,0.087,10235.53
2022-08-28,0.08,3738.27
2022-08-29,0.0866,5831.66
2022-08-30,0.0804,4634.89
2022-08-31,0.0812,24978.4
2022-09-01,0.0841,1973.33
2022-09-02,0.0831,80739.93
2022-09-03,0.0842,4693.14
2022-09-04,0.0827,1587.6
2022-09-05,0.0827,2439.24
2022-09-06,0.0779,4778.68
2022-09-07,0.0973,358391.09
2022-09-08,0.0923,71111.56
2022-09-09,0.0929,41152.28
2022-09-10,0.0982,27048.21
2022-09-11,0.0978,20087.08
2022-09-12,0.09,30115.57
2022-09-13,0.0848,102556.04
2022-09-14,0.0947,72754.91
2022-09-15,0.0911,381195.14
2022-09-16,0.0862,317403.47
2022-09-17,0.0887,44006.92
2022-09-18,0.0829,29375.23
2022-09-19,0.0832,398520.4
2022-09-20,0.0831,212522.54
2022-09-21,0.0832,478058.43
2022-09-22,0.0845,56157.88
2022-09-23,0.0869,206941.56
2022-09-24,0.0851,94543.77
2022-09-25,0.0815,54776.97
2022-09-26,0.0844,39590.8
2022-09-27,0.0834,106278.22
2022-09-28,0.087,88677.33
2022-09-29,0.0868,15840.77
2022-09-30,0.0842,55694.8
2022-10-01,0.0833,39354.77
2022-10-02,0.08,76314.21
2022-10-03,0.082,9903.55
2022-10-04,0.0817,68550.23
2022-10-05,0.084,44433.2
2022-10-06,0.0837,42494.98
2022-10-07,0.0814,108920.17
2022-10-08,0.0848,8893.64
2022-10-09,0.0848,4010.62
2022-10-10,0.0824,9350.15
2022-10-11,0.0829,32578.71
2022-10-12,0.0823,26395.27
2022-10-13,0.0835,130228.47
2022-10-14,0.0821,107623.33
2022-10-15,0.0843,2271.61
2022-10-16,0.0875,20084.73
2022-10-17,0.0895,4329.16
2022-10-18,0.0853,4132.65
2022-10-19,0.0857,19602.35
2022-10-20,0.0843,11382.77
2022-10-21,0.0813,30315.38
2022-10-22,0.0828,1536.55
2022-10-23,0.083,64136.63
2022-10-24,0.0809,15643.5
2022-10-25,0.0825,500.0
2022-10-26,0.0829,568.83
2022-10-27,0.084,1073.51
2022-10-28,0.0849,1276.87
2022-10-29,0.0845,26329.65
2022-10-30,0.0894,4518.3
2022-10-31,0.0891,1267.38
2022-11-01,0.0843,2469.24
2022-11-02,0.0828,8437.94
2022-11-03,0.0877,75434.53
2022-11-04,0.09,18406.94
2022-11-05,0.0895,9396.18
2022-11-06,0.0901,36522.36
2022-11-07,0.086,18643.01
2022-11-08,0.078,119975.9
2022-11-09,0.0536,103482.79
2022-11-10,0.0666,137128.92
2022-11-11,0.063,3418.96
2022-11-12,0.0631,73150.84
2022-11-13,0.0631,18128.3
2022-11-14,0.0612,2904.69
2022-11-15,0.0594,3298.62
2022-11-16,0.0615,46114.08
2022-11-17,0.0611,7805.97
2022-11-18,0.0594,14722.53
2022-11-19,0.0554,14490.17
2022-11-20,0.0575,11436.31
2022-11-21,0.0548,24148.22
2022-11-22,0.0548,44581.84
2022-11-23,0.061,202979.56
2022-11-24,0.0594,78528.3
2022-11-25,0.062,54960.43
2022-11-26,0.059,220.0
2022-11-27,0.0614,23381.02
2022-11-28,0.0582,43698.43
2022-11-29,0.0609,16363.22
2022-11-30,0.0608,10150.4
2022-12-01,0.0587,45357.62
2022-12-02,0.0608,63021.18
2022-12-03,0.0603,11244.36
2022-12-04,0.061,10397.07
2022-12-05,0.0653,132544.68
2022-12-06,0.0671,159924.3
2022-12-07,0.0862,78643.13
2022-12-08,0.082,210426.1
2022-12-09,0.1152,376783.48
2022-12-10,0.0896,356735.0
2022-12-11,0.0959,182285.9
2022-12-12,0.0905,59662.99
2022-12-13,0.0856,314592.41
2022-12-14,0.0934,195090.28
2022-12-15,0.0947,89471.11
2022-12-16,0.0849,100593.89
2022-12-17,0.0832,62754.26
2022-12-18,0.0824,45170.58
2022-12-19,0.0785,55176.94
2022-12-20,0.0811,360918.98
2022-12-21,0.0885,141493.22
2022-12-22,0.0891,220033.74
2022-12-23,0.0861,118190.49
2022-12-24,0.0887,15972.55
2022-12-25,0.0931,61536.09
2022-12-26,0.0949,199104.54
2022-12-27,0.0932,136839.47
2022-12-28,0.0907,171742.33
2022-12-29,0.0862,71420.42
2022-12-30,0.0873,88500.72
2022-12-31,0.0855,77249.1
2023-01-01,0.0853,92876.46
2023-01-02,0.0908,97875.78
2023-01-03,0.0974,298180.41
2023-01-04,0.1074,440911.31
2023-01-05,0.1006,207345.85
2023-01-06,0.1172,767045.25
2023-01-07,0.1467,861998.63
2023-01-08,0.1307,723317.09
2023-01-09,0.1422,539391.68
2023-01-10,0.1767,723905.86
2023-01-11,0.1689,574612.29
2023-01-12,0.1879,767678.78
2023-01-13,0.2211,970412.92
2023-01-14,0.2203,749342.53
2023-01-15,0.2098,319449.74
2023-01-16,0.2111,212040.59
2023-01-17,0.2597,537070.62
2023-01-18,0.2297,755314.18
2023-01-19,0.2507,383142.48
2023-01-20,0.261,355737.41
2023-01-21,0.2471,514534.05
2023-01-22,0.2452,585669.72
2023-01-23,0.2623,996140.53
2023-01-24,0.2441,722130.74
2023-01-25,0.2481,626241.5
2023-01-26,0.2423,407554.54
2023-01-27,0.2562,411459.62
2023-01-28,0.27,509897.06
2023-01-29,0.2661,246016.9
2023-01-30,0.2423,306448.6
2023-01-31,0.254,189337.36
2023-02-01,0.2653,117951.14
2023-02-02,0.2506,347752.54
2023-02-03,0.3035,634056.19
2023-02-04,0.307,499364.89
2023-02-05,0.4175,1306410.13
2023-02-06,0.4038,828988.01
2023-02-07,0.5056,1747208.08
2023-02-08,0.4449,1465864.04
2023-02-09,0.3641,1605639.9
2023-02-10,0.3987,1146994.41
2023-02-11,0.3932,257337.78
2023-02-12,0.3741,346378.8
2023-02-13,0.36,726789.69
2023-02-14,0.4219,776739.98
2023-02-15,0.4424,772236.84
2023-02-16,0.387,733990.48
2023-02-17,0.4153,554785.58
2023-02-18,0.4049,70797.74
2023-02-19,0.3872,235195.48
2023-02-20,0.3901,260275.61
2023-02-21,0.4064,1142157.58
2023-02-22,0.4129,772671.19
