DATE,PRICE,VOL
2021-01-27,5.5,508798.7042650309
2021-01-28,5.8,269107.9607959992
2021-01-29,5.137,160737.4203273602
2021-01-30,7.434,267918.9137815598
2021-01-31,8.043,573550.4522104923
2021-02-01,8.152,347007.0018333913
2021-02-02,7.8,542657.1303505815
2021-02-03,7.306,286289.7835207801
2021-02-04,7.266,320207.8033340698
2021-02-05,8.931,533178.5867138151
2021-02-06,8.639,143022.3361415798
2021-02-07,8.39,100106.45108633
2021-02-08,8.373,104531.41013122
2021-02-09,9.4,190803.1177246904
2021-02-10,9.428,151781.0333892697
2021-02-11,10.471,119760.4798756698
2021-02-12,12.07,205830.2220438201
2021-02-13,12.202,77396.59284852
2021-02-14,14.791,210280.620872182
2021-02-15,15.85,197094.7049201901
2021-02-16,15.884,78192.7057516198
2021-02-17,14.314,122792.2637509803
2021-02-18,15.874,131993.7272660806
2021-02-19,15.465,57856.60892343
2021-02-20,15.487,114147.36821941
2021-02-21,18.069,262593.3648742108
2021-02-22,18.654,258421.75408253
2021-02-23,17.627,242821.5007148314
2021-02-24,17.25,182746.0618066201
2021-02-25,16.717,150829.6504946599
2021-02-26,16.46,143583.6801128501
2021-02-27,17.041,64462.53251663
2021-02-28,17.197,126534.3903825406
2021-03-01,23.666,235225.9196823502
2021-03-02,24.736,200322.9059722406
2021-03-03,26.965,217618.9256002089
2021-03-04,32.776,320664.0200944312
2021-03-05,29.101,192194.5938422799
2021-03-06,29.173,155421.1030582301
2021-03-07,28.638,66053.3454652298
2021-03-08,27.093,87700.1302934697
2021-03-09,29.841,143831.9581389797
2021-03-10,28.723,135317.2655598295
2021-03-11,27.14,92866.3881712005
2021-03-12,29.5,113867.5701253498
2021-03-13,30.689,218073.8039018805
2021-03-14,30.317,86165.2305410703
2021-03-15,29.253,82097.1680818698
2021-03-16,28.07,112615.5895071001
2021-03-17,26.846,102069.53842115
2021-03-18,26.5,69187.2175558501
2021-03-19,26.611,61871.6701301001
2021-03-20,26.348,42769.73502095
2021-03-21,25.347,69802.2665750498
2021-03-22,22.763,157449.4940026007
2021-03-23,22.217,142474.5621705095
2021-03-24,21.749,80348.4895356499
2021-03-25,21.574,69004.92101623
2021-03-26,25.193,204594.1120239621
2021-03-27,23.242,60303.7522945101
2021-03-28,25.297,59331.6083209101
2021-03-29,27.647,77900.8283452703
2021-03-30,28.13,67234.3038680901
2021-03-31,29.199,90623.2174810397
2021-04-01,26.407,45787.6554811399
2021-04-02,25.362,78245.40325852
2021-04-03,25.794,69270.6938778499
2021-04-04,29.593,106047.1455395799
2021-04-05,32.608,202811.1827313302
2021-04-06,30.628,74160.0282431797
2021-04-07,29.576,139742.2450844899
2021-04-08,29.72,65847.9299843899
2021-04-09,29.605,35300.24153688
2021-04-10,29.364,34003.93759593
2021-04-11,28.385,77096.7993810404
2021-04-12,31.938,159365.6990515894
2021-04-13,32.213,65869.9878628799
2021-04-14,31.27,63156.9913723297
2021-04-15,32.344,51802.1907897002
2021-04-16,30.531,67684.8511240599
2021-04-17,29.742,37677.1318940398
2021-04-18,27.88,127596.0556194101
2021-04-19,28.457,88905.1453976397
2021-04-20,29.393,107198.0815624196
2021-04-21,28.153,37513.9607993
2021-04-22,25.0,61097.09902659
2021-04-23,23.15,126706.55460307
2021-04-24,22.342,41158.8551036201
2021-04-25,22.394,42802.17165827
2021-04-26,25.014,88880.3106219202
2021-04-27,27.415,118762.2580131026
2021-04-28,26.188,77370.071291739
2021-04-29,25.26,154743.4897705001
2021-04-30,25.892,87177.6628810702
2021-05-01,25.674,76093.9852487996
2021-05-02,25.135,70014.9086917006
2021-05-03,25.816,67311.8271963401
2021-05-04,26.967,162505.2217796311
2021-05-05,27.6,81295.6911432795
2021-05-06,25.29,260119.7686947138
2021-05-07,24.356,230056.7263766408
2021-05-08,23.585,168850.095393166
2021-05-09,22.598,259559.7723495906
2021-05-10,21.561,184425.6381096856
2021-05-11,22.703,100800.4779159
2021-05-12,20.654,100969.2495184193
2021-05-13,19.981,203722.4954611413
2021-05-14,20.601,110724.155243419
2021-05-15,20.238,141415.0168462513
2021-05-16,19.365,98430.0581754908
2021-05-17,16.675,244301.534260761
2021-05-18,17.247,173402.762863111
2021-05-19,12.028,689407.7109981705
2021-05-20,13.338,391244.0935862435
2021-05-21,12.363,346144.2211474803
2021-05-22,11.367,326697.4213110158
2021-05-23,9.527,469351.3435955507
2021-05-24,11.139,369243.3912300196
2021-05-25,11.902,557417.0713249103
2021-05-26,12.461,231831.7255848104
2021-05-27,12.058,102009.57410118
2021-05-28,10.827,275704.9720486409
2021-05-29,11.036,97272.59322506
2021-05-30,11.143,115132.3562082497
2021-05-31,11.369,106321.4411882206
2021-06-01,10.965,48765.26965958
2021-06-02,11.622,62904.2349698904
2021-06-03,12.239,108867.3574699791
2021-06-04,12.292,189914.5228929804
2021-06-05,11.512,42755.62199989
2021-06-06,11.682,717513.9178820058
2021-06-07,10.937,113508.4489425697
2021-06-08,10.125,203866.8193264493
2021-06-09,10.314,142717.1961928304
2021-06-10,10.249,52824.55901926
2021-06-11,10.625,209263.6305927025
2021-06-12,9.871,216654.3572806444
2021-06-13,9.892,177165.2714054109
2021-06-14,10.179,76902.90671012
2021-06-15,10.188,49038.96437267
2021-06-16,9.841,70919.8217298299
2021-06-17,9.968,33992.59836629
2021-06-18,8.668,156400.5923980702
2021-06-19,8.439,116595.82687256
2021-06-20,7.933,127669.3093350699
2021-06-21,6.14,252567.994496212
2021-06-22,5.969,233532.3849936396
2021-06-23,7.169,224079.0483262882
2021-06-24,7.299,110567.6045360904
2021-06-25,6.739,189118.9451086094
2021-06-26,6.686,543666.0106961908
2021-06-27,7.179,118319.28791584
2021-06-28,7.314,109481.0334293199
2021-06-29,7.858,134830.1429816896
2021-06-30,8.095,85917.0604046098
2021-07-01,7.733,79182.73783478
2021-07-02,8.144,137587.6354365598
2021-07-03,9.021,116417.73410371
2021-07-04,9.339,99236.0774198099
2021-07-05,8.749,75781.1716158199
2021-07-06,10.008,116281.4839315994
2021-07-07,13.577,266869.8157146416
2021-07-08,11.564,319431.6676901404
2021-07-09,12.805,169394.6136020804
2021-07-10,15.702,386729.7443556694
2021-07-11,16.122,218300.7203694397
2021-07-12,14.018,85216.02416427
2021-07-13,14.362,183112.2882063399
2021-07-14,15.125,230526.6833675503
2021-07-15,14.825,238653.5726268603
2021-07-16,14.397,133241.9162597699
2021-07-17,12.907,113607.15502131
2021-07-18,12.63,53630.06671768
2021-07-19,11.494,52218.57436031
2021-07-20,10.089,103172.2098772802
2021-07-21,12.14,203620.0936081
2021-07-22,14.051,158059.6312570501
2021-07-23,16.608,145987.5162621403
2021-07-24,17.216,161190.8494661509
2021-07-25,16.907,55785.0608593099
2021-07-26,15.56,116151.24892018
2021-07-27,15.627,94136.8346414598
2021-07-28,15.357,55932.62776547
2021-07-29,15.335,26920.29579659
2021-07-30,20.124,419838.0633874732
2021-07-31,20.6,214651.7911160999
2021-08-01,17.85,71573.6075636301
2021-08-02,18.784,38380.56346519
2021-08-03,17.604,39677.46699131
2021-08-04,18.841,43170.58174747
2021-08-05,18.861,36895.84752205
2021-08-06,19.014,50480.8246617801
2021-08-07,19.288,32041.70176708
2021-08-08,18.381,27129.75875495
2021-08-09,18.887,28919.95195839
2021-08-10,19.743,43767.2094864498
2021-08-11,20.348,43408.38951732
2021-08-12,19.203,33770.0677459101
2021-08-13,20.009,33468.36055718
2021-08-14,19.8,24972.97127352
2021-08-15,19.525,22593.52724505
2021-08-16,19.378,47397.65741616
2021-08-17,18.922,63063.7242357301
2021-08-18,19.228,31695.78488369
2021-08-19,19.556,19372.26573549
2021-08-20,20.039,24940.15765483
2021-08-21,19.827,37046.02340527
2021-08-22,19.755,17768.72755397
2021-08-23,20.378,39707.39965405
2021-08-24,18.531,37983.61747719
2021-08-25,19.0,40385.71976991
2021-08-26,18.11,30860.93993151
2021-08-27,18.501,38573.8069338
2021-08-28,18.387,11312.35144082
2021-08-29,23.448,186586.5620788606
2021-08-30,21.25,74504.8330661999
2021-08-31,21.273,81733.8072387901
2021-09-01,21.685,28323.46293232
2021-09-02,21.27,15667.91976298
2021-09-03,21.338,26899.08192246
2021-09-04,21.52,20668.37074274
2021-09-05,22.42,33446.5615608499
2021-09-06,21.852,16457.92358504
2021-09-07,18.128,115159.40792115
2021-09-08,17.782,71939.32638968
2021-09-09,18.228,37446.82861018
2021-09-10,17.016,34232.31131926
2021-09-11,17.28,25930.85444087
2021-09-12,17.581,24710.60234992
2021-09-13,16.674,61071.61108312
2021-09-14,19.212,99120.7284992998
2021-09-15,18.619,27439.41600696
2021-09-16,17.954,49959.86295848
2021-09-17,17.519,16012.26088125
2021-09-18,17.65,18235.84308156
2021-09-19,17.255,18705.56976956
2021-09-20,14.895,79024.6883729701
2021-09-21,13.366,79827.2962038299
2021-09-22,15.07,76376.88748813
2021-09-23,15.667,72087.22489252
2021-09-24,14.325,62789.6473815999
2021-09-25,14.177,39191.137576
2021-09-26,13.371,58234.67941534
2021-09-27,13.404,17260.68304649
2021-09-28,12.996,60476.64158752
2021-09-29,13.031,37413.6827107099
2021-09-30,13.76,20289.53658327
2021-10-01,15.246,44673.33232056
2021-10-02,16.109,40176.8661056199
2021-10-03,16.565,23596.99362255
2021-10-04,17.884,113117.2224901398
2021-10-05,17.444,67068.7116801398
2021-10-06,16.721,61064.3859989201
2021-10-07,16.789,93289.4111613202
2021-10-08,16.339,116020.9494735098
2021-10-09,16.768,70450.73316128
2021-10-10,16.311,44227.3121867099
2021-10-11,15.608,36200.59112107
2021-10-12,15.597,110956.2924476399
2021-10-13,16.118,77785.8060768503
2021-10-14,16.108,85146.6561188697
2021-10-15,15.258,67084.18116928
2021-10-16,13.39,904447.8683553915
2021-10-17,12.798,654841.9375639263
2021-10-18,12.347,405697.0061929832
2021-10-19,11.455,393135.8762513503
2021-10-20,12.15,644078.9036014504
2021-10-21,12.104,266254.3997551716
2021-10-22,11.72,366656.653586901
2021-10-23,11.455,200835.2169288298
2021-10-24,11.282,204298.1042724502
2021-10-25,11.562,307019.4120612005
2021-10-26,11.336,419088.914548112
2021-10-27,10.267,244650.89837089
2021-10-28,10.937,184732.6476808201
2021-10-29,11.79,642667.6220110712
2021-10-30,12.945,451077.0320652713
2021-10-31,12.102,289030.4422540205
2021-11-01,12.046,166682.5912046097
2021-11-02,12.452,129313.4470413799
2021-11-03,12.006,120802.47511807
2021-11-04,11.962,137947.6974674199
2021-11-05,12.027,119626.51212934
2021-11-06,11.972,50889.1250572599
2021-11-07,11.926,32475.82683424
2021-11-08,11.995,103783.8508645199
2021-11-09,11.819,88198.94479751
2021-11-10,11.206,146094.8016097702
2021-11-11,11.507,49312.3622487599
2021-11-12,11.251,74564.0375242
2021-11-13,11.516,20424.29627339
2021-11-14,11.341,23853.74240647
2021-11-15,11.7,178265.2624432402
2021-11-16,11.109,131733.4489120796
2021-11-17,11.083,139229.3056605098
2021-11-18,10.288,124077.42718619
2021-11-19,10.877,72356.1170057697
2021-11-20,11.453,71324.3935591699
2021-11-21,12.55,384583.4188268749
2021-11-22,11.984,191002.49517235
2021-11-23,11.77,70282.3521962601
2021-11-24,11.616,75965.4382375199
2021-11-25,11.815,105575.2495497301
2021-11-26,10.306,158333.9046189699
2021-11-27,10.481,41805.25159817
