DATE,PRICE,VOL
2026-01-30,24.47,10461.78
2026-01-31,26.3,13062.24824487
2026-02-01,26.19,12053.57910925
2026-02-02,28.2,19061.40469141
2026-02-03,27.73,38682.28164518
2026-02-04,30.0,25735.10611629
2026-02-05,27.96,52566.91863558
2026-02-06,27.48,34293.27021318
2026-02-07,26.66,21453.58763927
2026-02-08,27.39,11776.28334315
2026-02-09,27.19,1060.75894578
2026-02-10,24.21,39954.68234687
2026-02-11,24.31,5710.93749398
2026-02-12,26.05,22165.9735476
2026-02-13,25.62,4518.74622965
2026-02-14,26.8,21379.56594659
2026-02-15,26.3,4631.06861809
2026-02-16,26.36,7836.39054431
2026-02-17,25.13,4467.2854437
2026-02-18,24.27,9630.33654202
2026-02-19,24.04,5239.16710938
2026-02-20,25.74,10975.31456376
2026-02-21,25.24,3778.42123788
2026-02-22,24.54,3508.05278054
2026-02-23,23.85,9699.35995744
2026-02-24,23.12,11001.5204153
2026-02-25,23.05,8874.87530867
2026-02-26,23.84,20820.15100532
2026-02-27,23.77,13426.70342654
2026-02-28,26.37,21184.20919887
2026-03-01,26.98,17633.93948158
2026-03-02,26.08,5663.41183336
2026-03-03,26.95,39414.86545568
2026-03-04,28.17,22740.32119407
2026-03-05,26.37,13076.46275794
2026-03-06,26.35,3341.41983869
2026-03-07,26.22,6797.35736544
2026-03-08,26.6,13452.83075066
2026-03-09,26.64,5044.2302099
2026-03-10,29.48,19372.49351101
2026-03-11,29.91,2716.04774209
2026-03-12,32.38,48670.82530904
2026-03-13,32.44,11494.92347624
2026-03-14,33.26,13865.19969311
2026-03-15,32.6,5314.19033943
2026-03-16,35.48,36471.49126982
2026-03-17,35.95,3062.61799684
2026-03-18,36.78,28937.64912283
2026-03-19,34.28,20515.22874077
2026-03-20,34.15,13152.35559058
2026-03-21,33.86,5025.90356242
2026-03-22,33.41,11892.99395281
2026-03-23,32.37,8163.58272862
2026-03-24,34.76,16748.98425125
2026-03-25,35.11,13015.23254247
2026-03-26,33.9,12331.71274097
2026-03-27,33.25,4804.11619262
2026-03-28,34.31,7021.63847661
2026-03-29,33.0,7487.36657595
2026-03-30,33.21,1635.93457136
2026-03-31,31.6,14241.12483095
2026-04-01,32.08,4725.03069988
2026-04-02,30.6,9653.26906546
2026-04-03,30.92,4154.13375074
2026-04-04,31.63,1831.89523828
2026-04-05,32.0,4604.48142463
2026-04-06,32.13,5136.75682449
2026-04-07,33.03,4863.37570766
2026-04-08,33.41,2939.26482235
2026-04-09,33.76,12860.6457722
2026-04-10,35.82,10483.9303385
2026-04-11,36.07,4249.23868997
2026-04-12,35.01,9166.15602241
2026-04-13,37.69,18229.52165269
2026-04-14,36.92,19584.49421268
2026-04-15,37.79,10639.92173833
2026-04-16,38.67,1514.98993599
2026-04-17,37.93,14807.61750654
2026-04-18,37.7,2745.05886196
2026-04-19,34.63,9016.93877664
2026-04-20,34.59,13915.24498778
2026-04-21,34.82,2826.66411746
2026-04-22,35.15,13478.36010771
2026-04-23,35.32,9639.53974824
2026-04-24,35.13,4510.31353060
2026-04-25,35.17,293.79726624
