DATE,PRICE,VOL
2019-09-25,1.76844,22205.21
2019-09-26,1.55,87911.3
2019-09-27,1.566,496351.69
2019-09-28,1.54,61378.48
2019-09-29,1.7,37707.86
2019-09-30,1.65499,52534.16
2019-10-01,1.69552,39369.47
2019-10-02,1.8771,39944.18
2019-10-03,1.78756,78852.35
2019-10-04,1.8197,56014.39
2019-10-05,1.79943,21840.2
2019-10-06,1.97506,107258.66
2019-10-07,2.1781,101356.94
2019-10-08,2.31593,89263.68
2019-10-09,2.55132,218872.29
2019-10-10,2.40336,226804.14
2019-10-11,2.4954,101693.56
2019-10-12,2.34742,22280.11
2019-10-13,2.23314,19164.21
2019-10-14,2.28,29347.63
2019-10-15,2.14499,45597.63
2019-10-16,2.16,86218.33
2019-10-17,2.15761,45694.38
2019-10-18,2.09759,27731.0
2019-10-19,2.10219,13426.62
2019-10-20,2.188,55843.84
2019-10-21,2.35409,104610.97
2019-10-22,2.34659,91244.35
2019-10-23,2.35167,96422.95
2019-10-24,2.44174,58026.58
2019-10-25,2.53567,117637.63
2019-10-26,2.48822,75989.29
2019-10-27,2.39423,86844.03
2019-10-28,2.42498,105701.12
2019-10-29,2.404,48482.73
2019-10-30,2.33538,23640.19
2019-10-31,2.46,37831.0
2019-11-01,2.44,35206.51
2019-11-02,2.42418,9355.96
2019-11-03,2.3976,38199.62
2019-11-04,2.42167,12499.6
2019-11-05,2.42266,27424.2
2019-11-06,2.48718,47299.45
2019-11-07,2.427,26746.27
2019-11-08,2.46785,39916.39
2019-11-09,2.53902,42245.06
2019-11-10,2.52048,45627.54
2019-11-11,2.48885,12195.11
2019-11-12,2.56345,105008.93
2019-11-13,2.729,137640.36
2019-11-14,2.76956,68926.97
2019-11-15,2.7394,137766.51
2019-11-16,2.67931,19704.25
2019-11-17,2.62086,12327.32
2019-11-18,2.5382,30566.12
2019-11-19,2.44037,49565.58
2019-11-20,2.42587,17678.46
2019-11-21,2.3,68903.94
2019-11-22,2.1382,152229.65
2019-11-23,2.19,36573.83
2019-11-24,2.015,41744.78
2019-11-25,2.05984,68588.03
2019-11-26,2.06007,61241.89
2019-11-27,2.01848,90712.32
2019-11-28,2.05927,40398.0
2019-11-29,2.11484,30628.68
2019-11-30,2.03849,46180.23
2019-12-01,1.98167,10003.75
2019-12-02,1.89164,30442.7
2019-12-03,1.92593,41776.32
2019-12-04,1.8413,77326.42
2019-12-05,1.82389,45705.83
2019-12-06,1.89315,38325.94
2019-12-07,1.85,20187.61
2019-12-08,1.85468,15342.74
2019-12-09,1.89,27255.83
2019-12-10,2.04288,114416.36
2019-12-11,1.95335,70233.02
2019-12-12,1.89,30266.26
2019-12-13,1.86587,16866.47
2019-12-14,1.81207,30995.42
2019-12-15,1.85776,21426.48
2019-12-16,1.77,21982.69
2019-12-17,1.57795,66177.87
2019-12-18,1.69547,83462.39
2019-12-19,1.62091,58124.45
2019-12-20,1.74166,56737.41
2019-12-21,1.68763,11531.97
2019-12-22,1.7435,22232.26
2019-12-23,1.67354,33163.55
2019-12-24,1.67378,31462.51
2019-12-25,1.60106,25862.61
2019-12-26,1.66445,36850.37
2019-12-27,1.67975,11626.69
2019-12-28,1.67705,29069.59
2019-12-29,1.692,16967.27
2019-12-30,1.6323,20099.53
2019-12-31,1.57356,13067.81
2020-01-01,1.60389,7973.37
2020-01-02,1.55334,12174.53
2020-01-03,1.62137,18945.14
2020-01-04,1.63602,17701.29
2020-01-05,1.60389,32275.03
2020-01-06,1.7282,18053.57
2020-01-07,1.89201,100479.25
2020-01-08,1.965,230742.31
2020-01-09,1.95,57928.01
2020-01-10,2.01146,102987.31
2020-01-11,2.048,62276.39
2020-01-12,1.99834,10707.43
2020-01-13,1.97669,42939.48
2020-01-14,2.13887,90291.08
2020-01-15,2.15565,71388.19
2020-01-16,2.23488,76320.5
2020-01-17,2.46847,103115.43
2020-01-18,2.48132,107096.63
2020-01-19,2.34963,51455.38
2020-01-20,2.44405,37941.91
2020-01-21,2.39,41918.46
2020-01-22,2.36827,12651.93
2020-01-23,2.20225,78441.43
2020-01-24,2.2638,107906.29
2020-01-25,2.2212,30705.57
2020-01-26,2.31804,22707.69
2020-01-27,2.35834,45989.21
2020-01-28,2.39916,23441.24
2020-01-29,2.52378,109205.28
2020-01-30,2.61243,63365.64
2020-01-31,2.55632,102604.08
2020-02-01,2.52258,28950.59
2020-02-02,2.53998,20182.79
2020-02-03,2.50717,27230.49
2020-02-04,2.48471,38494.05
2020-02-05,2.58611,60598.79
2020-02-06,2.63676,24197.07
2020-02-07,3.03,151440.65
2020-02-08,3.13885,142940.27
2020-02-09,3.2,73742.76
2020-02-10,3.10959,78148.25
2020-02-11,3.68581,198469.67
2020-02-12,3.67645,164101.95
2020-02-13,3.57326,131592.51
2020-02-14,4.08697,178739.26
2020-02-15,3.97049,228245.65
2020-02-16,4.13127,259587.97
2020-02-17,3.9787,166447.11
2020-02-18,4.20283,148133.18
2020-02-19,4.06049,248444.57
2020-02-20,3.93754,135254.47
2020-02-21,3.95659,63430.02
2020-02-22,3.77392,80365.41
2020-02-23,3.935,60233.41
2020-02-24,3.62365,122779.51
2020-02-25,3.21,200462.29
2020-02-26,3.32637,266812.2
2020-02-27,3.59151,254533.64
2020-02-28,3.78095,240721.6
2020-02-29,3.69751,118438.37
2020-03-01,3.49936,145079.36
2020-03-02,3.80035,187104.02
2020-03-03,4.1,260475.4
2020-03-04,4.17318,354881.16
2020-03-05,4.20965,279649.63
2020-03-06,4.1715,73628.98
2020-03-07,3.86052,85292.01
2020-03-08,3.55,274572.65
2020-03-09,3.62595,436787.71
2020-03-10,3.63954,129868.63
2020-03-11,3.39634,183124.12
2020-03-12,1.83,1016277.4
2020-03-13,2.19666,945614.4
2020-03-14,1.94748,156104.96
2020-03-15,1.88034,371727.6
2020-03-16,1.594,931154.68
2020-03-17,1.72104,333945.71
2020-03-18,1.77941,248913.76
2020-03-19,2.11088,565588.46
2020-03-20,2.10531,666198.24
2020-03-21,2.13808,183636.83
2020-03-22,1.87608,227093.89
2020-03-23,2.10232,238949.01
2020-03-24,2.14912,287748.93
2020-03-25,2.07919,237864.27
2020-03-26,2.1,82035.73
2020-03-27,1.93197,157563.16
2020-03-28,1.93204,230862.62
2020-03-29,1.81206,81788.58
2020-03-30,1.942,147667.44
2020-03-31,2.04202,98854.28
2020-04-01,2.07819,137859.89
2020-04-02,2.13488,212426.98
2020-04-03,2.1433,102651.67
2020-04-04,2.14409,52462.32
2020-04-05,2.09653,53605.87
2020-04-06,2.37,247328.59
2020-04-07,2.48985,302974.54
2020-04-08,2.9026,243098.28
2020-04-09,3.04425,560875.16
2020-04-10,2.93311,456951.64
2020-04-11,3.02465,292415.23
2020-04-12,3.14215,453618.51
2020-04-13,3.09961,461690.19
2020-04-14,2.95024,247618.64
2020-04-15,2.87121,129649.54
2020-04-16,3.2,303331.21
