DATE,PRICE,VOL
2013-09-14,2.1359,4.9
2013-09-17,2.1,10.65545671
2013-09-18,1.9,10.0
2013-09-25,1.86,2.0
2013-09-29,1.85,3.37297
2013-10-07,1.5,3.0
2013-10-11,1.61,4.34783
2013-10-26,1.6,15.0
2013-10-29,1.25,150.66911
2013-10-31,2.0,52.0
2013-11-01,2.0,100.0
2013-11-03,2.0,15.0
2013-11-04,2.1,70.25475
2013-11-05,2.6,61.63076923
2013-11-06,2.7,106.60506076
2013-11-07,4.8,231.57771
2013-11-08,4.3,321.15839238
2013-11-09,3.75,284.11416287
2013-11-10,3.2,230.03029317
2013-11-11,3.5,207.19749729
2013-11-12,3.0,526.550441
2013-11-13,3.21,854.56033045
2013-11-14,3.35,382.26392537
2013-11-15,3.4,678.70087469
2013-11-16,3.33,1130.78303509
2013-11-17,3.3,511.25349912
2013-11-18,6.75,1938.54680639
2013-11-19,6.5,1504.1126161
2013-11-20,6.35,1975.73376136
2013-11-21,7.2,1587.41102219
2013-11-22,8.75,3712.1740953
2013-11-23,8.98999,3374.9165055
2013-11-24,8.35,1499.90669347
2013-11-25,9.446,4061.59578167
2013-11-26,15.2336,12519.29070799
2013-11-27,28.0,13446.76997492
2013-11-28,37.59,9489.47563487
2013-11-29,26.5,11476.72156337
2013-11-30,30.0,2809.51785137
2013-12-01,28.04518,6146.04149535
2013-12-02,25.99,4272.22785051
2013-12-03,27.85,4449.00895778
2013-12-04,32.0,6633.63047287
2013-12-05,28.99,8803.01455132
2013-12-06,24.0,6108.22345399
2013-12-07,18.29,7249.89494421
2013-12-08,21.4,2162.01309096
2013-12-09,23.99,4615.63504153
2013-12-10,26.0,3156.55031316
2013-12-11,23.59999,4558.77040559
2013-12-12,23.4,839.06812098
2013-12-13,22.52815,2417.32673626
2013-12-14,22.235,1322.19850978
2013-12-15,22.57001,1866.61169645
2013-12-16,18.11,6082.64265608
2013-12-17,16.3,5904.39965781
2013-12-18,10.37,14691.24442517
2013-12-19,14.7,9399.79957121
2013-12-20,13.99987,8890.05931818
2013-12-21,12.40021,2144.36498006
2013-12-22,12.60001,1070.57988888
2013-12-23,12.9,1392.2351837
2013-12-24,12.71,619.55900728
2013-12-25,15.50037,5952.90622417
2013-12-26,17.96728,9642.07337657
2013-12-27,17.1,4828.16298846
2013-12-28,16.79,1353.29832888
2013-12-29,17.16,1486.83764007
2013-12-30,17.6999,2523.44678874
2013-12-31,17.525,1163.18700414
2014-01-01,17.56984,1377.8180112
2014-01-02,18.68996,4480.91671265
2014-01-03,18.3,3651.48763348
2014-01-04,18.0,2591.41248469
2014-01-05,19.36987,7683.46959538
2014-01-06,20.91,10785.37016058
2014-01-07,17.3,9790.98475254
2014-01-08,18.1101,4053.83124935
2014-01-09,18.24999,3144.21573406
2014-01-10,18.11,1622.52807086
2014-01-11,19.16,4589.52575175
2014-01-12,18.26001,3475.55689554
2014-01-13,17.90001,4427.0036292
2014-01-14,17.9755,1548.84270952
2014-01-15,18.161,1625.63727005
2014-01-16,18.0,2491.30762742
2014-01-17,17.48,3376.83711676
2014-01-18,17.52999,1157.99865717
2014-01-19,17.67,1242.28824066
2014-01-20,17.7,1184.28101903
2014-01-21,17.64,1048.51169541
2014-01-22,17.1,2247.61680297
2014-01-23,16.42301,2162.5923812
2014-01-24,15.3,5112.01393413
2014-01-25,16.24999,1970.93914145
2014-01-26,16.31,2139.92175813
2014-01-27,14.2,3666.13575668
2014-01-28,15.78399,1854.3199043
2014-01-29,15.53,808.43342675
2014-01-30,15.55688,1714.97799385
2014-01-31,15.78998,965.48597082
2014-02-01,16.2,1738.62759932
2014-02-02,16.21,960.04676776
2014-02-03,16.26,1928.45064296
2014-02-04,15.69,1831.12975257
2014-02-05,15.5,1241.75593714
2014-02-06,14.21001,2530.17357071
2014-02-07,13.82,6367.36849755
2014-02-08,13.04,1694.20267072
2014-02-09,13.515,1758.1982249
2014-02-10,13.2147,10344.33207342
2014-02-11,12.98,4216.5413796
2014-02-12,12.9992,1468.05736992
2014-02-13,11.75,3146.21302166
2014-02-14,12.27291,5183.7873421
2014-02-15,12.34629,1627.48805675
2014-02-16,11.70278,3018.29488963
2014-02-17,11.595,2883.48469771
2014-02-18,11.6375,1500.37455673
2014-02-19,11.74739,1049.49308191
2014-02-20,10.53408,3694.23803831
2014-02-21,10.58528,3390.5051518
2014-02-22,11.04888,3355.63674764
2014-02-23,11.5,3407.6592226
2014-02-24,10.60001,2497.9072042
2014-02-25,10.0,6807.9442217
2014-02-26,10.57001,3978.98380393
2014-02-27,10.58565,2067.85387618
2014-02-28,10.12,3465.75784928
2014-03-01,10.282,879.953476
2014-03-02,9.53082,2191.22924457
2014-03-03,10.63,6353.61427351
2014-03-04,12.6,19925.28451408
2014-03-05,12.34591,4731.06600207
2014-03-06,12.21081,4319.54063107
2014-03-07,11.78,2446.91107209
2014-03-08,11.499,1615.20275077
2014-03-09,11.69709,1802.46514568
2014-03-10,11.69068,3074.01097934
2014-03-11,11.80796,2088.28722279
2014-03-12,12.43946,8717.34095001
2014-03-13,12.52928,2986.95100254
2014-03-14,12.3,2715.39243009
2014-03-15,12.3518,1042.17437709
2014-03-16,12.68169,1591.43211302
2014-03-17,12.74989,2762.64340226
2014-03-18,14.23342,13638.86608601
2014-03-19,12.638,11543.49551734
2014-03-20,12.06,8953.72070124
2014-03-21,11.32539,8287.31741959
2014-03-22,11.53096,3568.84943866
2014-03-23,11.36,1085.63850195
2014-03-24,11.93605,4210.83257198
2014-03-25,11.85019,3397.41600523
2014-03-26,12.0,6359.13765014
2014-03-27,9.89698,11884.57582748
2014-03-28,10.36665,4898.22089624
2014-03-29,10.0994,1745.33621228
2014-03-30,9.7047,5243.79462806
2014-03-31,9.399,3160.85247585
2014-04-01,9.88999,3195.75336175
2014-04-02,8.41,11194.17787796
2014-04-03,8.422,6513.49631123
2014-04-04,8.3957,2757.17516547
2014-04-05,8.284,2919.49716666
2014-04-06,8.675,2494.37119708
2014-04-07,8.48,1322.02617556
2014-04-08,8.49332,1400.6044943
2014-04-09,8.32,1208.24492201
2014-04-10,6.2024,15663.85460056
2014-04-11,8.09792,5394.926611
2014-04-12,7.9,3315.89577647
2014-04-13,7.76359,2420.58218601
2014-04-14,8.25046,5349.5919682
2014-04-15,9.46299,10451.1652983
2014-04-16,9.69999,9496.84457334
2014-04-17,9.1519,3663.25216528
2014-04-18,8.85094,2048.99591762
2014-04-19,9.23949,1439.44768603
2014-04-20,9.2794,769.55059454
2014-04-21,9.0212,890.91229985
2014-04-22,8.9,1562.08949506
2014-04-23,8.9281,740.07275148
2014-04-24,9.19998,1069.22597402
2014-04-25,8.00909,6411.632815
2014-04-26,7.75994,1372.94427166
2014-04-27,7.33,2701.26876815
2014-04-28,7.53526,4056.85982516
2014-04-29,7.6,1644.53898606
2014-04-30,7.97,2822.54553705
2014-05-01,8.20371,3366.32747195
2014-05-02,7.84335,1294.56246169
2014-05-03,7.55,2600.43919167
2014-05-04,7.59666,1731.88128091
2014-05-05,7.49,640.26627158
2014-05-06,7.51186,1537.29776426
2014-05-07,7.7811,1580.21262956
2014-05-08,7.64729,1544.88020352
2014-05-09,7.83,1339.76975611
2014-05-10,7.91002,441.66498075
2014-05-11,7.64698,1276.40556838
2014-05-12,7.561,1214.70066213
2014-05-13,7.59144,615.24793666
2014-05-14,7.63003,1479.44260918
2014-05-15,7.68001,1189.56463055
2014-05-16,7.652,1723.40060354
2014-05-17,7.65999,144.61911233
2014-05-18,7.55247,244.03429773
2014-05-19,7.55001,630.83520605
2014-05-20,7.7043,2800.83016978
2014-05-21,7.93417,2664.89063681
2014-05-22,7.80622,3398.05204923
2014-05-23,8.34999,5818.93460726
2014-05-24,8.29987,797.43857499
2014-05-25,8.60023,9913.64664278
2014-05-26,8.511,3151.79697702
2014-05-27,8.4,18784.8164308
2014-05-28,8.15101,6206.25228392
2014-05-29,7.97088,3368.01004075
2014-05-30,8.3,5358.4897941
2014-05-31,8.0,1382.35668839
2014-06-01,8.11,2903.58695226
2014-06-02,8.313,1547.65938612
2014-06-03,8.49998,2301.31571617
2014-06-04,8.249,3176.65431543
2014-06-05,8.39997,1235.2222308
2014-06-06,8.18999,730.28577975
2014-06-07,8.15435,146.98303103
2014-06-08,8.17203,458.42243653
2014-06-09,8.289,1122.79248665
2014-06-10,8.12,862.37571554
2014-06-11,8.00001,1344.63842076
2014-06-12,7.57799,3998.92970971
2014-06-13,7.37166,1815.83431234
2014-06-14,7.2641,2884.21077908
2014-06-15,7.24205,852.12301699
2014-06-16,7.15,3412.85154789
2014-06-17,7.1839,1950.43098548
2014-06-18,7.22587,2088.18240001
2014-06-19,7.41644,5695.89539661
2014-06-20,7.3079,1042.23604635
2014-06-21,7.2,1735.57257389
2014-06-22,7.11003,177.54801994
2014-06-23,7.102,1658.91427963
2014-06-24,7.012,1862.48369302
2014-06-25,6.71,2132.97446109
2014-06-26,6.79999,3228.69625218
2014-06-27,6.71496,1472.02805775
2014-06-28,6.73006,8989.07963746
2014-06-29,6.64398,2037.47215973
2014-06-30,6.5,1251.0002508
2014-07-01,6.12098,1957.45553078
2014-07-02,5.99999,3208.15827867
2014-07-03,5.91756,856.00308182
2014-07-04,5.74943,995.16047325
2014-07-05,5.31531,2823.88824143
2014-07-06,5.311,2604.32422783
2014-07-07,5.67079,2584.87318092
2014-07-08,5.6694,1038.86869328
2014-07-09,5.68876,7044.571722
2014-07-10,5.73494,1412.64853127
2014-07-11,5.75,1494.67338583
2014-07-12,6.36,2798.16543372
2014-07-13,6.69999,3762.39830842
2014-07-14,6.43863,6571.84055006
2014-07-15,6.46999,3734.47424696
2014-07-16,6.22001,3058.30161935
2014-07-17,6.53,2899.94911355
2014-07-18,6.63793,1362.510557
2014-07-19,6.48,1512.45409925
2014-07-20,6.32,2065.25829103
2014-07-21,6.35,1395.75878373
2014-07-22,6.35001,936.05425155
2014-07-23,6.25742,777.75686118
2014-07-24,5.909,2977.86330302
2014-07-25,5.7276,2295.19087457
2014-07-26,5.74,631.40473074
2014-07-27,5.84228,437.1838322
2014-07-28,5.687,4529.31355739
2014-07-29,5.91999,1808.81287635
2014-07-30,5.41902,2589.8366535
2014-07-31,5.79999,1864.51475461
2014-08-01,5.85,3374.53459344
2014-08-02,5.75,1178.65324363
2014-08-03,5.68,858.93287081
2014-08-04,5.552,396.65423085
2014-08-05,5.46701,2136.44754413
2014-08-06,5.37,987.01451228
2014-08-07,5.3607,2769.93268083
2014-08-08,5.29,837.15504063
2014-08-09,5.22881,6184.31390816
2014-08-10,5.18591,179.17532147
2014-08-11,4.51,4193.50692664
2014-08-12,4.26506,7062.71660653
2014-08-13,3.79971,6032.96962411
2014-08-14,3.9,3014.08681327
2014-08-15,3.99999,2569.40016778
2014-08-16,3.81102,1135.41143
2014-08-17,3.38001,5303.50350037
2014-08-18,2.75571,6639.73174288
2014-08-19,3.69586,9480.03400482
2014-08-20,4.1,10200.39851062
2014-08-21,4.3431,5322.44101242
2014-08-22,3.9138,2639.52564729
2014-08-23,3.80001,1866.19750922
2014-08-24,4.13,3951.04402159
2014-08-25,4.0,2847.91594094
2014-08-26,4.28,6333.68273896
2014-08-27,4.19169,4565.32306863
2014-08-28,3.95,1678.5880985
2014-08-29,4.1501,3809.42596235
2014-08-30,3.95,5154.03968983
2014-08-31,3.83183,4343.15801861
2014-09-01,3.65,1383.17337391
2014-09-02,3.65353,1321.23684457
2014-09-03,3.77259,1127.16054899
2014-09-04,4.00908,1473.84307454
2014-09-05,3.85,3044.41299651
2014-09-06,3.75502,3472.90332332
2014-09-07,3.841,4561.62653982
2014-09-08,3.88,2887.41182899
2014-09-09,3.9217,889.43329756
2014-09-10,4.16283,2178.38283498
2014-09-11,4.18,668.32902384
2014-09-12,4.1,583.57553576
2014-09-13,4.121,3656.29755788
2014-09-14,4.05607,787.743214
2014-09-15,3.90001,1075.58409073
2014-09-16,4.04238,463.25355749
2014-09-17,3.93,1045.10371022
2014-09-18,3.56,1229.75791685
2014-09-19,3.5617,2728.67703211
2014-09-20,3.40202,4386.56539511
2014-09-21,3.2754,725.7400369
2014-09-22,3.4683,883.05209475
2014-09-23,3.86323,4398.62381746
2014-09-24,3.71945,851.23328165
2014-09-25,3.63801,558.65311197
2014-09-26,3.46011,394.64672801
2014-09-27,3.47,507.10574433
2014-09-28,3.35522,3755.69988477
2014-09-29,3.2993,1690.98175801
2014-09-30,3.55,2090.67265184
2014-10-01,3.50655,692.90874042
2014-10-02,3.37001,835.22677506
2014-10-03,3.38211,1676.06106172
2014-10-04,3.04443,2223.08344752
2014-10-05,3.10606,6799.60554029
2014-10-06,3.09332,1901.27064259
2014-10-07,3.0723,807.46671414
2014-10-08,3.07066,4658.49387212
2014-10-09,3.1537,2900.41718833
2014-10-10,2.988,1880.3724759
2014-10-11,3.05535,2252.46203354
2014-10-12,3.11,4424.33985349
2014-10-13,3.05998,2860.32223136
2014-10-14,3.20501,2423.60784114
2014-10-15,3.17473,1517.13107483
2014-10-16,3.03521,3960.90848245
2014-10-17,3.129,2277.26831231
2014-10-18,3.19998,1739.36716088
2014-10-19,3.14999,1029.03006164
2014-10-20,3.11974,821.94004295
2014-10-21,3.08,850.71440048
2014-10-22,3.08532,1437.82938502
2014-10-23,2.939,1185.43586608
2014-10-24,2.85,4128.97407222
2014-10-25,2.81501,670.6379949
2014-10-26,2.84001,1359.49182616
2014-10-27,2.98039,2267.36198245
2014-10-28,3.05424,196.3687922
2014-10-29,2.9,699.74101862
2014-10-30,3.04971,1060.3858888
2014-10-31,2.98,1126.96202821
2014-11-01,2.85399,1220.46696985
2014-11-02,2.91998,1080.43124453
2014-11-03,2.88958,2841.79975343
2014-11-04,2.85,2853.90105126
2014-11-05,2.86852,1255.07715971
2014-11-06,2.96999,951.01840855
2014-11-07,2.851,544.24447044
2014-11-08,2.839,1945.00489307
2014-11-09,2.899,353.8379787
2014-11-10,2.96962,2815.90580509
2014-11-11,2.91,432.42001216
2014-11-12,3.18145,1907.01933731
2014-11-13,3.25,2639.18842844
2014-11-14,3.21999,1181.43847506
2014-11-15,3.00077,1138.77780268
2014-11-16,3.14342,806.50501138
2014-11-17,3.11,1314.43422558
2014-11-18,3.015,387.21003138
2014-11-19,3.05272,633.23118974
2014-11-20,2.87082,4084.0967871
2014-11-21,2.83,714.15390486
2014-11-22,2.9187,1439.91956451
2014-11-23,2.92,330.9564543
2014-11-24,2.88969,1647.77437211
2014-11-25,2.9199,728.14790001
2014-11-26,2.83999,514.6808677
2014-11-27,2.89899,281.87957088
2014-11-28,2.8991,378.5447458
2014-11-29,2.85,1192.61019148
2014-11-30,2.8101,1786.11603499
2014-12-01,2.87999,1421.65512988
2014-12-02,2.91,774.92326456
