DATE,PRICE,VOL
2022-05-28,4.74979,452525.6415515085
2022-05-29,5.64999,240150.0060103195
2022-05-30,10.08662,1521449.9187755706
2022-05-31,8.18422,723426.7884249531
2022-06-01,6.13438,393815.9913854485
2022-06-02,6.62864,161652.2797955096
2022-06-03,6.08313,95485.8939075901
2022-06-04,5.94781,43802.85501697
2022-06-05,4.56493,337481.9224951097
2022-06-06,4.57954,108554.6211282198
2022-06-07,3.58411,190980.0955317399
2022-06-08,2.02918,574846.2302601305
2022-06-09,2.92411,1013844.8516149536
2022-06-10,2.7264,144115.8917198203
2022-06-11,2.48704,111303.5385076203
2022-06-12,2.48522,199754.9343147306
2022-06-13,2.43554,175482.5509102508
2022-06-14,2.42441,201193.8209311701
2022-06-15,2.43246,154158.4716579601
2022-06-16,2.12457,71017.8388386399
2022-06-17,2.13,44182.4662954
2022-06-18,1.76186,268773.6865321798
2022-06-19,2.0045,125944.9931702199
2022-06-20,1.94456,86889.48256721
2022-06-21,1.92,69160.8622404401
2022-06-22,1.81777,56561.55400305
2022-06-23,1.84332,72461.38430951
2022-06-24,1.87187,53898.24947481
2022-06-25,1.88798,20590.37292084
2022-06-26,1.90363,79520.47436607
2022-06-27,2.10078,345513.5958742003
2022-06-28,2.31355,200173.9830007799
2022-06-29,2.49232,118777.6180918798
2022-06-30,2.03618,143499.6038814502
2022-07-01,2.04932,62733.5503976499
2022-07-02,2.01494,22516.12021975
2022-07-03,2.05899,28026.90701145
2022-07-04,2.15654,52531.51617345
2022-07-05,2.10529,37297.34084116
2022-07-06,2.10782,12710.53351993
2022-07-07,2.14865,31177.595647
2022-07-08,2.24006,70718.1083933
2022-07-09,2.23202,13444.01024757
2022-07-10,2.07286,36175.86085391
2022-07-11,1.87948,38618.02939028
2022-07-12,1.81365,24012.60131568
2022-07-13,1.80215,67281.5062297
2022-07-14,1.77086,33312.8596384
2022-07-15,1.79238,62364.62048818
2022-07-16,1.79613,104799.91848929
2022-07-17,1.76475,18833.31373169
2022-07-18,2.01257,104265.9954113399
2022-07-19,1.95341,34363.02956081
2022-07-20,1.85727,137790.05286294
2022-07-21,1.85308,28296.43953825
2022-07-22,1.81686,17508.23610329
