DATE,PRICE,VOL
2021-05-17,1.416,507196.2773124611
2021-05-18,2.0117,5028748.714047175
2021-05-19,1.3473,7311786.029460596
2021-05-20,1.5137,4471303.023553098
2021-05-21,1.226,4196795.78899279
2021-05-22,0.9859,2355577.2066776515
2021-05-23,0.8947,5875264.687982784
2021-05-24,1.4325,12969852.226563502
2021-05-25,1.5868,6054020.581377034
2021-05-26,1.8138,7530176.308806819
2021-05-27,1.662,4405815.9207240725
2021-05-28,1.4913,4702752.39466953
2021-05-29,1.3976,2333341.541407487
2021-05-30,1.5302,2904710.894944844
2021-05-31,1.5308,2723989.0619989624
2021-06-01,1.4921,1808321.4886413692
2021-06-02,1.473,1689996.960791759
2021-06-03,1.5013,1306498.6497983292
2021-06-04,1.3476,2653881.1242519547
2021-06-05,1.2624,950086.756798389
2021-06-06,1.3033,677073.3889064807
2021-06-07,1.2218,1300104.7282442003
2021-06-08,1.2213,2807747.104964848
2021-06-09,1.2248,1407670.805650239
2021-06-10,1.1194,1073379.158843681
2021-06-11,1.0327,1031980.8578365498
2021-06-12,1.1061,1186812.073354541
2021-06-13,1.215,1090610.7476575298
2021-06-14,1.2813,1149891.5167210412
2021-06-15,1.3563,1596126.4704311695
2021-06-16,1.2299,1174099.22236545
2021-06-17,1.2623,711861.9030385097
2021-06-18,1.1574,952497.75259364
2021-06-19,1.1513,938921.2040337508
2021-06-20,1.1729,779833.2345712513
2021-06-21,0.9251,1797560.0506343823
2021-06-22,0.8995,3763668.1297297273
2021-06-23,0.989,1216144.1647188005
2021-06-24,1.0026,621300.7574349806
2021-06-25,0.8722,617687.7574255789
2021-06-26,0.9015,497918.4808868698
2021-06-27,0.9321,438281.7438826003
2021-06-28,0.9391,814909.1204913792
2021-06-29,0.9819,1117124.017134169
2021-06-30,0.9826,978257.1030046302
2021-07-01,0.9107,550504.5414027399
2021-07-02,0.9326,388676.6924963798
2021-07-03,0.9328,439012.60983745
2021-07-04,0.9665,580241.7257666005
2021-07-05,0.9272,453429.70441815
2021-07-06,0.9549,809803.5401569593
2021-07-07,0.9584,507836.1703698003
2021-07-08,0.8818,426854.2792224602
2021-07-09,0.891,670884.0360232395
2021-07-10,0.87,112151.75865811
2021-07-11,0.8793,113205.33560206
2021-07-12,0.8423,504951.8242264302
2021-07-13,0.7995,237208.7752183101
2021-07-14,0.7834,610649.2791245693
2021-07-15,0.7434,450319.6561985391
2021-07-16,0.6888,465474.1392538697
2021-07-17,0.68,309562.44298459
2021-07-18,0.6717,170481.2523610801
2021-07-19,0.62,684360.9232343396
2021-07-20,0.5865,2153023.234983764
2021-07-21,0.757,2403068.245568484
2021-07-22,0.7602,878646.8476037204
2021-07-23,0.8038,789429.4760371299
2021-07-24,0.807,817998.8504711206
2021-07-25,0.7964,478140.6106712701
2021-07-26,0.8607,2668430.5988787687
2021-07-27,0.881,1320374.8860639515
2021-07-28,0.8588,1208709.5770077915
2021-07-29,0.8648,328910.7692058699
2021-07-30,0.8977,798295.5186127899
2021-07-31,0.9125,1190551.5416772282
2021-08-01,0.8888,910868.50532177
2021-08-02,0.8824,794769.02868995
2021-08-03,0.8579,492852.4738734101
2021-08-04,0.8902,994679.0396347694
2021-08-05,0.9013,318467.1196843096
2021-08-06,0.916,838533.509168159
2021-08-07,0.9877,1085392.4595724214
2021-08-08,0.9179,469175.25044672
2021-08-09,0.9574,785651.3427059503
2021-08-10,0.9851,887544.6078990201
2021-08-11,1.1767,3781532.935668962
2021-08-12,1.1328,1864568.9193197875
2021-08-13,1.2817,2546027.281983219
2021-08-14,1.2225,1041793.0828292402
2021-08-15,1.2437,594187.1932740305
2021-08-16,1.2064,2422633.5391834304
2021-08-17,1.1495,2055860.716950621
2021-08-18,1.1407,1773852.526269648
2021-08-19,1.2551,1160645.0192543303
2021-08-20,1.3285,2816225.8724585744
2021-08-21,1.3561,2351468.5550670167
2021-08-22,1.3933,1005361.0689413408
2021-08-23,1.3837,1565084.3831939604
2021-08-24,1.2575,1861691.027507972
2021-08-25,1.2984,748210.3878625698
2021-08-26,1.1663,1427570.4361292825
2021-08-27,1.2849,814583.5206165905
2021-08-28,1.2341,858339.1473267514
2021-08-29,1.2045,526758.8851011406
2021-08-30,1.1164,1120983.4019338985
2021-08-31,1.1348,1356735.0140099723
2021-09-01,1.2395,2578184.5009522773
2021-09-02,1.2195,1216229.5157994574
2021-09-03,1.226,1590246.18981484
2021-09-04,1.4626,3281316.8662142027
2021-09-05,1.4131,2304149.480751977
2021-09-06,1.3832,1590785.0953192487
2021-09-07,1.1479,6040220.095154173
2021-09-08,1.1262,3541562.4757202137
2021-09-09,1.1529,1532870.1640487297
2021-09-10,1.1044,1431521.085607991
2021-09-11,1.1142,1101588.731531408
2021-09-12,1.1243,1107574.021678351
2021-09-13,1.0572,1239806.871117883
2021-09-14,1.1169,1258318.0205831411
2021-09-15,1.1965,1019792.1571700698
2021-09-16,1.1776,1590424.4945589383
2021-09-17,1.206,1159699.875199191
2021-09-18,1.1615,1196625.4953772298
2021-09-19,1.119,465164.9162132002
2021-09-20,0.9638,2196854.2713920367
2021-09-21,0.8921,2371553.1680404907
2021-09-22,1.0538,1967801.189128441
2021-09-23,1.0412,965307.800081559
2021-09-24,0.9597,1041510.467392921
2021-09-25,0.9603,606959.4808572707
2021-09-26,0.9582,690733.2199874307
2021-09-27,0.9285,523892.4936327493
2021-09-28,0.8983,432894.82946698
2021-09-29,0.9488,452072.4923340401
2021-09-30,0.9735,410151.11384505
2021-10-01,1.09,1232024.138437132
2021-10-02,1.1159,945140.5565171584
2021-10-03,1.1435,996350.28825783
2021-10-04,1.0956,801677.4329595204
2021-10-05,1.1314,904650.8802314396
2021-10-06,1.0885,1402745.058799751
2021-10-07,1.1044,1028025.4354501406
2021-10-08,1.1559,1932673.20081244
2021-10-09,1.1693,365651.8760890499
2021-10-10,1.0783,565455.0397376501
2021-10-11,1.0758,826515.4163888902
2021-10-12,1.0577,726012.5728885202
2021-10-13,1.0697,672737.3906793199
2021-10-14,1.0906,1144930.9999550898
2021-10-15,1.3787,6190366.813636594
2021-10-16,1.2983,894931.1908467308
2021-10-17,1.2604,625625.7723164306
2021-10-18,1.276,1986484.195611239
2021-10-19,1.268,982964.3853080396
2021-10-20,1.3111,887659.6530403793
2021-10-21,1.2948,1511743.0362424068
2021-10-22,1.3008,1004998.914162602
2021-10-23,1.4089,1268200.0578588122
2021-10-24,1.3525,517527.7492850099
2021-10-25,1.4443,1169234.2153434004
2021-10-26,1.4961,2185827.514145988
2021-10-27,1.5179,3724521.883582888
2021-10-28,1.83,4568181.27988379
2021-10-29,1.7467,2943865.811703828
2021-10-30,1.6186,1501796.5453543677
2021-10-31,1.6764,2099872.008037724
2021-11-01,1.6421,997134.1123543996
2021-11-02,1.6742,1296466.9793318154
2021-11-03,1.7525,2379701.9380534315
2021-11-04,1.6581,1414921.560067605
2021-11-05,1.6419,672156.4691074301
2021-11-06,1.6337,739074.6212290917
2021-11-07,1.6316,873892.6874990301
2021-11-08,1.6349,1263113.38414689
2021-11-09,1.5345,1772962.9486290596
2021-11-10,1.4877,2736293.555072771
2021-11-11,1.5343,948472.6829282878
2021-11-12,1.4985,712594.4406870981
2021-11-13,1.5332,595163.2167913282
2021-11-14,1.5121,634495.7097425486
2021-11-15,1.49,440370.3679523701
2021-11-16,1.381,2110406.383404471
2021-11-17,1.4456,1390775.481804771
2021-11-18,1.318,1200866.9331956266
2021-11-19,1.44,913896.8152969102
2021-11-20,1.4812,802190.2921838491
2021-11-21,1.424,574666.1309895996
2021-11-22,1.3909,1068541.63407272
2021-11-23,1.5596,1338042.7619063272
2021-11-24,1.5067,2048932.275460485
2021-11-25,1.72,2807928.560689552
2021-11-26,1.4459,2775272.472601863
2021-11-27,1.4259,725275.2413622007
2021-11-28,1.4638,839196.3643417805
2021-11-29,1.6103,1230303.753993058
2021-11-30,1.5786,1971348.947869723
2021-12-01,1.7742,4045231.7687164266
2021-12-02,1.8715,3891127.736436349
2021-12-03,2.0066,6064965.625016694
2021-12-04,1.7577,4283095.791892968
2021-12-05,1.8141,3353958.162322412
2021-12-06,2.0253,5995812.814425373
2021-12-07,2.0855,5034944.895455935
2021-12-08,2.131,4754191.656038352
2021-12-09,1.8528,4749480.611373366
2021-12-10,1.8533,3963101.376203466
2021-12-11,1.889,2139642.7256460683
2021-12-12,1.8432,1200952.4739073908
2021-12-13,1.6098,2869874.43078743
2021-12-14,1.7237,3087758.629486692
2021-12-15,1.8819,4813859.293260952
2021-12-16,1.8306,2143123.849015911
2021-12-17,1.8959,2343723.880040861
2021-12-18,1.9883,1335415.5002323312
2021-12-19,1.976,1416428.5079175287
2021-12-20,1.8851,2529402.180177642
2021-12-21,2.1029,3007240.751113113
2021-12-22,2.2073,3674984.017123492
2021-12-23,2.3704,3230477.892088915
2021-12-24,2.1781,1770066.020492454
2021-12-25,2.3341,1199129.4771842286
2021-12-26,2.5428,3004406.2643164205
2021-12-27,2.4074,2017354.5810786008
2021-12-28,2.2026,2794171.0434629493
2021-12-29,2.1763,2801969.1764742187
2021-12-30,2.2572,1526823.9219935786
2021-12-31,2.2188,2053280.015380819
2022-01-01,2.2641,664889.9289786196
2022-01-02,2.2429,680545.278718519
2022-01-03,2.1512,991203.3974051416
2022-01-04,2.0987,939523.3236535394
2022-01-05,1.9312,1982152.3518195865
2022-01-06,1.99,2346354.65087803
2022-01-07,1.8023,2203284.7018175814
2022-01-08,1.75,1070681.8108932194
2022-01-09,1.8634,812219.8731087993
2022-01-10,1.8308,1442543.4847492175
2022-01-11,2.0801,2172268.4601637763
2022-01-12,2.0987,2881163.808277726
2022-01-13,1.9757,1338631.2128713396
2022-01-14,2.05,1782114.4974800686
2022-01-15,2.0586,727850.0078612204
2022-01-16,2.0435,711111.78174505
2022-01-17,1.9488,2407679.167417861
2022-01-18,1.8708,1578036.1438117486
2022-01-19,1.7927,1969781.4287675712
2022-01-20,1.7287,1521680.4661529667
2022-01-21,1.5021,4107465.200727247
2022-01-22,1.3518,3799308.129849744
2022-01-23,1.4268,1316270.5092734492
2022-01-24,1.3324,4989428.915242708
2022-01-25,1.3769,1655867.5973039605
2022-01-26,1.4161,4832426.22928982
2022-01-27,1.4252,3522236.125511581
2022-01-28,1.5023,2898747.156503905
2022-01-29,1.5227,1564435.492431038
2022-01-30,1.4397,2536300.92559855
2022-01-31,1.4641,1290559.2889264997
2022-02-01,1.4643,2913732.3229293427
2022-02-02,1.3627,991963.2349656492
2022-02-03,1.3615,720355.32757323
2022-02-04,1.4792,798386.9973188804
2022-02-05,1.4976,633173.39138624
2022-02-06,1.5204,537722.2894028298
2022-02-07,1.7617,2385206.319802116
2022-02-08,1.7068,1757029.3802516032
2022-02-09,1.7855,1127491.8274233388
2022-02-10,1.6597,1141455.126039259
2022-02-11,1.5118,1394456.4982149408
2022-02-12,1.4995,585646.6746665603
2022-02-13,1.4618,425463.8737104795
2022-02-14,1.4661,734308.8346434201
2022-02-15,1.6478,1549817.2545425876
2022-02-16,1.6161,975897.4930651414
2022-02-17,1.4649,1026940.44935212
2022-02-18,1.4077,976617.3881598794
2022-02-19,1.4409,345840.4497769198
2022-02-20,1.3333,1207936.719193371
2022-02-21,1.2443,2060579.3310364543
2022-02-22,1.2914,2057920.8738422375
2022-02-23,1.2687,2317567.873557952
2022-02-24,1.2876,3219941.621305772
2022-02-25,1.3759,1005273.1011122804
2022-02-26,1.3406,470509.8151882399
2022-02-27,1.3,1379504.9976952823
2022-02-28,1.4409,1173105.4082216304
2022-03-01,1.4575,2131530.8949455395
2022-03-02,1.4728,793734.3924912193
2022-03-03,1.4297,413633.73500113
2022-03-04,1.3481,374914.5370386301
2022-03-05,1.3769,153965.6453358599
2022-03-06,1.3188,195310.5596517001
2022-03-07,1.3033,1524535.550417862
2022-03-08,1.3262,412028.0409751196
2022-03-09,1.3615,676416.901228229
2022-03-10,1.3076,701874.14280159
2022-03-11,1.288,315113.9010204901
2022-03-12,1.2809,170498.03840149
2022-03-13,1.246,431272.0283413603
2022-03-14,1.258,260107.69096911
2022-03-15,1.2565,349125.29873278
2022-03-16,1.3331,439098.13200793
2022-03-17,1.3045,550555.5762357701
2022-03-18,1.3542,559515.54742588
2022-03-19,1.3834,373150.5173241098
2022-03-20,1.3254,462662.6749123699
2022-03-21,1.3294,139534.4201366402
2022-03-22,1.3639,317082.63413952
2022-03-23,1.4129,686855.0789741499
2022-03-24,1.4826,1447168.278605081
2022-03-25,1.4393,304242.21742257
2022-03-26,1.4675,89061.70575011
2022-03-27,1.5421,358206.8502436499
2022-03-28,1.5068,634715.8922572798
2022-03-29,1.5114,802578.6340425188
2022-03-30,1.5067,388539.2920172502
2022-03-31,1.4554,586526.4310277593
2022-04-01,1.534,343795.1877794703
2022-04-02,1.4923,553409.4352463398
2022-04-03,1.5308,446492.0050969402
2022-04-04,1.5028,360042.06499816
2022-04-05,1.4635,588682.9150761999
2022-04-06,1.3368,713316.1544522297
2022-04-07,1.3945,553137.5847137893
2022-04-08,1.32,283036.4994558902
2022-04-09,1.3478,240025.37317869
2022-04-10,1.31,146005.9755329501
2022-04-11,1.2261,495445.6231588999
2022-04-12,1.2893,712011.4761830885
2022-04-13,1.3058,796904.4660615905
2022-04-14,1.2697,308041.6366200302
2022-04-15,1.2911,192592.9005905
2022-04-16,1.2889,90190.4869208899
2022-04-17,1.2388,126250.48380764
2022-04-18,1.3173,684031.3500751889
