DATE,PRICE,VOL
2022-06-16,3.121,1530.47364986
2022-06-17,4.129,1844.40484834
2022-06-18,2.992,7950.2512211
2022-06-19,3.17,3930.65929827
2022-06-20,3.246,4438.60506219
2022-06-21,3.354,5145.96279785
2022-06-22,3.196,3763.13916217
2022-06-23,3.407,2358.17817634
2022-06-24,3.872,9205.34209942
2022-06-25,4.024,19428.43866297
2022-06-26,3.624,7207.06928558
2022-06-27,3.482,7682.62531776
2022-06-28,3.267,3523.66860586
2022-06-29,3.291,3700.57320648
2022-06-30,3.156,13260.48723866
2022-07-01,3.229,9173.02147437
2022-07-02,3.163,2058.36122143
2022-07-03,3.18,1748.36497763
2022-07-04,3.416,4491.1355372
2022-07-05,3.32,8534.85636051
2022-07-06,3.47,5113.13960683
2022-07-07,3.644,4461.66242233
2022-07-08,3.546,5047.26057535
2022-07-09,3.751,1364.35477221
2022-07-10,3.48,3820.95956236
2022-07-11,3.399,6010.33675046
2022-07-12,3.272,6060.12920771
2022-07-13,3.299,9234.13999838
2022-07-14,3.466,3473.21463582
2022-07-15,3.481,8579.03791354
2022-07-16,3.618,9021.99490863
2022-07-17,3.5,19215.50820565
2022-07-18,4.047,39778.82529376
2022-07-19,4.467,23607.52894041
2022-07-20,4.118,14832.19318515
2022-07-21,4.29,28411.37323582
2022-07-22,4.266,15746.65931794
2022-07-23,4.217,4405.62755256
2022-07-24,4.318,8018.33636986
2022-07-25,3.714,22620.64175299
2022-07-26,3.711,12740.34286134
2022-07-27,4.033,23079.87924993
2022-07-28,4.29,15144.05655786
2022-07-29,4.286,44789.0945981
2022-07-30,4.257,28504.69017835
2022-07-31,4.138,22675.4479264701
2022-08-01,4.182,16297.06171137
2022-08-02,4.344,6838.87963454
2022-08-03,4.454,45977.53018317
2022-08-04,4.298,15809.13891089
2022-08-05,5.08,64927.3558171099
2022-08-06,4.811,8226.91024763
2022-08-07,4.887,16408.27719476
2022-08-08,5.383,77085.1034290601
2022-08-09,5.299,18756.79859529
2022-08-10,5.697,48602.6436024198
2022-08-11,5.55,33902.01052455
2022-08-12,5.844,12358.24193497
2022-08-13,5.757,9454.51876141
2022-08-14,5.46,16034.19368329
2022-08-15,5.325,8865.47936252
2022-08-16,5.208,29305.53215057
2022-08-17,4.896,47248.91312866
2022-08-18,4.818,6861.87078402
2022-08-19,4.232,61019.0036584001
2022-08-20,4.132,33068.04075425
2022-08-21,4.21,5430.74649739
2022-08-22,4.136,6376.94212268
2022-08-23,4.316,9476.43411812
2022-08-24,4.298,21848.99738792
2022-08-25,4.313,13520.19008332
2022-08-26,3.938,15739.0970864
2022-08-27,3.953,17785.72629259
2022-08-28,3.779,7513.38704482
2022-08-29,4.049,12531.47362988
2022-08-30,4.235,23959.22431427
2022-08-31,4.363,28916.83350838
2022-09-01,4.364,5983.6491175
2022-09-02,4.157,12556.46656556
2022-09-03,4.18,558.75430202
2022-09-04,4.262,6634.32779607
2022-09-05,4.206,7147.97792331
2022-09-06,4.12,16054.40220467
2022-09-07,4.384,10343.6768728
