DATE,PRICE,VOL
2021-05-17,1.416,
2021-05-18,2.0117,
2021-05-19,1.3473,
2021-05-20,1.5137,
2021-05-21,1.226,
2021-05-22,0.9859,
2021-05-23,0.8947,
2021-05-24,1.4325,
2021-05-25,1.5868,
2021-05-26,1.8138,
2021-05-27,1.662,
2021-05-28,1.4913,
2021-05-29,1.3976,
2021-05-30,1.5302,
2021-05-31,1.5308,
2021-06-01,1.4921,
2021-06-02,1.473,
2021-06-03,1.5013,
2021-06-04,1.3476,
2021-06-05,1.2624,
2021-06-06,1.3033,
2021-06-07,1.2218,
2021-06-08,1.2213,
2021-06-09,1.2248,
2021-06-10,1.1194,
2021-06-11,1.0327,
2021-06-12,1.1061,
2021-06-13,1.215,
2021-06-14,1.2813,
2021-06-15,1.3563,
2021-06-16,1.2299,
2021-06-17,1.2623,
2021-06-18,1.1574,
2021-06-19,1.1513,
2021-06-20,1.1729,
2021-06-21,0.9251,
2021-06-22,0.8995,
2021-06-23,0.989,
2021-06-24,1.0026,
2021-06-25,0.8722,
2021-06-26,0.9015,
2021-06-27,0.9321,
2021-06-28,0.9391,
2021-06-29,0.9819,
2021-06-30,0.9826,
2021-07-01,0.9107,
2021-07-02,0.9326,
2021-07-03,0.9328,
2021-07-04,0.9665,
2021-07-05,0.9272,
2021-07-06,0.9549,
2021-07-07,0.9584,
2021-07-08,0.8818,
2021-07-09,0.891,
2021-07-10,0.87,
2021-07-11,0.8793,
2021-07-12,0.8423,
2021-07-13,0.7995,
2021-07-14,0.7834,
2021-07-15,0.7434,
2021-07-16,0.6888,
2021-07-17,0.68,
2021-07-18,0.6717,
2021-07-19,0.62,
2021-07-20,0.5865,
2021-07-21,0.757,
2021-07-22,0.7602,
2021-07-23,0.8038,
2021-07-24,0.807,
2021-07-25,0.7964,
2021-07-26,0.8607,
2021-07-27,0.881,
2021-07-28,0.8588,
2021-07-29,0.8648,
2021-07-30,0.8977,
2021-07-31,0.9125,
2021-08-01,0.8888,
2021-08-02,0.8824,
2021-08-03,0.8579,
2021-08-04,0.8902,
2021-08-05,0.9013,
2021-08-06,0.916,
2021-08-07,0.9877,
2021-08-08,0.9179,
2021-08-09,0.9574,
2021-08-10,0.9851,
2021-08-11,1.1767,
2021-08-12,1.1328,
2021-08-13,1.2817,
2021-08-14,1.2225,
2021-08-15,1.2437,
2021-08-16,1.2064,
2021-08-17,1.1495,
2021-08-18,1.1407,
2021-08-19,1.2551,
2021-08-20,1.3285,
2021-08-21,1.3561,
2021-08-22,1.3933,
2021-08-23,1.3837,
2021-08-24,1.2575,
2021-08-25,1.2984,
2021-08-26,1.1663,
2021-08-27,1.2849,
2021-08-28,1.2341,
2021-08-29,1.2045,
2021-08-30,1.1164,
2021-08-31,1.1348,
2021-09-01,1.2395,
2021-09-02,1.2195,
2021-09-03,1.226,
2021-09-04,1.4626,
2021-09-05,1.4131,
2021-09-06,1.3832,
2021-09-07,1.1479,
2021-09-08,1.1262,
2021-09-09,1.1529,
2021-09-10,1.1044,
2021-09-11,1.1142,
2021-09-12,1.1243,
2021-09-13,1.0572,
2021-09-14,1.1169,
2021-09-15,1.1965,
2021-09-16,1.1776,
2021-09-17,1.206,
2021-09-18,1.1615,
2021-09-19,1.119,
2021-09-20,0.9638,
2021-09-21,0.8921,
2021-09-22,1.0538,
2021-09-23,1.0412,
2021-09-24,0.9597,
2021-09-25,0.9603,
2021-09-26,0.9582,
2021-09-27,0.9285,
2021-09-28,0.8983,
2021-09-29,0.9488,
2021-09-30,0.9735,
2021-10-01,1.09,
2021-10-02,1.1159,
2021-10-03,1.1435,
2021-10-04,1.0956,
2021-10-05,1.1314,
2021-10-06,1.0885,
2021-10-07,1.1044,
2021-10-08,1.1559,
2021-10-09,1.1693,
2021-10-10,1.0783,
2021-10-11,1.0758,
2021-10-12,1.0577,
2021-10-13,1.0697,
2021-10-14,1.0906,
2021-10-15,1.3787,
2021-10-16,1.2983,
2021-10-17,1.2604,
2021-10-18,1.276,
2021-10-19,1.268,
2021-10-20,1.3111,
2021-10-21,1.2948,
2021-10-22,1.3008,
2021-10-23,1.4089,
2021-10-24,1.3525,
2021-10-25,1.4443,
2021-10-26,1.4961,
2021-10-27,1.5179,
2021-10-28,1.83,
2021-10-29,1.7467,
2021-10-30,1.6186,
2021-10-31,1.6764,
2021-11-01,1.6421,
2021-11-02,1.6742,
2021-11-03,1.7525,
2021-11-04,1.6581,
2021-11-05,1.6419,
2021-11-06,1.6337,
2021-11-07,1.6316,
2021-11-08,1.6349,
2021-11-09,1.5345,
2021-11-10,1.4877,
2021-11-11,1.5343,
2021-11-12,1.4985,
2021-11-13,1.5332,
2021-11-14,1.5121,
2021-11-15,1.49,
2021-11-16,1.381,
2021-11-17,1.4456,
2021-11-18,1.318,
2021-11-19,1.44,
2021-11-20,1.4812,
2021-11-21,1.424,
2021-11-22,1.3909,
2021-11-23,1.5596,
2021-11-24,1.5067,
2021-11-25,1.72,
2021-11-26,1.4459,
2021-11-27,1.4259,
2021-11-28,1.4638,
2021-11-29,1.6103,
2021-11-30,1.5786,
2021-12-01,1.7742,
2021-12-02,1.8715,
2021-12-03,2.0066,
2021-12-04,1.7577,
2021-12-05,1.8141,
2021-12-06,2.0253,
2021-12-07,2.0855,
2021-12-08,2.131,
2021-12-09,1.8528,
2021-12-10,1.8533,
2021-12-11,1.889,
2021-12-12,1.8432,
2021-12-13,1.6098,
2021-12-14,1.7237,
2021-12-15,1.8819,
2021-12-16,1.8306,
2021-12-17,1.8959,
2021-12-18,1.9883,
2021-12-19,1.976,
2021-12-20,1.8851,
2021-12-21,2.1029,
2021-12-22,2.2073,
2021-12-23,2.3704,
2021-12-24,2.1781,
2021-12-25,2.3341,
2021-12-26,2.5428,
2021-12-27,2.4074,
2021-12-28,2.2026,
2021-12-29,2.1763,
2021-12-30,2.2572,
2021-12-31,2.2188,
2022-01-01,2.2641,
2022-01-02,2.2429,
2022-01-03,2.1512,
2022-01-04,2.0987,
2022-01-05,1.9312,
2022-01-06,1.99,
2022-01-07,1.8023,
2022-01-08,1.75,
2022-01-09,1.8634,
2022-01-10,1.8308,
2022-01-11,2.0801,
2022-01-12,2.0987,
2022-01-13,1.9757,
2022-01-14,2.05,
2022-01-15,2.0586,
2022-01-16,2.0435,
2022-01-17,1.9488,
2022-01-18,1.8708,
2022-01-19,1.7927,
2022-01-20,1.7287,
2022-01-21,1.5021,
2022-01-22,1.3518,
2022-01-23,1.4268,
2022-01-24,1.3324,
2022-01-25,1.3769,
2022-01-26,1.4161,
2022-01-27,1.4252,
2022-01-28,1.5023,
2022-01-29,1.5227,
2022-01-30,1.4397,
2022-01-31,1.4641,
2022-02-01,1.4643,
2022-02-02,1.3627,
2022-02-03,1.3615,
2022-02-04,1.4792,
2022-02-05,1.4976,
2022-02-06,1.5204,
2022-02-07,1.7617,
2022-02-08,1.7068,
2022-02-09,1.7855,
2022-02-10,1.6597,
2022-02-11,1.5118,
2022-02-12,1.4995,
2022-02-13,1.4618,
2022-02-14,1.4661,
2022-02-15,1.6478,
2022-02-16,1.6161,
2022-02-17,1.4649,
2022-02-18,1.4077,
2022-02-19,1.4409,
2022-02-20,1.3333,
2022-02-21,1.2443,
2022-02-22,1.2914,
2022-02-23,1.2687,
2022-02-24,1.2876,
2022-02-25,1.3759,
2022-02-26,1.3406,
2022-02-27,1.3,
2022-02-28,1.4409,
2022-03-01,1.4575,
2022-03-02,1.4728,
2022-03-03,1.4297,
2022-03-04,1.3481,
2022-03-05,1.3769,
2022-03-06,1.3188,
2022-03-07,1.3033,
2022-03-08,1.3262,
2022-03-09,1.3615,
2022-03-10,1.3076,
2022-03-11,1.288,
2022-03-12,1.2809,
2022-03-13,1.246,
2022-03-14,1.258,
2022-03-15,1.2565,
2022-03-16,1.3331,
2022-03-17,1.3045,
2022-03-18,1.3542,
2022-03-19,1.3834,
2022-03-20,1.3254,
2022-03-21,1.3294,
2022-03-22,1.3639,
2022-03-23,1.4129,
2022-03-24,1.4826,
2022-03-25,1.4393,
2022-03-26,1.4675,
2022-03-27,1.5421,
2022-03-28,1.5068,
2022-03-29,1.5114,
2022-03-30,1.5067,
2022-03-31,1.4554,
2022-04-01,1.534,
2022-04-02,1.4923,
2022-04-03,1.5308,
2022-04-04,1.5028,
2022-04-05,1.4635,
2022-04-06,1.3368,
2022-04-07,1.3945,
2022-04-08,1.32,
2022-04-09,1.3478,
2022-04-10,1.31,
2022-04-11,1.2261,
2022-04-12,1.2893,
2022-04-13,1.3058,
