DATE,PRICE,VOL
2019-10-09,0.00187,73304908.56604855
2019-10-10,0.00182,18901532.851488877
2019-10-11,0.00184,43916567.793536805
2019-10-12,0.00233,67873424.44242418
2019-10-13,0.00205,43583123.60315567
2019-10-14,0.00211,42663992.0684073
2019-10-15,0.00194,31243235.496176653
2019-10-16,0.00185,36997411.16477547
2019-10-17,0.002,26319905.10839532
2019-10-18,0.00182,24957178.933320224
2019-10-19,0.00185,16536287.63191805
2019-10-20,0.00184,8911978.815914176
2019-10-21,0.00181,16619011.01027356
2019-10-22,0.00175,14090181.518383143
2019-10-23,0.00161,22710636.34314537
2019-10-24,0.00169,12123808.472248347
2019-10-25,0.00181,26397730.370558158
2019-10-26,0.00175,44370698.92128898
2019-10-27,0.00185,17673095.90863888
2019-10-28,0.00175,16534163.094312366
2019-10-29,0.00178,22996790.02647017
2019-10-30,0.00184,25208640.575261377
2019-10-31,0.00179,10109859.726112785
2019-11-01,0.00185,29041869.21620585
2019-11-02,0.0019,6494786.722957816
2019-11-03,0.00184,4400115.34017057
2019-11-04,0.00189,10238807.487274537
2019-11-05,0.00186,10972335.70700654
2019-11-06,0.00187,6683627.893727808
2019-11-07,0.0019,18100736.46635648
2019-11-08,0.00184,8997388.012317
2019-11-09,0.00181,4913178.088107671
2019-11-10,0.00184,10174158.826468883
2019-11-11,0.00179,7077438.334770103
2019-11-12,0.00178,13370599.163573824
2019-11-13,0.00191,26652451.438878696
2019-11-14,0.00181,17841455.95378412
2019-11-15,0.00182,10236346.951805882
2019-11-16,0.00182,4191370.216163191
2019-11-17,0.0018,14593491.97373126
2019-11-18,0.0017,22309031.358909708
2019-11-19,0.00165,15215401.611301905
2019-11-20,0.00164,19655457.656940933
2019-11-21,0.00149,9281207.714402596
2019-11-22,0.00142,38215088.71294479
2019-11-23,0.00144,5112966.228249789
2019-11-24,0.00135,6706652.079369438
2019-11-25,0.00138,60684288.33683826
2019-11-26,0.0014,2949949.7364590303
2019-11-27,0.00145,7053245.055223337
2019-11-28,0.00145,3439764.20950911
2019-11-29,0.00147,21904920.608090736
2019-11-30,0.00144,4844590.80760123
2019-12-01,0.00139,5631356.78990606
2019-12-02,0.00136,3463897.3962644283
2019-12-03,0.00136,4169228.67286895
2019-12-04,0.00133,4844816.44367665
2019-12-05,0.00135,4035356.0669467314
2019-12-06,0.00135,6984526.231634405
2019-12-07,0.00133,1913755.1905768896
2019-12-08,0.00138,7349368.153426484
2019-12-09,0.00136,9135935.94876755
2019-12-10,0.00129,8300353.077083087
2019-12-11,0.00129,4835034.99130763
2019-12-12,0.00129,4765872.348600289
2019-12-13,0.00131,2855824.3962498195
2019-12-14,0.0013,8412952.636732575
2019-12-15,0.0013,4733088.851024002
2019-12-16,0.00126,7552459.636492651
2019-12-17,0.00115,18369730.57387456
2019-12-18,0.00127,9918163.983189693
2019-12-19,0.00124,5387835.766369101
2019-12-20,0.00126,1338509.44854917
2019-12-21,0.00123,651409.1642418401
2019-12-22,0.00129,1075849.4195589
2019-12-23,0.00122,2995489.926330851
2019-12-24,0.00125,2229758.7303770906
2019-12-25,0.00122,913268.7277055202
2019-12-26,0.00122,2354665.99554688
2019-12-27,0.00121,1300262.6346225902
2019-12-28,0.00121,969202.4044690802
2019-12-29,0.00122,1757324.1992772
2019-12-30,0.00117,13974634.778122343
2019-12-31,0.00115,5801484.388084873
2020-01-01,0.00116,2684558.7869029203
2020-01-02,0.00113,10003890.57369995
2020-01-03,0.00119,8485276.980054216
2020-01-04,0.00119,418502.4913603101
2020-01-05,0.00119,3341106.0194036104
2020-01-06,0.00124,3179467.10781364
2020-01-07,0.00131,7722250.26953756
2020-01-08,0.00129,9934601.15764075
2020-01-09,0.00126,9104713.726591142
2020-01-10,0.00121,5184909.9219307
2020-01-11,0.00122,16729913.707794122
2020-01-12,0.00125,6202750.891790128
2020-01-13,0.00128,8009903.816250698
2020-01-14,0.00131,18703481.792559404
2020-01-15,0.00143,13898491.581179386
2020-01-16,0.00136,20190766.271476056
2020-01-17,0.00142,10948546.175877918
2020-01-18,0.00145,4371959.944408069
2020-01-19,0.00135,11740827.23645216
2020-01-20,0.00137,6705194.878917724
2020-01-21,0.00139,4230249.837569832
2020-01-22,0.00138,5687900.925484564
2020-01-23,0.00131,15725194.22638926
2020-01-24,0.00131,6888808.475068391
2020-01-25,0.00131,1228560.6542727596
2020-01-26,0.00136,1948000.9824239104
2020-01-27,0.00136,4305582.789031831
2020-01-28,0.00143,7499394.358314922
2020-01-29,0.0014,10961413.843012717
2020-01-30,0.00146,11800683.809998492
2020-01-31,0.00147,4139253.702182869
2020-02-01,0.00169,32039078.495246552
2020-02-02,0.00174,22025044.81430111
2020-02-03,0.00176,17287661.993370622
2020-02-04,0.00195,48437573.76239704
2020-02-05,0.00184,31571937.58555832
2020-02-06,0.00195,20938052.43012697
2020-02-07,0.00195,15117163.14916038
2020-02-08,0.00194,8566233.501677783
2020-02-09,0.00196,21846204.7068839
2020-02-10,0.00192,15995334.259334354
2020-02-11,0.0021,14078822.794815624
2020-02-12,0.00227,53168893.79134991
2020-02-13,0.00247,43061558.56618645
2020-02-14,0.00291,93914685.20391184
2020-02-15,0.00268,153270061.41591805
2020-02-16,0.0026,68634194.30326995
2020-02-17,0.00265,46876935.97787554
2020-02-18,0.00339,101447217.01040336
2020-02-19,0.00293,125979436.40064836
2020-02-20,0.00295,66918766.454073735
2020-02-21,0.00282,28165253.467994496
2020-02-22,0.00275,32766002.462102752
2020-02-23,0.00284,9872807.445838029
2020-02-24,0.00249,41754763.61668651
2020-02-25,0.0021,43385416.79852136
2020-02-26,0.0021,66267428.150810674
2020-02-27,0.00222,63403290.32183359
2020-02-28,0.00214,34555494.06613664
2020-02-29,0.00204,27821186.99059168
2020-03-01,0.00208,15624656.979486588
2020-03-02,0.00212,25755038.23072271
2020-03-03,0.00206,22436051.93384708
2020-03-04,0.00198,25142692.175677296
2020-03-05,0.00201,17013060.048527643
2020-03-06,0.00204,19583379.35156329
2020-03-07,0.00198,4971204.579372368
2020-03-08,0.0016,57081763.501129
2020-03-09,0.00154,47451414.69869114
2020-03-10,0.00164,69324889.0190546
2020-03-11,0.0016,18479567.140156075
2020-03-12,0.00084,135802514.69979924
2020-03-13,0.00102,135137624.84045675
2020-03-14,0.00097,21620010.198349223
2020-03-15,0.00101,59290059.23670282
2020-03-16,0.00095,83254400.70606911
2020-03-17,0.00104,54935326.73793332
2020-03-18,0.001,27621199.22142856
2020-03-19,0.00123,78197965.63096587
2020-03-20,0.00123,71635537.22765131
2020-03-21,0.00125,14058959.217053518
2020-03-22,0.00117,34072581.19567544
2020-03-23,0.00126,30803698.65447043
2020-03-24,0.00125,24805807.48613996
2020-03-25,0.00121,22623836.97268297
2020-03-26,0.0012,30766901.38520601
2020-03-27,0.00117,40320980.83352652
2020-03-28,0.0011,12085708.77540004
2020-03-29,0.00106,18169405.33071161
2020-03-30,0.00113,14662557.546174329
2020-03-31,0.00115,3799009.7439474193
2020-04-01,0.00118,11277943.746473229
2020-04-02,0.00121,30113169.34242318
