DATE,PRICE,VOL
2021-11-30,4.194e-05,121229031029.6
2021-12-01,3.908e-05,147892581584.53
2021-12-02,3.743e-05,48982848088.55
2021-12-03,3.581e-05,100881563067.63
2021-12-04,3.233e-05,87770545353.68
2021-12-05,3.214e-05,50895142617.22
2021-12-06,3.269e-05,39088180035.12
2021-12-07,3.224e-05,45049265084.85
2021-12-08,3.263e-05,14273691430.98
2021-12-09,3.075e-05,25855059177.27
2021-12-10,2.972e-05,21926627493.66
2021-12-11,3.049e-05,23149994085.81
2021-12-12,3.247e-05,51787796452.46
2021-12-13,2.924e-05,31477277040.7
2021-12-14,3.025e-05,43648021842.88
2021-12-15,2.994e-05,30349976252.65
2021-12-16,2.89e-05,20111582950.73
2021-12-17,2.779e-05,27178169029.51
2021-12-18,2.797e-05,16673297406.65
2021-12-19,2.74e-05,6999016513.69
2021-12-20,2.768e-05,52687100842.7
2021-12-21,2.909e-05,28776324953.09
2021-12-22,3.094e-05,87042614297.09
2021-12-23,3.418e-05,41725380745.87
2021-12-24,3.196e-05,51212132329.08
2021-12-25,3.34e-05,15666540978.25
2021-12-26,3.381e-05,25892419907.44
2021-12-27,3.449e-05,42691013258.28
2021-12-28,3.09e-05,29777596071.74
2021-12-29,2.964e-05,16681323351.4
2021-12-30,2.984e-05,13723735099.54
2021-12-31,2.938e-05,13937206079.99
2022-01-01,3.005e-05,11620005654.61
2022-01-02,2.998e-05,9040013023.77
2022-01-03,2.926e-05,11907714913.32
2022-01-04,2.877e-05,14696529974.95
2022-01-05,2.69e-05,33722724411.98
2022-01-06,2.725e-05,33505349182.87
2022-01-07,2.555e-05,36544038278.32
2022-01-08,2.444e-05,23881372988.37
2022-01-09,2.496e-05,15374042394.04
2022-01-10,2.363e-05,31069606205.87
2022-01-11,2.436e-05,32488176395.72
2022-01-12,2.755e-05,43380597205.5
2022-01-13,2.59e-05,32223312215.93
2022-01-14,2.701e-05,39252268936.06
2022-01-15,2.704e-05,17387676623.15
2022-01-16,2.68e-05,9366197757.9
2022-01-17,2.527e-05,18659115782.31
2022-01-18,2.481e-05,22963376776.43
2022-01-19,2.408e-05,14222949606.23
2022-01-20,2.337e-05,16647941668.92
2022-01-21,1.962e-05,84075396586.34
2022-01-22,1.811e-05,82466281086.5
2022-01-23,1.979e-05,80324289321.89
2022-01-24,1.875e-05,56913106785.98
2022-01-25,1.865e-05,45091904013.9
2022-01-26,1.879e-05,65005062497.37
2022-01-27,1.909e-05,49342470137.52
2022-01-28,1.909e-05,22274937839.54
2022-01-29,1.944e-05,39080194381.27
2022-01-30,1.886e-05,19092515933.65
2022-01-31,1.91e-05,18614437267.73
2022-02-01,1.928e-05,15574359669.55
2022-02-02,1.828e-05,20386121180.94
2022-02-03,1.816e-05,12887970423.99
2022-02-04,1.94e-05,35918107243.92
2022-02-05,1.969e-05,27720741051.94
2022-02-06,2.491e-05,97493207631.3
2022-02-07,2.85e-05,207227367426.31
2022-02-08,2.714e-05,139446851344.7
2022-02-09,2.891e-05,67723282042.32
2022-02-10,2.705e-05,91659588818.7
2022-02-11,2.528e-05,63522979515.36
2022-02-12,2.567e-05,38215365543.87
2022-02-13,2.65e-05,34956601120.97
2022-02-14,2.613e-05,43672511394.77
2022-02-15,2.751e-05,57398181170.1
2022-02-16,2.713e-05,21961890964.79
2022-02-17,2.488e-05,44267429302.73
2022-02-18,2.486e-05,25836233110.22
2022-02-19,2.428e-05,21122089486.3
2022-02-20,2.25e-05,25844492446.99
2022-02-21,2.125e-05,39348264546.24
2022-02-22,2.205e-05,37343395079.12
2022-02-23,2.196e-05,36921185360.7
2022-02-24,2.136e-05,96349280333.49
2022-02-25,2.193e-05,23570712145.65
2022-02-26,2.169e-05,25229522839.44
2022-02-27,2.098e-05,40934592703.63
2022-02-28,2.301e-05,30945342791.8
2022-03-01,2.436e-05,49350872756.0
2022-03-02,2.327e-05,28572529381.19
2022-03-03,2.264e-05,13503543058.47
2022-03-04,2.154e-05,14496339998.89
2022-03-05,2.251e-05,16270416206.77
2022-03-06,2.165e-05,17148405926.56
2022-03-07,2.103e-05,15171672840.26
2022-03-08,2.099e-05,16932006812.86
2022-03-09,2.156e-05,14942464651.85
2022-03-10,2.058e-05,15499936003.95
2022-03-11,2.022e-05,14454284203.95
2022-03-12,2.03e-05,6153373357.11
2022-03-13,1.973e-05,15453532493.54
2022-03-14,2.012e-05,13702221415.88
2022-03-15,1.972e-05,11745055917.58
2022-03-16,2.058e-05,30674855923.56
2022-03-17,2.001e-05,13115347492.09
2022-03-18,2.019e-05,21387447296.25
2022-03-19,2.18e-05,42872883084.25
2022-03-20,2.092e-05,24462925536.53
2022-03-21,2.083e-05,12189084214.89
2022-03-22,2.131e-05,40478218849.16
2022-03-23,2.221e-05,28842710705.54
2022-03-24,2.237e-05,31986604522.07
2022-03-25,2.202e-05,22896568811.46
2022-03-26,2.225e-05,8795851626.71
2022-03-27,2.327e-05,22572124274.78
2022-03-28,2.41e-05,97369145129.0
2022-03-29,2.466e-05,44478436505.22
2022-03-30,2.456e-05,39600741994.38
2022-03-31,2.32e-05,38611458209.1
2022-04-01,2.367e-05,35919173727.83
2022-04-02,2.337e-05,37149355286.15
2022-04-03,2.425e-05,26173844741.14
2022-04-04,2.412e-05,30383191288.05
2022-04-05,2.447e-05,31275400168.9
2022-04-06,2.237e-05,38048225356.94
2022-04-07,2.282e-05,13671233336.87
2022-04-08,2.192e-05,18410444762.94
2022-04-09,2.269e-05,8434340592.55
2022-04-10,2.248e-05,16636814838.23
2022-04-11,2.032e-05,18055165758.13
2022-04-12,2.487e-05,166260962012.43
2022-04-13,2.476e-05,64512758697.81
2022-04-14,2.379e-05,26961167216.28
2022-04-15,2.395e-05,14366329992.45
2022-04-16,2.372e-05,7346119544.74
2022-04-17,2.281e-05,13211933510.29
2022-04-18,2.342e-05,22785503850.74
2022-04-19,2.358e-05,16428741896.32
2022-04-20,2.289e-05,19192656605.95
2022-04-21,2.244e-05,9522089303.55
2022-04-22,2.255e-05,5150050000.3
2022-04-23,2.235e-05,9923214562.78
