DATE,PRICE,VOL
2020-09-17,4.19,36181.8286653399
2020-09-18,4.0,35879.19732494
2020-09-19,3.64,13907.67794268
2020-09-20,3.531,9331.00379548
2020-09-21,3.129,32665.8958449
2020-09-22,3.669,23869.08964119
2020-09-23,3.162,24977.5412002
2020-09-24,3.82,57184.2192754495
2020-09-25,4.273,33190.28369344
2020-09-26,4.549,13348.52617322
2020-09-27,4.42,24699.86316503
2020-09-28,4.209,28777.29481726
2020-09-29,4.236,16637.60068412
2020-09-30,4.041,35827.89440219
2020-10-01,3.986,22200.10801791
2020-10-02,3.775,35565.09352787
2020-10-03,3.758,17796.43341426
2020-10-04,3.76,6685.75497576
2020-10-05,3.549,6637.8195628
2020-10-06,3.071,31447.66042642
2020-10-07,3.341,34413.94174179
2020-10-08,3.364,11527.94044117
2020-10-09,3.623,15183.78380491
2020-10-10,3.601,13070.06407854
2020-10-11,3.469,9026.17514859
2020-10-12,3.96,20928.47928158
2020-10-13,3.825,8227.52242674
2020-10-14,3.643,10294.67824173
2020-10-15,3.335,39635.20988658
2020-10-16,3.34,8413.57609851
2020-10-17,3.392,4197.06326953
2020-10-18,3.354,5765.29351396
2020-10-19,3.167,12146.64948775
2020-10-20,3.133,26635.22135259
2020-10-21,2.972,20744.24107139
2020-10-22,3.3,17185.86831609
2020-10-23,3.188,18665.04206697
2020-10-24,3.169,12890.63255794
2020-10-25,3.096,23142.15142947
2020-10-26,3.007,11060.23677204
2020-10-27,3.01,8949.2642251
2020-10-28,3.051,20379.3514908
2020-10-29,2.784,7665.20210434
2020-10-30,2.676,28687.55573602
2020-10-31,2.599,18530.98284691
2020-11-01,2.501,14184.07425652
2020-11-02,2.257,32397.4199198
2020-11-03,2.2,17613.78426433
2020-11-04,2.34,12013.98869858
2020-11-05,2.665,60679.547308
2020-11-06,2.958,63786.4030274
2020-11-07,3.163,107490.0895751699
2020-11-08,3.699,88243.23980053
2020-11-09,3.562,45504.25434445
2020-11-10,3.946,59486.4586585
2020-11-11,3.4,49232.6161067
2020-11-12,3.194,61459.0148485401
2020-11-13,3.562,64354.3272898
2020-11-14,3.647,78175.5613991199
2020-11-15,3.485,82047.34250879
2020-11-16,3.751,80768.48333079
2020-11-17,4.28,67590.99250503
2020-11-18,4.151,45031.0853469899
2020-11-19,4.211,53799.99359942
2020-11-20,4.327,79608.05990995
2020-11-21,4.41,42617.66543414
2020-11-22,4.2,64485.88570408
2020-11-23,4.575,49113.29303729
2020-11-24,4.409,36986.37888936
2020-11-25,4.059,39808.62989392
2020-11-26,3.627,150587.0765729098
2020-11-27,3.435,44983.80260029
2020-11-28,3.591,62222.06864059
2020-11-29,3.811,39055.32078582
2020-11-30,3.956,69140.1404704599
2020-12-01,3.95,68957.78666846
2020-12-02,4.337,77471.04432615
2020-12-03,4.299,39099.39345426
2020-12-04,4.088,59015.33096231
2020-12-05,4.334,21553.91414142
2020-12-06,4.272,12470.25014339
2020-12-07,4.283,24180.4559399
2020-12-08,3.863,60083.28169404
2020-12-09,4.044,42464.18604588
2020-12-10,3.803,15945.36624955
2020-12-11,3.602,24077.78737139
2020-12-12,3.701,16194.61878524
2020-12-13,3.9,12104.32657146
2020-12-14,4.306,59409.99184345
2020-12-15,4.493,50174.7258364301
2020-12-16,4.321,61389.1732922299
2020-12-17,4.311,80538.5727602
2020-12-18,4.994,89385.7619336799
2020-12-19,4.98,47410.5717167999
2020-12-20,4.845,91265.9496140202
2020-12-21,5.07,78325.2598237599
2020-12-22,5.937,95418.2574028699
2020-12-23,5.844,112442.5336142001
2020-12-24,6.15,83503.37281215
2020-12-25,6.04,38794.27350269
2020-12-26,6.584,120842.49453624
2020-12-27,6.585,137687.8790553
2020-12-28,6.552,30053.35379745
2020-12-29,6.409,60186.4330316999
2020-12-30,6.008,40768.57582653
2020-12-31,5.924,35027.56558847
2021-01-01,6.827,86194.5690330198
2021-01-02,6.614,54719.1274454599
2021-01-03,7.389,80522.68174128
2021-01-04,9.38,77472.1685801797
2021-01-05,10.101,118991.6295953696
2021-01-06,9.763,72396.06289803
2021-01-07,9.386,54797.2795429999
2021-01-08,9.593,65785.83570662
2021-01-09,10.469,92633.6259308801
2021-01-10,11.58,70888.90079564
2021-01-11,10.637,95122.3966443198
2021-01-12,12.263,97905.5667535306
2021-01-13,12.929,105926.5765358006
2021-01-14,12.018,83946.6889861299
2021-01-15,12.52,70784.1861454099
2021-01-16,12.974,70677.0356070698
2021-01-17,12.928,35684.84981379
2021-01-18,12.9,39589.01343498
2021-01-19,12.6,49449.53006179
2021-01-20,13.006,41308.57181496
2021-01-21,10.203,71243.4984265899
2021-01-22,11.777,75461.4838277801
2021-01-23,12.044,29607.01114482
2021-01-24,14.357,58745.74093524
2021-01-25,12.775,59994.2033667099
2021-01-26,13.804,55914.8987595201
2021-01-27,12.715,39926.91296136
2021-01-28,13.985,77359.4646846699
2021-01-29,14.047,31385.76147691
2021-01-30,14.731,65526.70608959
2021-01-31,14.21,54648.1173435201
2021-02-01,14.587,41617.3175003601
2021-02-02,14.164,64010.7139908401
2021-02-03,14.26,45525.88357733
2021-02-04,16.343,107033.41264503
2021-02-05,19.719,80596.6230196001
2021-02-06,17.45,92534.1233233398
2021-02-07,16.699,55777.69887102
2021-02-08,17.72,79598.79584454
2021-02-09,20.367,108301.4682816996
2021-02-10,20.779,100642.2361911598
2021-02-11,21.741,74638.2832145298
2021-02-12,22.314,41379.1804208099
