DATE,PRICE,VOL
2021-06-17,33.06,17164.22
2021-06-18,30.98,26657.4
2021-06-19,29.82,5576.72
2021-06-20,29.81,13921.0
2021-06-21,22.24,38674.03
2021-06-22,22.57,54468.12
2021-06-23,25.83,42284.45
2021-06-24,26.28,15427.48
2021-06-25,24.25,18757.52
2021-06-26,24.6,39486.12
2021-06-27,26.67,23335.84
2021-06-28,27.64,31704.39
2021-06-29,28.44,16234.31
2021-06-30,29.97,22466.73
2021-07-01,28.35,13506.91
2021-07-02,28.72,6860.15
2021-07-03,28.95,23091.16
2021-07-04,28.96,6062.67
2021-07-05,27.77,12677.88
2021-07-06,28.98,36154.52
2021-07-07,30.98,23294.75
2021-07-08,28.11,20830.66
2021-07-09,28.12,10164.19
2021-07-10,26.75,23525.72
2021-07-11,27.06,4946.51
2021-07-12,26.0,9007.96
2021-07-13,24.75,9236.08
2021-07-14,26.48,21420.65
2021-07-15,24.11,11701.91
2021-07-16,22.34,14653.86
2021-07-17,22.65,7406.05
2021-07-18,22.75,6280.92
2021-07-19,20.73,28525.8
2021-07-20,19.94,33471.74
2021-07-21,22.6,34706.54
2021-07-22,23.75,11752.42
2021-07-23,24.21,17924.07
2021-07-24,24.38,19355.56
2021-07-25,23.92,30641.41
2021-07-26,23.94,53443.33
2021-07-27,23.83,28768.79
2021-07-28,23.49,34079.13
2021-07-29,26.31,36169.73
2021-07-30,27.26,36025.07
2021-07-31,30.95,27232.1
2021-08-01,28.96,18739.57
2021-08-02,28.01,21320.2
2021-08-03,28.65,27456.12
2021-08-04,30.32,19661.4
2021-08-05,31.6,24571.98
2021-08-06,33.53,31724.35
2021-08-07,33.48,49080.1
2021-08-08,31.99,50854.89
2021-08-09,33.01,34052.0
2021-08-10,34.73,22516.57
2021-08-11,35.65,27996.46
2021-08-12,35.11,23641.56
2021-08-13,38.03,22655.27
2021-08-14,37.39,18369.34
2021-08-15,45.35,61503.46
2021-08-16,52.97,165240.67
2021-08-17,54.76,172415.79
2021-08-18,62.06,212527.17
2021-08-19,62.33,132914.2
2021-08-20,67.38,82406.25
2021-08-21,63.2,106747.02
2021-08-22,62.41,66840.58
2021-08-23,64.36,81532.96
2021-08-24,60.34,101296.6
2021-08-25,61.1,80276.37
2021-08-26,63.6,111406.48
2021-08-27,74.74,115690.52
2021-08-28,81.64,92879.87
2021-08-29,80.16,61489.53
2021-08-30,93.59,190153.19
2021-08-31,91.72,288123.91
2021-09-01,93.7,136915.63
2021-09-02,108.18,141670.43
2021-09-03,123.24,174275.29
2021-09-04,116.93,92499.74
2021-09-05,119.47,66005.2
2021-09-06,138.62,155614.11
2021-09-07,146.26,722797.24
2021-09-08,160.96,390628.02
2021-09-09,158.91,327054.22
2021-09-10,152.13,150450.37
2021-09-11,151.71,97677.05
2021-09-12,147.94,55136.67
2021-09-13,143.83,118155.1
2021-09-14,134.34,138088.32
2021-09-15,134.49,88842.82
2021-09-16,129.5,84944.85
2021-09-17,125.8,146020.75
2021-09-18,144.53,112248.92
2021-09-19,130.33,62979.12
2021-09-20,112.48,176067.61
2021-09-21,105.74,166845.44
2021-09-22,126.92,120849.53
2021-09-23,127.61,87309.92
2021-09-24,118.98,138900.81
2021-09-25,116.92,52438.91
2021-09-26,116.14,92531.76
2021-09-27,116.89,93434.56
2021-09-28,113.04,81439.52
2021-09-29,116.52,38631.3
2021-09-30,121.75,52612.78
2021-10-01,139.31,139549.44
2021-10-02,145.51,57627.34
2021-10-03,148.57,52216.92
2021-10-04,143.47,57930.99
2021-10-05,142.02,65093.43
2021-10-06,133.51,84171.71
2021-10-07,133.5,53976.86
2021-10-08,137.26,54653.31
2021-10-09,135.54,24665.1
2021-10-10,127.82,33375.14
2021-10-11,125.41,44768.18
2021-10-12,132.12,68040.42
2021-10-13,127.67,47851.88
2021-10-14,129.22,50720.45
2021-10-15,140.53,78947.27
2021-10-16,135.41,54545.05
2021-10-17,137.55,66774.91
2021-10-18,135.13,45489.25
2021-10-19,133.95,27943.16
2021-10-20,151.37,90710.71
2021-10-21,163.64,173019.9
2021-10-22,168.55,146760.91
2021-10-23,169.95,54140.6
2021-10-24,173.92,44330.12
2021-10-25,180.91,92773.15
2021-10-26,172.36,54882.9
2021-10-27,159.3,110745.57
2021-10-28,166.66,77491.05
2021-10-29,172.96,39831.43
2021-10-30,169.26,29615.05
2021-10-31,175.67,44249.27
2021-11-01,175.79,53282.59
2021-11-02,190.69,55819.15
2021-11-03,209.31,99447.29
2021-11-04,214.08,98398.02
2021-11-05,204.58,37930.77
2021-11-06,224.1,74509.72
2021-11-07,216.1,45953.05
2021-11-08,214.36,58136.1
2021-11-09,206.29,97131.87
2021-11-10,203.82,75155.49
2021-11-11,204.27,40484.37
2021-11-12,199.83,53099.22
2021-11-13,211.15,25486.73
