DATE,PRICE,VOL
2023-05-03,1.3192,100002.6835500001
2023-05-04,1.2068,153568.9154099999
2023-05-05,1.1859,119823.54311
2023-05-06,1.211,139447.8410999999
2023-05-07,1.1163,68907.11476
2023-05-08,1.0387,189852.29314
2023-05-09,1.0787,88826.4219
2023-05-10,1.0745,79467.19846
2023-05-11,0.9861,61245.7001899999
2023-05-12,1.0266,43663.50464
2023-05-13,1.0152,22444.7616
2023-05-14,1.0643,26090.76618
2023-05-15,1.0808,36699.54279
2023-05-16,1.0686,39387.79451
2023-05-17,1.1184,94381.67713
2023-05-18,1.0615,27193.93735
2023-05-19,1.0493,15177.39512
2023-05-20,1.0399,11358.08284
2023-05-21,0.9948,22562.79847
2023-05-22,0.9726,51236.12802
2023-05-23,0.9683,36282.71467
2023-05-24,0.9126,63360.78586
2023-05-25,0.9149,16834.7193
2023-05-26,0.9214,9100.50864
2023-05-27,0.9318,15207.60686
2023-05-28,0.9934,17580.66749
2023-05-29,0.9711,24533.181
2023-05-30,0.9348,25926.42704
2023-05-31,0.9132,20352.36838
2023-06-01,0.8788,21014.11746
2023-06-02,0.8862,42629.93226
2023-06-03,0.8664,10993.46071
2023-06-04,0.9079,36688.19751
2023-06-05,0.7663,155563.7824399999
2023-06-06,0.7779,51294.21386
2023-06-07,0.7032,23782.19915
2023-06-08,0.6811,26048.52378
2023-06-09,0.6894,31382.42893
2023-06-10,0.5685,181459.1068900001
2023-06-11,0.56,43425.63678
2023-06-12,0.6166,70410.32465
2023-06-13,0.6454,58319.60037
2023-06-14,0.5924,62374.7673
2023-06-15,0.5966,16433.69445
2023-06-16,0.6441,100289.5382
2023-06-17,0.6943,204462.69163
2023-06-18,0.6553,138020.25407
2023-06-19,0.7158,88505.11446
2023-06-20,0.7477,41737.58725
2023-06-21,0.7577,57035.05378
2023-06-22,0.7321,111709.0532800001
2023-06-23,0.7331,34784.39428
2023-06-24,0.6911,67588.5954599999
2023-06-25,0.6848,124990.9604799999
2023-06-26,0.6562,92094.1416499999
2023-06-27,0.6601,247685.7410300002
2023-06-28,0.6106,51586.17024
2023-06-29,0.6251,41869.7242
2023-06-30,0.6326,88157.19979
2023-07-01,0.6263,32254.70635
2023-07-02,0.6299,18656.63176
2023-07-03,0.637,28813.45488
2023-07-04,0.6364,46985.16135
2023-07-05,0.6124,16492.69937
2023-07-06,0.6067,16229.35268
2023-07-07,0.6005,42962.66245
2023-07-08,0.5919,1900.67134
2023-07-09,0.6009,4910.59111
2023-07-10,0.6033,30113.80315
2023-07-11,0.5937,17824.3695
2023-07-12,0.586,19002.20159
2023-07-13,0.6193,49829.34128
2023-07-14,0.6068,71640.87485
2023-07-15,0.609,11604.10914
2023-07-16,0.5936,8832.03426
2023-07-17,0.643,31652.60195
2023-07-18,0.6556,122087.35296
2023-07-19,0.6347,68864.58469
2023-07-20,0.6198,13286.31962
2023-07-21,0.6146,15335.03289
2023-07-22,0.6191,9228.21279
2023-07-23,0.6088,8551.61584
2023-07-24,0.5725,62989.43387
2023-07-25,0.5764,17610.12661
2023-07-26,0.5707,43480.62945
2023-07-27,0.5745,8619.41471
2023-07-28,0.5713,13766.85257
2023-07-29,0.5795,6229.52874
2023-07-30,0.5575,31410.50272
2023-07-31,0.5704,26210.38622
2023-08-01,0.5855,24395.46364
2023-08-02,0.5593,57894.74933
2023-08-03,0.5439,42982.64738
2023-08-04,0.536,11661.70852
2023-08-05,0.5357,4936.93284
2023-08-06,0.5377,20144.91564
