DATE,PRICE,VOL
2025-01-18,28.161,205998.9779000002
2025-01-19,45.194,2476726.9940100424
2025-01-20,35.094,1737832.5154199672
2025-01-21,42.213,1062808.6683899916
2025-01-22,36.99,520726.7220099944
2025-01-23,35.718,519492.7539299947
2025-01-24,28.768,338416.064269999
2025-01-25,26.266,457530.196299998
2025-01-26,26.187,367731.1718399973
2025-01-27,24.871,318927.4576399984
2025-01-28,26.234,340957.2696499951
2025-01-29,26.261,215145.6817799989
2025-01-30,25.068,133634.7800000001
2025-01-31,24.261,55149.5077700001
2025-02-01,19.063,143516.9382300004
2025-02-02,19.714,238842.0139399998
2025-02-03,19.089,582960.8932399895
2025-02-04,16.619,311368.4132599993
2025-02-05,18.88,208952.7087399992
2025-02-06,16.495,51673.4303599999
2025-02-07,16.076,102019.7528000001
2025-02-08,16.713,16028.55456
2025-02-09,15.431,26772.18175
2025-02-10,15.479,134864.7170300002
2025-02-11,14.907,94478.2620000003
2025-02-12,14.736,31172.53154
2025-02-13,15.609,262901.2114199954
2025-02-14,20.475,507894.5505499907
2025-02-15,17.818,80921.5105300001
2025-02-16,17.878,41372.22533
2025-02-17,16.987,48524.5917000001
2025-02-18,15.641,38756.51609
2025-02-19,16.341,27467.58877
2025-02-20,15.878,16648.07945
2025-02-21,15.169,41087.7666200001
2025-02-22,15.833,7233.58349
2025-02-23,15.39,3893.36212
2025-02-24,14.483,64069.8416900001
2025-02-25,12.591,27427.88051
2025-02-26,12.526,15190.66532
2025-02-27,12.095,15087.85737
2025-02-28,11.686,47412.2869800001
2025-03-01,12.655,40719.82588
2025-03-02,14.563,80902.4340100003
2025-03-03,12.302,105543.1349900002
2025-03-04,12.226,86109.46686
2025-03-05,12.249,21332.83995
2025-03-06,12.025,27696.13468
2025-03-07,11.391,21695.81064
2025-03-08,11.11,5752.33691
2025-03-09,9.857,35090.74252
2025-03-10,10.042,65007.6217000001
2025-03-11,9.62,25878.37666
2025-03-12,9.466,15036.43691
2025-03-13,9.848,44494.79827
2025-03-14,10.921,65708.0776999999
2025-03-15,11.305,28762.42751
2025-03-16,10.302,30558.83081
2025-03-17,10.516,31458.77344
2025-03-18,10.084,33205.72288
2025-03-19,10.08,26003.50582
2025-03-20,10.138,16089.21885
2025-03-21,9.938,6065.39694
