DATE,PRICE,VOL
2020-10-15,2.622,109848.5762117197
2020-10-16,2.59,65387.35256279
2020-10-17,2.6,10412.78289002
2020-10-18,2.801,35960.94449741
2020-10-19,2.689,21240.40380053
2020-10-20,2.422,38908.65313917
2020-10-21,2.477,15113.08298492
2020-10-22,2.574,15989.23957944
2020-10-23,2.523,11659.54539103
2020-10-24,2.47,19421.00109705
2020-10-25,2.347,12838.36228799
2020-10-26,2.319,39598.97000872
2020-10-27,2.381,47999.03430716
2020-10-28,2.267,22249.71628868
2020-10-29,2.176,31881.94695821
2020-10-30,2.076,39234.90008851
2020-10-31,1.953,26011.38456197
2020-11-01,2.055,14252.54747179
2020-11-02,1.951,19923.22575674
2020-11-03,1.827,133536.52466683
2020-11-04,1.639,30477.93001819
2020-11-05,1.851,295421.9008822002
2020-11-06,2.162,85137.18784014
2020-11-07,2.081,138339.5981542998
2020-11-08,2.416,151083.75894219
2020-11-09,2.256,61940.34302172
2020-11-10,2.59,141412.0681087898
2020-11-11,2.5,190181.4329157302
2020-11-12,2.515,61025.66069897
2020-11-13,3.282,301728.8373760703
2020-11-14,3.225,177464.3319091699
2020-11-15,3.253,259677.9778761702
2020-11-16,3.013,342291.6173773701
2020-11-17,3.193,257180.1731510598
2020-11-18,2.93,177248.2618538798
2020-11-19,3.153,232640.60837882
2020-11-20,3.243,187875.0509362406
2020-11-21,3.238,197442.2156710901
2020-11-22,3.076,183109.2490241202
2020-11-23,3.531,241792.9504965903
2020-11-24,3.405,200652.3922547398
2020-11-25,3.078,140299.8146199499
2020-11-26,2.879,229788.2642899
2020-11-27,2.796,59497.73555343
2020-11-28,2.901,35430.36976495
2020-11-29,2.958,39088.62464017
2020-11-30,3.153,76736.16688854
2020-12-01,2.947,128696.2416164599
2020-12-02,3.253,128232.1526172398
2020-12-03,3.215,84299.7710742899
2020-12-04,2.909,79212.30431523
2020-12-05,3.038,56568.0071698601
2020-12-06,3.009,38370.34761967
2020-12-07,3.106,94708.6608164
2020-12-08,2.715,66834.72300258
2020-12-09,2.785,69012.1902976299
2020-12-10,2.677,59049.31837909
2020-12-11,2.45,91374.50750264
2020-12-12,2.586,40979.31116582
2020-12-13,2.736,69659.69654538
2020-12-14,2.86,47682.12822289
2020-12-15,2.741,69026.0721202699
2020-12-16,2.886,122826.40336236
2020-12-17,3.007,210095.9972034798
2020-12-18,3.081,70591.4905732501
2020-12-19,3.225,158285.5608746798
2020-12-20,3.073,42536.18651544
2020-12-21,2.876,84566.0589273101
2020-12-22,3.054,83172.0519577701
2020-12-23,2.732,91849.80216458
2020-12-24,2.884,75937.6276845099
2020-12-25,2.868,59259.72615744
2020-12-26,2.799,43074.46892831
2020-12-27,2.914,133685.1077080901
2020-12-28,3.055,82752.75197316
2020-12-29,2.988,54432.62623411
2020-12-30,3.38,287798.0876513001
2020-12-31,4.223,529818.9911107916
2021-01-01,3.881,225033.2345394797
2021-01-02,3.912,229013.1769919202
2021-01-03,4.3,210825.7244484503
2021-01-04,4.422,171200.9778768202
2021-01-05,5.097,255125.2996712198
2021-01-06,5.192,274026.1515156106
2021-01-07,5.071,227480.4611113498
2021-01-08,4.776,152236.1788978999
2021-01-09,5.0,68323.8827741198
2021-01-10,4.837,122310.7934535999
2021-01-11,4.322,198178.8446985303
2021-01-12,4.525,123236.9645571899
2021-01-13,5.207,125163.4395654901
2021-01-14,5.705,148333.5241535598
2021-01-15,6.115,239620.5581237497
2021-01-16,6.962,269948.9496847
2021-01-17,7.159,237837.3677201295
2021-01-18,7.598,249614.6421313502
2021-01-19,7.087,171230.1470540001
2021-01-20,7.438,204911.2459667193
2021-01-21,6.257,211738.6859138293
2021-01-22,7.145,166573.52314384
2021-01-23,7.631,102330.8582982299
2021-01-24,9.882,411127.2738873287
2021-01-25,9.336,354712.8394092289
2021-01-26,11.429,585018.5701998348
2021-01-27,12.212,814738.6051974361
2021-01-28,11.646,527409.8996822897
2021-01-29,12.955,187448.3693019797
2021-01-30,16.165,531531.80120861
2021-01-31,14.629,351530.9414642377
2021-02-01,16.981,360127.2900650502
2021-02-02,15.782,271670.2292518803
2021-02-03,16.375,277031.7828738091
2021-02-04,16.845,262285.8646222507
2021-02-05,17.583,270258.6595363104
2021-02-06,16.0,227301.0814660904
2021-02-07,15.541,184459.1709959802
2021-02-08,16.016,211717.0664286299
2021-02-09,16.138,134580.9855221302
2021-02-10,17.151,288435.4651557707
2021-02-11,17.709,217302.3835648702
2021-02-12,18.744,248180.7698602798
