DATE,PRICE,VOL
2026-03-06,0.862,8000000000.0
2026-03-07,0.8625,13838492.70200861
2026-03-08,0.8682,23648368.29264767
2026-03-09,0.8611,161033710.2676486
2026-03-10,0.8616,134462405.0451962
2026-03-11,0.8664,108910936.15476654
2026-03-12,0.8679,86289142.03343166
2026-03-13,0.8756,118518448.36965773
2026-03-14,0.8767,11354011.63047591
2026-03-15,0.8747,16342538.0924462
2026-03-16,0.8698,123498437.80271436
2026-03-17,0.8668,111788791.08423278
2026-03-18,0.8726,116620244.3369248
2026-03-19,0.8638,108750843.15792549
2026-03-20,0.8644,113338587.30869152
2026-03-21,0.8649,9662963.58872278
2026-03-22,0.8651,20192186.54014695
2026-03-23,0.8616,162785172.08917028
2026-03-24,0.861,120825757.2478704
2026-03-25,0.8649,84816465.66439044
2026-03-26,0.8671,90597181.48886932
2026-03-27,0.8691,105981637.46344316
2026-03-28,0.8697,12658716.47311756
2026-03-29,0.8707,14664414.5410305
2026-03-30,0.8728,108050195.11078532
2026-03-31,0.864,118553462.27936631
2026-04-01,0.863,88074339.4297706
2026-04-02,0.8667,92877678.68870164
2026-04-03,0.8684,36453062.74123551
2026-04-04,0.8684,8207595.44592206
2026-04-05,0.8689,13091303.00720655
2026-04-06,0.8664,42467568.47832585
2026-04-07,0.8557,163272364.79444334
2026-04-08,0.8578,134449475.01668587
2026-04-09,0.8555,97933825.302747
2026-04-10,0.8529,70379005.2221236
2026-04-11,0.8534,15249286.81649582
2026-04-12,0.8568,20162427.08033697
2026-04-13,0.8497,78719462.336561
2026-04-14,0.8476,88841583.01716506
2026-04-15,0.847,121204969.09227131
2026-04-16,0.8487,81272712.26344986
2026-04-17,0.8501,81326674.38357791
2026-04-18,0.8503,8455304.87613127
2026-04-19,0.852,14989405.38719891
2026-04-20,0.8486,116233831.5380662
2026-04-21,0.8514,106727072.59261556
2026-04-22,0.8541,86747300.11634444
2026-04-23,0.8557,76820213.06820703
2026-04-24,0.8532,90540972.44407688
2026-04-25,0.8537,9131304.30916412
2026-04-26,0.8542,12695116.83721176
2026-04-27,0.8531,109027609.74411932
2026-04-28,0.8535,90822119.75401977
2026-04-29,0.8559,104804186.81699954
2026-04-30,0.8526,125962700.23160322
2026-05-01,0.8531,38552510.72103591
2026-05-02,0.8529,15792898.6595302
2026-05-03,0.8524,18249676.32149414
2026-05-04,0.8545,52074710.1561776
2026-05-05,0.8536,109772513.64884718
2026-05-06,0.8484,49139874.02210226
2026-05-07,0.8524,104764980.78128856
2026-05-08,0.8487,96172535.9577496
2026-05-09,0.8488,12241857.7539653
2026-05-10,0.8486,8997925.08387424
2026-05-11,0.8488,111270951.87803884
2026-05-12,0.8522,104732067.85143958
2026-05-13,0.8539,79909988.8716395
2026-05-14,0.8572,85823864.8494129
2026-05-15,0.8604,102469900.77564074
2026-05-16,0.8609,12983500.49736807
2026-05-17,0.8612,12687950.65900735
2026-05-18,0.8579,105667318.37992832
2026-05-19,0.8615,101225832.2295872
2026-05-20,0.8605,78200355.84550367
2026-05-21,0.8607,89564366.2894967
2026-05-22,0.8619,63164631.89980898
2026-05-23,0.8615,9184340.13410261
2026-05-24,0.8590,14583046.18768344
2026-05-25,0.8588,78735867.44194448
