DATE,PRICE,VOL
2018-10-16,1.2481,328805.84
2018-10-17,1.221,219323.6
2018-10-18,1.138,131104.96
2018-10-19,1.1282,119365.31
2018-10-20,1.1253,90294.22
2018-10-21,1.165,43976.24
2018-10-22,1.2326,164957.81
2018-10-23,1.2,102673.2
2018-10-24,1.18,180496.58
2018-10-25,1.1702,78225.11
2018-10-26,1.187,87746.44
2018-10-27,1.1778,30128.28
2018-10-28,1.1759,17710.49
2018-10-29,1.118,75947.71
2018-10-30,1.12,133669.94
2018-10-31,1.1404,48911.75
2018-11-01,1.1476,29069.75
2018-11-02,1.1418,46549.0
2018-11-03,1.1483,31593.5
2018-11-04,1.1779,75250.63
2018-11-05,1.1728,58198.46
2018-11-06,1.178,51422.97
2018-11-07,1.1669,73886.7
2018-11-08,1.1598,56719.49
2018-11-09,1.1336,26695.81
2018-11-10,1.1485,45445.19
2018-11-11,1.1505,26632.69
2018-11-12,1.1176,174658.9
2018-11-13,1.103,65815.5
2018-11-14,0.975,206651.36
2018-11-15,0.9835,94403.7
2018-11-16,0.9697,72573.45
2018-11-17,0.9409,40345.49
2018-11-18,0.935,75112.95
2018-11-19,0.6798,329269.17
2018-11-20,0.6162,613203.71
2018-11-21,0.6252,141520.79
2018-11-22,0.59,72492.76
2018-11-23,0.5504,81242.92
2018-11-24,0.4972,107200.15
2018-11-25,0.522,329546.39
2018-11-26,0.4901,143020.22
2018-11-27,0.509,134037.11
2018-11-28,0.5268,250624.98
2018-11-29,0.4822,266523.25
2018-11-30,0.4481,138637.05
2018-12-01,0.4481,86242.14
2018-12-02,0.433,42938.75
2018-12-03,0.3927,174318.98
2018-12-04,0.3908,114916.97
2018-12-05,0.341,164318.67
2018-12-06,0.3,288258.74
2018-12-07,0.3186,418224.66
2018-12-08,0.3275,155786.99
2018-12-09,0.34,151657.45
2018-12-10,0.3105,87711.38
2018-12-11,0.323,99184.52
2018-12-12,0.3556,175838.8
2018-12-13,0.325,111819.68
2018-12-14,0.3414,95392.44
2018-12-15,0.3415,44067.56
2018-12-16,0.3419,22861.79
2018-12-17,0.36,106202.94
2018-12-18,0.3886,139001.4
2018-12-19,0.3818,167568.17
2018-12-20,0.4049,162537.53
2018-12-21,0.3958,54769.79
2018-12-22,0.4156,22876.28
2018-12-23,0.4605,63959.42
2018-12-24,0.465,111133.04
2018-12-25,0.4413,40917.01
2018-12-26,0.4558,44186.11
2018-12-27,0.4005,95179.51
2018-12-28,0.477,62692.0
2018-12-29,0.44,26223.18
2018-12-30,0.4315,118189.33
2018-12-31,0.3912,49925.12
2019-01-01,0.4005,15658.02
2019-01-02,0.4172,46351.76
2019-01-03,0.417,43978.71
2019-01-04,0.4113,31090.18
2019-01-05,0.4199,25649.26
2019-01-06,0.4307,49039.67
2019-01-07,0.4111,83171.84
2019-01-08,0.4368,70030.13
2019-01-09,0.4318,134259.55
2019-01-10,0.39,123470.52
2019-01-11,0.388,39205.07
2019-01-12,0.3701,71826.27
2019-01-13,0.345,92712.41
2019-01-14,0.3729,52446.63
2019-01-15,0.3521,94772.99
2019-01-16,0.3759,127850.9
2019-01-17,0.3728,49386.38
2019-01-18,0.3807,65661.11
2019-01-19,0.3818,80158.86
2019-01-20,0.3793,51040.24
2019-01-21,0.3703,46010.7
2019-01-22,0.3728,44897.57
2019-01-23,0.3846,24669.55
2019-01-24,0.3788,43035.99
2019-01-25,0.3647,56875.85
2019-01-26,0.3534,42199.88
2019-01-27,0.3464,56870.68
2019-01-28,0.328,115343.56
2019-01-29,0.3264,97326.53
2019-01-30,0.3256,76738.45
2019-01-31,0.3281,41319.13
2019-02-01,0.3329,41009.69
2019-02-02,0.3275,16319.37
2019-02-03,0.32,13324.2
2019-02-04,0.3153,42996.57
2019-02-05,0.3264,41540.58
2019-02-06,0.319,41092.5
2019-02-07,0.319,21611.42
2019-02-08,0.3405,62601.74
2019-02-09,0.332,45790.16
2019-02-10,0.34,78784.61
2019-02-11,0.3399,30829.74
2019-02-12,0.3432,66095.93
2019-02-13,0.3465,42313.3
2019-02-14,0.3704,158763.53
2019-02-15,0.4066,121899.51
2019-02-16,0.3899,233398.37
2019-02-17,0.3842,70224.65
2019-02-18,0.397,136490.85
2019-02-19,0.393,222802.33
2019-02-20,0.4014,76013.55
2019-02-21,0.3811,149484.02
2019-02-22,0.3897,121375.47
2019-02-23,0.3984,111955.78
2019-02-24,0.3702,197486.04
2019-02-25,0.3691,89365.94
2019-02-26,0.3518,100354.98
2019-02-27,0.3587,75335.03
2019-02-28,0.3586,53091.44
2019-03-01,0.3573,127676.94
2019-03-02,0.3524,122253.14
2019-03-03,0.3583,85153.56
2019-03-04,0.355,163599.95
2019-03-05,0.3735,44356.11
2019-03-06,0.362,60440.65
2019-03-07,0.3658,52314.22
2019-03-08,0.3572,193269.95
2019-03-09,0.3654,54881.49
2019-03-10,0.4022,155284.04
2019-03-11,0.3942,165251.97
2019-03-12,0.4012,111917.36
2019-03-13,0.3996,110298.16
2019-03-14,0.3896,110578.89
2019-03-15,0.398,37954.04
2019-03-16,0.4422,253029.98
2019-03-17,0.4341,97802.58
2019-03-18,0.4352,46897.36
2019-03-19,0.5269,192337.73
2019-03-20,0.5562,332866.37
2019-03-21,0.7298,1286450.98
2019-03-22,0.6625,539628.08
2019-03-23,0.6309,222884.34
2019-03-24,0.5942,163111.34
2019-03-25,0.6192,338864.58
2019-03-26,0.5871,359178.21
2019-03-27,0.6384,276074.28
2019-03-28,0.6988,538624.92
2019-03-29,0.7878,846998.35
2019-03-30,0.8379,248257.76
2019-03-31,0.9321,866271.66
2019-04-01,0.87,670249.09
2019-04-02,0.913,814927.33
2019-04-03,0.837,733142.9
2019-04-04,0.7598,587654.09
2019-04-05,0.9051,555907.11
2019-04-06,0.8607,316484.13
2019-04-07,0.8708,117285.83
2019-04-08,0.8175,329833.85
2019-04-09,0.8281,281911.97
2019-04-10,0.9098,185443.9
2019-04-11,0.8303,196076.46
2019-04-12,0.86,117886.11
2019-04-13,0.87,84585.77
2019-04-14,1.009,394912.98
2019-04-15,0.9528,336721.69
2019-04-16,1.0249,237649.89
2019-04-17,1.12,422360.97
2019-04-18,1.2295,495916.71
2019-04-19,1.2198,377494.45
2019-04-20,1.1987,183405.28
2019-04-21,1.1895,130917.88
2019-04-22,1.2098,140188.69
2019-04-23,1.3107,531421.83
2019-04-24,1.1107,562746.16
2019-04-25,0.991,548175.71
2019-04-26,1.018,730628.09
2019-04-27,1.0752,262134.67
2019-04-28,1.0454,178446.87
2019-04-29,1.0038,192346.69
2019-04-30,1.0712,143570.01
2019-05-01,1.0554,112628.91
2019-05-02,1.1397,199091.22
2019-05-03,1.14,204833.15
2019-05-04,1.0656,396456.18
2019-05-05,1.0246,149938.42
2019-05-06,1.1172,325183.55
2019-05-07,1.0722,266578.15
2019-05-08,1.0386,258505.24
2019-05-09,0.9889,344451.85
2019-05-10,0.996,209147.53
2019-05-11,1.1152,723535.92
2019-05-12,1.0874,329883.04
2019-05-13,1.1754,492475.14
2019-05-14,1.34,413324.82
2019-05-15,1.5998,808162.76
2019-05-16,1.5243,507126.77
2019-05-17,1.5024,412663.26
2019-05-18,1.4721,215135.09
2019-05-19,1.6817,319079.25
2019-05-20,1.4901,316610.98
2019-05-21,1.4999,243461.85
2019-05-22,1.4047,418857.05
2019-05-23,1.4583,259401.11
2019-05-24,1.4122,201471.83
2019-05-25,1.3982,49909.7
2019-05-26,1.4846,306516.35
