ACLASS,AMOUNT,ASSET,BALANCE,FEE,REFID,TIME,TYPE,SUBTYPE
currency,-579.91,ZEUR,2.5721,0.09,ACCO3JO-UEEPSA-EDEPRT,2017-12-16 03:59:11.610397696,withdrawal,
currency,-799.91,ZEUR,143.8775,0.09,ACCVWQF-GJEMYV-3X2FLX,2019-06-04 00:58:11.702172160,withdrawal,
currency,-499.91,ZEUR,313.5407,0.09,ACCHTA7-575S2C-LWSYD2,2020-11-23 08:37:47.490431488,withdrawal,
currency,-499.91,ZEUR,466.9292,0.09,ACCVNSG-HXJUNC-TLPIYI,2020-12-01 09:07:26.794041600,withdrawal,
currency,-499.91,ZEUR,500.7136,0.09,ACCX3NY-65GKMF-OJJ4BO,2020-12-18 09:08:04.358436352,withdrawal,
currency,-399.91,ZEUR,531.461,0.09,ACCYAID-BAB3F4-4TQLR7,2021-01-04 08:12:59.956773376,withdrawal,
currency,-649.91,ZEUR,770.5961,0.09,ACCY2QS-2QLUO6-PIWDJM,2021-01-07 08:06:56.354045184,withdrawal,
currency,-199.91,ZEUR,1052.6651,0.09,ACC2YRE-TROEJT-CRJT7P,2021-01-19 10:22:03.591727616,withdrawal,
currency,-399.91,ZEUR,1116.5992,0.09,ACCYUEV-3G3KKJ-W4NW35,2021-01-30 16:08:10.694753280,withdrawal,
currency,-399.91,ZEUR,1103.2942,0.09,ACCTKQP-TXDKWQ-X36AX6,2021-02-07 17:51:19.484727296,withdrawal,
currency,-499.91,ZEUR,1143.6483,0.09,ACCA3NA-4YOJYM-YBQD4E,2021-02-12 08:57:47.470174464,withdrawal,
currency,-499.91,ZEUR,1286.1908,0.09,ACC5OZD-6IHGIA-KUJPEP,2021-02-17 09:18:01.443840768,withdrawal,
currency,-8.0,ATOM,30.99999628,0.0,BUFUQIJ-W6TYFC-FXJOM3,2023-01-07 23:49:32.535057408,transfer,spottostaking
currency,-10.0,DOT,71.09999888,0.0,BUHW5U3-5YX3LL-K4U3IT,2023-01-09 16:20:59.620091904,transfer,spottostaking
currency,-5.0,DOT,66.09999888,0.0,BUHNSDH-24OZSO-JFOA4D,2023-01-09 16:39:37.985710080,transfer,spottostaking
currency,-75.0,XTZ,328.00000171,0.0,BUBDH7B-EC5DN6-2KSJXX,2023-01-20 23:17:20.617218560,transfer,spottostaking
currency,-200.0,ZEUR,3016.9871,0.0,BWGIPW5-XUXVRL-ZQ57WR,2023-03-08 12:40:41.415564032,transfer,spottostaking
currency,-200.0,ADA,975.99999933,0.0,BUST7NF-N7VP2G-KGRW76,2023-03-23 22:17:43.336516096,transfer,spottostaking
currency,-0.07,XETH,0.45200203,0.0,BUOEERL-5P6QVV-4PBGZ3,2023-04-09 08:32:54.183442944,transfer,spottostaking
currency,-499.91,ZEUR,2682.8045,0.09,ACCM4CC-WPHTVY-HPBF2F,2023-04-13 09:44:16.784893440,withdrawal,
currency,-800.0,TRX,3440.00000002,0.0,BU26UQY-ZU66IN-NYNUSH,2023-05-10 22:18:59.451379712,transfer,spottostaking
currency,-0.01,XXBT,0.0373980201,0.0,BWCZFTN-5JFRF7-3VIZVU,2023-05-31 22:24:04.946133504,transfer,spottostaking
currency,-200.0,EUR.M,1.18,0.0,BWFV73M-HZNUS5-WEDIJS,2023-06-10 06:44:58.041584896,transfer,stakingtospot
currency,-100.0,FLOW,481.0,0.0,BUMKUMF-CIDPND-LZVFMB,2023-06-25 21:53:42.852294656,transfer,spottostaking
currency,-200.0,ZEUR,1818.7462,0.0,BWGLJPF-GAGFDK-RQHRJ7,2023-07-03 20:22:59.299225600,transfer,spottostaking
currency,-50.0,XTZ,330.00000171,0.0,BUBAZUY-F5Y64U-IWNAVO,2023-07-10 20:57:42.767961856,transfer,spottostaking
currency,-200.0,EUR.M,1.77,0.0,FTJ7IxP-VY1Uc6aYnzsAB5uu27k5aJ,2023-08-20 07:42:23.529345792,transfer,stakingtospot
currency,-800.0,ALGO,2420.99999585,0.0,FTWrVuz-38sd9JGV8q6EOfsu8S1lcO,2023-09-27 18:27:07.594556416,transfer,spottostaking
currency,-100.0,ZEUR,1550.8864,0.0,FTM0JLP-VsGf1zsFIuiM7zP5dCAZBk,2023-10-24 10:04:59.257343744,transfer,spottostaking
currency,-100.0,ZEUR,1810.1097,0.0,FTNVEWS-iQ53ncZb2WQgJcKwqggsOu,2023-10-31 22:21:55.186316544,transfer,spottostaking
currency,-499.1,ZEUR,2422.2713,0.9,FTSPldM-EbhRRXWE56HjAYlAgYSS7e,2023-11-09 12:18:14.776276992,withdrawal,
currency,-1.25,SOL,4.4,0.0,FTAYV7O-RuoSlAfRKqNb2ObvJShr9H,2023-12-02 21:07:13.902934528,transfer,spottostaking
currency,-500.0,ZEUR,3504.417,0.0,FTVOxgd-n8paTQh1Wd1DzwSv45uEDh,2023-12-07 09:35:44.654834688,transfer,spottostaking
currency,-200.0,ALGO.S,601.720959,0.0,FTZXEIn-UGrOM6nNt9LDpdreSLhy1j,2023-12-09 08:09:29.867606784,transfer,stakingtospot
currency,-300.0,ZEUR,4054.0484,0.0,FTZuoOw-kYEGbQdUsnYpPUv7sj68kj,2023-12-10 22:10:22.370130432,transfer,spottostaking
currency,-100.0,MATIC,325.00000001,0.0,FTfvBpt-VDCxNUm0PthKFwSy33Idts,2023-12-12 21:31:01.161256192,transfer,spottostaking
currency,-300.0,ALGO.S,301.964092,0.0,FTBJIp7-stzAO2OSHJjsMXih122VxO,2023-12-21 22:27:01.310624000,transfer,stakingtospot
currency,-499.1,ZEUR,3669.7557,0.9,FTPArjH-twBnZGGo2WkbR9jI7MIUZ4,2023-12-25 15:36:18.087716864,withdrawal,
currency,-58.0,MINA,0.0,0.0,FTHMhBE-CJMTdCtPZKyAvjXiutV1g7,2024-01-04 18:59:59.349990912,transfer,spottostaking
currency,-499.1,ZEUR,2317.4823,0.9,FTQirNQ-tTRohTPsIZQv5S7lWNn1f9,2024-02-10 07:55:07.341183488,withdrawal,
currency,-299.1,ZEUR,2768.9409,0.9,FTZUS9O-M0mTu1HxoOQLBYIaC5SsEG,2024-02-16 11:16:35.414704384,withdrawal,
currency,-499.1,ZEUR,3654.1331,0.9,FTU6OvM-w33inR5tzavvnq1Xyiutit,2024-02-29 12:41:31.781438208,withdrawal,
currency,-70.0,ADA.S,136.355097,0.0,FTUUvdf-2sHjR2JN57CM10Qu1sIH2d,2024-03-02 07:02:18.924645632,transfer,stakingtospot
currency,-499.1,ZEUR,3990.3037,0.9,FTL0UU6-c4vT69NA421sY0jVT9XMOA,2024-03-07 19:53:41.356729856,withdrawal,
currency,-499.1,ZEUR,3996.5075,0.9,FTL2Lih-d8K9gYGE8OLQDxP82prlKU,2024-03-13 09:32:09.514960128,withdrawal,
currency,-0.6,SOL.S,0.66079856,0.0,FTCbLo2-y8g79XNxPMqPS3PqqBbjF2,2024-03-14 11:05:31.055630848,transfer,stakingtospot
currency,-100.0,GRT,385.0,0.0,FTGltjx-Rbh954emKou5lnYX0rmRcp,2024-03-14 22:34:11.870547712,transfer,spottostaking
currency,-499.0,ZEUR,2557.3271,1.0,FTZjkFD-NEu6lqosBg9THd0RvJ8hJq,2024-08-01 07:36:45.098619648,withdrawal,
currency,-499.0,ZEUR,2060.7505,1.0,FTeo1JM-Tl1iZtfIHQLSMPaOHUtbfj,2024-08-27 14:26:29.153538560,withdrawal,
currency,-499.0,ZEUR,4602.1453,1.0,FTdYwz8-y2whqxKjEcuodmhV0RMb4e,2024-11-22 09:43:29.053984256,withdrawal,
currency,-499.0,ZEUR,5686.0965,1.0,FTkEBo6-BWVru2gEYoS8tutKraVVJe,2024-11-30 08:40:29.840432896,withdrawal,
currency,-499.0,ZEUR,5860.9921,1.0,FTZQOhV-6CqPlIRdah6WojRMd91pPn,2024-12-02 16:37:03.204022784,withdrawal,
currency,-499.0,ZEUR,4364.9292,1.0,FTbfdu6-HevLwCtkbtxcIk7iadZ0KA,2024-12-12 07:15:32.459219968,withdrawal,
currency,-499.0,ZEUR,3220.7363,1.0,FTKRQ8C-ieNylKRffnTsF3wcEIvTLO,2025-01-06 21:34:56.784233216,withdrawal,
currency,-499.0,ZEUR,3199.2082,1.0,FTLh739-pM9EP0HF9Hi77VrIDxyPTe,2025-01-17 08:28:28.699003904,withdrawal,
currency,-499.0000,ZEUR,4454.9938,1.0000,FTQeQR4-RWnwg1sdDJlZ6at6M4V6ez,2025-07-18 09:16:21.953499136,withdrawal,
